01:15:55.681 Training @ 0 epoch...
01:15:55.866   Training iter 50, batch loss 2.2657, batch acc 0.2550
01:15:55.971   Training iter 100, batch loss 1.7339, batch acc 0.5338
01:15:56.068   Training iter 150, batch loss 0.8949, batch acc 0.7600
01:15:56.166   Training iter 200, batch loss 0.6049, batch acc 0.8372
01:15:56.266   Training iter 250, batch loss 0.5059, batch acc 0.8576
01:15:56.368   Training iter 300, batch loss 0.4699, batch acc 0.8588
01:15:56.486   Training iter 350, batch loss 0.3732, batch acc 0.8964
01:15:56.606   Training iter 400, batch loss 0.4060, batch acc 0.8862
01:15:56.706   Training iter 450, batch loss 0.3803, batch acc 0.8912
01:15:56.817   Training iter 500, batch loss 0.3513, batch acc 0.8978
01:15:56.919   Training iter 550, batch loss 0.3616, batch acc 0.8910
01:15:57.015   Training iter 600, batch loss 0.3476, batch acc 0.8974
01:15:57.017 Testing @ 0 epoch...
01:15:57.120     Testing, total mean loss 0.32487, total acc 0.90420
01:15:57.120 Training @ 1 epoch...
01:15:57.250   Training iter 50, batch loss 0.3536, batch acc 0.8980
01:15:57.350   Training iter 100, batch loss 0.3241, batch acc 0.9068
01:15:57.442   Training iter 150, batch loss 0.3130, batch acc 0.9082
01:15:57.539   Training iter 200, batch loss 0.3200, batch acc 0.9086
01:15:57.623   Training iter 250, batch loss 0.3205, batch acc 0.9092
01:15:57.713   Training iter 300, batch loss 0.2903, batch acc 0.9110
01:15:57.809   Training iter 350, batch loss 0.2894, batch acc 0.9104
01:15:57.893   Training iter 400, batch loss 0.2863, batch acc 0.9166
01:15:58.018   Training iter 450, batch loss 0.3051, batch acc 0.9116
01:15:58.107   Training iter 500, batch loss 0.2938, batch acc 0.9170
01:15:58.201   Training iter 550, batch loss 0.2916, batch acc 0.9144
01:15:58.291   Training iter 600, batch loss 0.2728, batch acc 0.9228
01:15:58.291 Training @ 2 epoch...
01:15:58.382   Training iter 50, batch loss 0.2806, batch acc 0.9194
01:15:58.479   Training iter 100, batch loss 0.2648, batch acc 0.9174
01:15:58.574   Training iter 150, batch loss 0.2508, batch acc 0.9282
01:15:58.657   Training iter 200, batch loss 0.2397, batch acc 0.9306
01:15:58.734   Training iter 250, batch loss 0.2430, batch acc 0.9236
01:15:58.829   Training iter 300, batch loss 0.2492, batch acc 0.9258
01:15:58.904   Training iter 350, batch loss 0.2477, batch acc 0.9308
01:15:58.985   Training iter 400, batch loss 0.2407, batch acc 0.9328
01:15:59.071   Training iter 450, batch loss 0.2376, batch acc 0.9306
01:15:59.167   Training iter 500, batch loss 0.2348, batch acc 0.9368
01:15:59.267   Training iter 550, batch loss 0.2405, batch acc 0.9320
01:15:59.363   Training iter 600, batch loss 0.2270, batch acc 0.9354
01:15:59.364 Training @ 3 epoch...
01:15:59.464   Training iter 50, batch loss 0.2275, batch acc 0.9338
01:15:59.557   Training iter 100, batch loss 0.2141, batch acc 0.9402
01:15:59.653   Training iter 150, batch loss 0.2118, batch acc 0.9436
01:15:59.741   Training iter 200, batch loss 0.2028, batch acc 0.9390
01:15:59.851   Training iter 250, batch loss 0.2255, batch acc 0.9376
01:15:59.954   Training iter 300, batch loss 0.1963, batch acc 0.9436
01:16:00.306   Training iter 350, batch loss 0.1917, batch acc 0.9404
01:16:00.454   Training iter 400, batch loss 0.1960, batch acc 0.9422
01:16:00.589   Training iter 450, batch loss 0.2056, batch acc 0.9428
01:16:00.682   Training iter 500, batch loss 0.1890, batch acc 0.9440
01:16:00.765   Training iter 550, batch loss 0.2013, batch acc 0.9424
01:16:00.929   Training iter 600, batch loss 0.1974, batch acc 0.9436
01:16:00.930 Training @ 4 epoch...
01:16:01.031   Training iter 50, batch loss 0.1798, batch acc 0.9436
01:16:01.140   Training iter 100, batch loss 0.1850, batch acc 0.9464
01:16:01.259   Training iter 150, batch loss 0.1684, batch acc 0.9516
01:16:02.238   Training iter 200, batch loss 0.1880, batch acc 0.9512
01:16:02.389   Training iter 250, batch loss 0.1698, batch acc 0.9522
01:16:02.582   Training iter 300, batch loss 0.1794, batch acc 0.9500
01:16:02.900   Training iter 350, batch loss 0.1801, batch acc 0.9506
01:16:03.036   Training iter 400, batch loss 0.1667, batch acc 0.9482
01:16:03.233   Training iter 450, batch loss 0.1798, batch acc 0.9468
01:16:03.337   Training iter 500, batch loss 0.1701, batch acc 0.9520
01:16:03.447   Training iter 550, batch loss 0.1701, batch acc 0.9518
01:16:03.592   Training iter 600, batch loss 0.1660, batch acc 0.9542
01:16:03.593 Training @ 5 epoch...
01:16:03.691   Training iter 50, batch loss 0.1677, batch acc 0.9496
01:16:03.789   Training iter 100, batch loss 0.1494, batch acc 0.9562
01:16:03.969   Training iter 150, batch loss 0.1438, batch acc 0.9602
01:16:04.082   Training iter 200, batch loss 0.1714, batch acc 0.9502
01:16:04.343   Training iter 250, batch loss 0.1422, batch acc 0.9624
01:16:04.484   Training iter 300, batch loss 0.1468, batch acc 0.9590
01:16:04.687   Training iter 350, batch loss 0.1605, batch acc 0.9526
01:16:04.834   Training iter 400, batch loss 0.1479, batch acc 0.9576
01:16:05.020   Training iter 450, batch loss 0.1538, batch acc 0.9586
01:16:05.158   Training iter 500, batch loss 0.1530, batch acc 0.9556
01:16:05.333   Training iter 550, batch loss 0.1527, batch acc 0.9536
01:16:05.618   Training iter 600, batch loss 0.1623, batch acc 0.9542
01:16:05.621 Testing @ 5 epoch...
01:16:05.723     Testing, total mean loss 0.14720, total acc 0.95710
01:16:05.723 Training @ 6 epoch...
01:16:05.900   Training iter 50, batch loss 0.1370, batch acc 0.9642
01:16:06.035   Training iter 100, batch loss 0.1484, batch acc 0.9584
01:16:06.204   Training iter 150, batch loss 0.1490, batch acc 0.9612
01:16:06.389   Training iter 200, batch loss 0.1488, batch acc 0.9584
01:16:06.657   Training iter 250, batch loss 0.1526, batch acc 0.9600
01:16:06.930   Training iter 300, batch loss 0.1347, batch acc 0.9604
01:16:07.109   Training iter 350, batch loss 0.1333, batch acc 0.9608
01:16:07.218   Training iter 400, batch loss 0.1417, batch acc 0.9580
01:16:07.357   Training iter 450, batch loss 0.1288, batch acc 0.9648
01:16:07.501   Training iter 500, batch loss 0.1402, batch acc 0.9606
01:16:07.616   Training iter 550, batch loss 0.1250, batch acc 0.9650
