15:11:25.566 Training @ 0 epoch...
15:11:25.682   Training iter 50, batch loss 17.4153, batch acc 0.5820
15:11:25.785   Training iter 100, batch loss 3.9000, batch acc 0.8444
15:11:25.895   Training iter 150, batch loss 3.0363, batch acc 0.8634
15:11:25.989   Training iter 200, batch loss 2.4887, batch acc 0.8912
15:11:26.089   Training iter 250, batch loss 2.5948, batch acc 0.8936
15:11:26.193   Training iter 300, batch loss 2.3571, batch acc 0.8958
15:11:26.283   Training iter 350, batch loss 2.2512, batch acc 0.9024
15:11:26.369   Training iter 400, batch loss 1.9919, batch acc 0.9148
15:11:26.449   Training iter 450, batch loss 2.0607, batch acc 0.9078
15:11:26.604   Training iter 500, batch loss 1.8455, batch acc 0.9138
15:11:26.713   Training iter 550, batch loss 1.8495, batch acc 0.9172
15:11:26.866   Training iter 600, batch loss 1.7328, batch acc 0.9170
15:11:26.867 Testing @ 0 epoch...
15:11:26.985     Testing, total mean loss 1.51260, total acc 0.92830
15:11:26.985 Training @ 1 epoch...
15:11:27.109   Training iter 50, batch loss 1.5235, batch acc 0.9304
15:11:27.224   Training iter 100, batch loss 1.5541, batch acc 0.9244
15:11:27.330   Training iter 150, batch loss 1.4385, batch acc 0.9346
15:11:27.460   Training iter 200, batch loss 1.3123, batch acc 0.9350
15:11:27.554   Training iter 250, batch loss 1.3087, batch acc 0.9386
15:11:27.642   Training iter 300, batch loss 1.2428, batch acc 0.9404
15:11:27.798   Training iter 350, batch loss 1.3376, batch acc 0.9346
15:11:27.920   Training iter 400, batch loss 1.2190, batch acc 0.9430
15:11:28.030   Training iter 450, batch loss 1.3057, batch acc 0.9408
15:11:28.134   Training iter 500, batch loss 1.0438, batch acc 0.9470
15:11:28.247   Training iter 550, batch loss 1.0614, batch acc 0.9488
15:11:28.334   Training iter 600, batch loss 1.0925, batch acc 0.9478
15:11:28.334 Training @ 2 epoch...
15:11:28.415   Training iter 50, batch loss 0.9884, batch acc 0.9482
15:11:28.515   Training iter 100, batch loss 0.9267, batch acc 0.9580
15:11:28.610   Training iter 150, batch loss 0.9491, batch acc 0.9552
15:11:28.698   Training iter 200, batch loss 0.8272, batch acc 0.9566
15:11:28.817   Training iter 250, batch loss 0.9534, batch acc 0.9516
15:11:28.922   Training iter 300, batch loss 0.9324, batch acc 0.9536
15:11:29.028   Training iter 350, batch loss 0.9992, batch acc 0.9486
15:11:29.118   Training iter 400, batch loss 0.9577, batch acc 0.9530
15:11:29.286   Training iter 450, batch loss 1.0492, batch acc 0.9548
15:11:29.401   Training iter 500, batch loss 0.8352, batch acc 0.9596
15:11:29.555   Training iter 550, batch loss 0.9231, batch acc 0.9556
15:11:29.713   Training iter 600, batch loss 0.9376, batch acc 0.9546
15:11:29.713 Training @ 3 epoch...
15:11:29.838   Training iter 50, batch loss 0.7768, batch acc 0.9594
15:11:29.971   Training iter 100, batch loss 0.9124, batch acc 0.9542
15:11:30.120   Training iter 150, batch loss 0.7682, batch acc 0.9624
15:11:30.235   Training iter 200, batch loss 0.8285, batch acc 0.9588
15:11:30.397   Training iter 250, batch loss 0.7736, batch acc 0.9560
15:11:30.504   Training iter 300, batch loss 0.6938, batch acc 0.9644
15:11:30.595   Training iter 350, batch loss 0.7427, batch acc 0.9652
15:11:30.693   Training iter 400, batch loss 0.6906, batch acc 0.9630
15:11:30.794   Training iter 450, batch loss 0.6817, batch acc 0.9638
15:11:30.891   Training iter 500, batch loss 0.8543, batch acc 0.9604
15:11:30.999   Training iter 550, batch loss 0.8793, batch acc 0.9566
15:11:31.108   Training iter 600, batch loss 0.8002, batch acc 0.9580
15:11:31.108 Training @ 4 epoch...
15:11:31.220   Training iter 50, batch loss 0.5581, batch acc 0.9688
15:11:31.362   Training iter 100, batch loss 0.5492, batch acc 0.9692
