15:14:28.076 Training @ 0 epoch...
15:14:28.249   Training iter 50, batch loss 0.1852, batch acc 0.2270
15:14:28.403   Training iter 100, batch loss 0.1809, batch acc 0.2740
15:14:28.540   Training iter 150, batch loss 0.1741, batch acc 0.3968
15:14:28.674   Training iter 200, batch loss 0.1623, batch acc 0.5328
15:14:28.801   Training iter 250, batch loss 0.1452, batch acc 0.5814
15:14:28.940   Training iter 300, batch loss 0.1236, batch acc 0.6402
15:14:29.095   Training iter 350, batch loss 0.1037, batch acc 0.6976
15:14:29.226   Training iter 400, batch loss 0.0839, batch acc 0.7576
15:14:29.365   Training iter 450, batch loss 0.0715, batch acc 0.7746
15:14:29.520   Training iter 500, batch loss 0.0613, batch acc 0.7962
15:14:29.658   Training iter 550, batch loss 0.0534, batch acc 0.8180
15:14:29.909   Training iter 600, batch loss 0.0472, batch acc 0.8248
15:14:29.910 Testing @ 0 epoch...
15:14:30.053     Testing, total mean loss 0.04410, total acc 0.83180
15:14:30.054 Training @ 1 epoch...
15:14:30.195   Training iter 50, batch loss 0.0447, batch acc 0.8264
15:14:30.347   Training iter 100, batch loss 0.0401, batch acc 0.8386
15:14:30.460   Training iter 150, batch loss 0.0372, batch acc 0.8408
15:14:30.553   Training iter 200, batch loss 0.0358, batch acc 0.8408
15:14:30.680   Training iter 250, batch loss 0.0339, batch acc 0.8486
15:14:31.029   Training iter 300, batch loss 0.0324, batch acc 0.8510
15:14:31.399   Training iter 350, batch loss 0.0310, batch acc 0.8540
15:14:31.505   Training iter 400, batch loss 0.0300, batch acc 0.8534
15:14:31.591   Training iter 450, batch loss 0.0294, batch acc 0.8618
15:14:31.743   Training iter 500, batch loss 0.0284, batch acc 0.8616
15:14:31.946   Training iter 550, batch loss 0.0283, batch acc 0.8594
15:14:32.038   Training iter 600, batch loss 0.0260, batch acc 0.8700
15:14:32.039 Training @ 2 epoch...
15:14:32.305   Training iter 50, batch loss 0.0265, batch acc 0.8754
15:14:32.489   Training iter 100, batch loss 0.0252, batch acc 0.8726
15:14:32.655   Training iter 150, batch loss 0.0257, batch acc 0.8756
15:14:32.908   Training iter 200, batch loss 0.0249, batch acc 0.8764
15:14:33.135   Training iter 250, batch loss 0.0249, batch acc 0.8740
15:14:33.336   Training iter 300, batch loss 0.0247, batch acc 0.8718
15:14:33.507   Training iter 350, batch loss 0.0247, batch acc 0.8714
15:14:33.631   Training iter 400, batch loss 0.0228, batch acc 0.8856
15:14:33.740   Training iter 450, batch loss 0.0239, batch acc 0.8716
