15:22:19.488 Training @ 0 epoch...
15:22:19.644   Training iter 50, batch loss 25.7825, batch acc 0.3852
15:22:19.788   Training iter 100, batch loss 4.1873, batch acc 0.8184
15:22:19.942   Training iter 150, batch loss 3.1648, batch acc 0.8640
15:22:20.104   Training iter 200, batch loss 2.6489, batch acc 0.8834
15:22:20.265   Training iter 250, batch loss 2.4312, batch acc 0.8946
15:22:20.365   Training iter 300, batch loss 2.0720, batch acc 0.9050
15:22:20.480   Training iter 350, batch loss 2.1273, batch acc 0.9088
15:22:20.585   Training iter 400, batch loss 1.8221, batch acc 0.9148
15:22:20.709   Training iter 450, batch loss 1.7790, batch acc 0.9176
15:22:20.829   Training iter 500, batch loss 1.7621, batch acc 0.9192
15:22:21.059   Training iter 550, batch loss 1.5258, batch acc 0.9268
15:22:21.178   Training iter 600, batch loss 1.5903, batch acc 0.9276
15:22:21.179 Testing @ 0 epoch...
15:22:21.317     Testing, total mean loss 1.30754, total acc 0.93890
15:22:21.317 Training @ 1 epoch...
15:22:21.486   Training iter 50, batch loss 1.4194, batch acc 0.9352
15:22:21.634   Training iter 100, batch loss 1.2449, batch acc 0.9414
15:22:21.760   Training iter 150, batch loss 1.2424, batch acc 0.9434
15:22:21.893   Training iter 200, batch loss 1.1129, batch acc 0.9482
15:22:22.067   Training iter 250, batch loss 1.2667, batch acc 0.9356
15:22:22.183   Training iter 300, batch loss 1.1230, batch acc 0.9454
15:22:22.305   Training iter 350, batch loss 1.1319, batch acc 0.9460
15:22:22.445   Training iter 400, batch loss 1.2027, batch acc 0.9454
15:22:22.553   Training iter 450, batch loss 0.9704, batch acc 0.9498
15:22:22.696   Training iter 500, batch loss 1.1511, batch acc 0.9470
15:22:22.813   Training iter 550, batch loss 0.9509, batch acc 0.9550
15:22:22.990   Training iter 600, batch loss 1.0220, batch acc 0.9484
15:22:22.992 Training @ 2 epoch...
15:22:23.110   Training iter 50, batch loss 1.0641, batch acc 0.9552
15:22:23.239   Training iter 100, batch loss 0.9172, batch acc 0.9546
15:22:23.354   Training iter 150, batch loss 0.9317, batch acc 0.9540
15:22:23.458   Training iter 200, batch loss 0.9744, batch acc 0.9500
15:22:23.662   Training iter 250, batch loss 0.7162, batch acc 0.9632
15:22:23.796   Training iter 300, batch loss 0.8603, batch acc 0.9602
15:22:23.938   Training iter 350, batch loss 0.7546, batch acc 0.9592
15:22:24.062   Training iter 400, batch loss 0.7611, batch acc 0.9646
15:22:24.176   Training iter 450, batch loss 0.7908, batch acc 0.9620
15:22:24.310   Training iter 500, batch loss 0.7428, batch acc 0.9608
15:22:24.873   Training iter 550, batch loss 0.8027, batch acc 0.9584
