15:25:03.378 Training @ 0 epoch...
15:25:03.505   Training iter 50, batch loss 0.1863, batch acc 0.1782
15:25:03.609   Training iter 100, batch loss 0.1857, batch acc 0.1352
15:25:03.707   Training iter 150, batch loss 0.1849, batch acc 0.1434
15:25:03.804   Training iter 200, batch loss 0.1842, batch acc 0.1446
15:25:03.915   Training iter 250, batch loss 0.1833, batch acc 0.1742
15:25:04.029   Training iter 300, batch loss 0.1818, batch acc 0.1974
15:25:04.125   Training iter 350, batch loss 0.1798, batch acc 0.2024
15:25:04.299   Training iter 400, batch loss 0.1772, batch acc 0.2114
15:25:04.401   Training iter 450, batch loss 0.1729, batch acc 0.2370
15:25:04.499   Training iter 500, batch loss 0.1670, batch acc 0.2870
15:25:04.628   Training iter 550, batch loss 0.1581, batch acc 0.3894
15:25:04.765   Training iter 600, batch loss 0.1445, batch acc 0.4806
15:25:04.768 Testing @ 0 epoch...
15:25:04.843     Testing, total mean loss 0.13583, total acc 0.54540
15:25:04.843 Training @ 1 epoch...
15:25:04.953   Training iter 50, batch loss 0.1287, batch acc 0.5662
15:25:05.116   Training iter 100, batch loss 0.1106, batch acc 0.6434
15:25:05.237   Training iter 150, batch loss 0.0955, batch acc 0.6962
15:25:05.393   Training iter 200, batch loss 0.0813, batch acc 0.7302
15:25:05.499   Training iter 250, batch loss 0.0721, batch acc 0.7448
15:25:05.649   Training iter 300, batch loss 0.0632, batch acc 0.7578
15:25:05.759   Training iter 350, batch loss 0.0567, batch acc 0.7748
15:25:05.863   Training iter 400, batch loss 0.0522, batch acc 0.7850
15:25:05.970   Training iter 450, batch loss 0.0489, batch acc 0.7952
15:25:06.087   Training iter 500, batch loss 0.0457, batch acc 0.8016
15:25:06.204   Training iter 550, batch loss 0.0433, batch acc 0.7964
15:25:06.325   Training iter 600, batch loss 0.0405, batch acc 0.8038
15:25:06.325 Training @ 2 epoch...
15:25:06.457   Training iter 50, batch loss 0.0382, batch acc 0.8186
15:25:06.568   Training iter 100, batch loss 0.0367, batch acc 0.8192
15:25:06.703   Training iter 150, batch loss 0.0361, batch acc 0.8232
15:25:06.801   Training iter 200, batch loss 0.0329, batch acc 0.8286
15:25:06.904   Training iter 250, batch loss 0.0339, batch acc 0.8312
15:25:07.004   Training iter 300, batch loss 0.0320, batch acc 0.8344
15:25:07.109   Training iter 350, batch loss 0.0301, batch acc 0.8496
15:25:07.216   Training iter 400, batch loss 0.0323, batch acc 0.8336
15:25:07.306   Training iter 450, batch loss 0.0294, batch acc 0.8498
15:25:07.430   Training iter 500, batch loss 0.0296, batch acc 0.8412
15:25:07.549   Training iter 550, batch loss 0.0284, batch acc 0.8462
15:25:07.708   Training iter 600, batch loss 0.0277, batch acc 0.8590
15:25:07.708 Training @ 3 epoch...
15:25:07.827   Training iter 50, batch loss 0.0281, batch acc 0.8506
15:25:07.947   Training iter 100, batch loss 0.0280, batch acc 0.8516
15:25:08.062   Training iter 150, batch loss 0.0264, batch acc 0.8580
15:25:08.188   Training iter 200, batch loss 0.0268, batch acc 0.8650
15:25:08.298   Training iter 250, batch loss 0.0245, batch acc 0.8662
15:25:08.405   Training iter 300, batch loss 0.0252, batch acc 0.8670
15:25:08.508   Training iter 350, batch loss 0.0251, batch acc 0.8672
15:25:08.605   Training iter 400, batch loss 0.0258, batch acc 0.8614
15:25:08.702   Training iter 450, batch loss 0.0254, batch acc 0.8630
15:25:08.807   Training iter 500, batch loss 0.0242, batch acc 0.8646
15:25:08.912   Training iter 550, batch loss 0.0238, batch acc 0.8744
15:25:09.006   Training iter 600, batch loss 0.0242, batch acc 0.8660
15:25:09.007 Training @ 4 epoch...
15:25:09.122   Training iter 50, batch loss 0.0235, batch acc 0.8768
15:25:09.217   Training iter 100, batch loss 0.0225, batch acc 0.8798
15:25:09.308   Training iter 150, batch loss 0.0241, batch acc 0.8668
15:25:09.402   Training iter 200, batch loss 0.0234, batch acc 0.8800
15:25:09.497   Training iter 250, batch loss 0.0235, batch acc 0.8720
15:25:09.591   Training iter 300, batch loss 0.0224, batch acc 0.8826
15:25:09.683   Training iter 350, batch loss 0.0225, batch acc 0.8782
15:25:09.790   Training iter 400, batch loss 0.0221, batch acc 0.8806
15:25:09.900   Training iter 450, batch loss 0.0235, batch acc 0.8706
15:25:09.993   Training iter 500, batch loss 0.0223, batch acc 0.8770
15:25:10.101   Training iter 550, batch loss 0.0222, batch acc 0.8798
15:25:10.202   Training iter 600, batch loss 0.0218, batch acc 0.8800
15:25:10.202 Training @ 5 epoch...
15:25:10.288   Training iter 50, batch loss 0.0224, batch acc 0.8850
15:25:10.392   Training iter 100, batch loss 0.0212, batch acc 0.8846
15:25:10.515   Training iter 150, batch loss 0.0213, batch acc 0.8810
15:25:10.596   Training iter 200, batch loss 0.0210, batch acc 0.8842
15:25:10.686   Training iter 250, batch loss 0.0221, batch acc 0.8856
15:25:10.783   Training iter 300, batch loss 0.0221, batch acc 0.8826
15:25:10.901   Training iter 350, batch loss 0.0209, batch acc 0.8862
15:25:11.013   Training iter 400, batch loss 0.0212, batch acc 0.8848
15:25:11.144   Training iter 450, batch loss 0.0195, batch acc 0.8928
15:25:11.240   Training iter 500, batch loss 0.0213, batch acc 0.8812
15:25:11.337   Training iter 550, batch loss 0.0218, batch acc 0.8830
15:25:11.436   Training iter 600, batch loss 0.0198, batch acc 0.8900
15:25:11.436 Testing @ 5 epoch...
15:25:11.498     Testing, total mean loss 0.01965, total acc 0.89220
15:25:11.498 Training @ 6 epoch...
15:25:11.602   Training iter 50, batch loss 0.0209, batch acc 0.8886
