15:27:48.055 Training @ 0 epoch...
15:27:48.197   Training iter 50, batch loss 0.8400, batch acc 0.4018
15:27:48.309   Training iter 100, batch loss 0.5441, batch acc 0.7356
15:27:48.428   Training iter 150, batch loss 0.4507, batch acc 0.8084
15:27:48.545   Training iter 200, batch loss 0.4069, batch acc 0.8420
15:27:48.655   Training iter 250, batch loss 0.3638, batch acc 0.8630
15:27:48.765   Training iter 300, batch loss 0.3253, batch acc 0.8746
15:27:48.881   Training iter 350, batch loss 0.3034, batch acc 0.8808
15:27:49.009   Training iter 400, batch loss 0.2766, batch acc 0.8900
15:27:49.132   Training iter 450, batch loss 0.2567, batch acc 0.8942
15:27:49.266   Training iter 500, batch loss 0.2469, batch acc 0.8952
15:27:49.408   Training iter 550, batch loss 0.2398, batch acc 0.8980
15:27:49.544   Training iter 600, batch loss 0.2404, batch acc 0.8952
15:27:49.545 Testing @ 0 epoch...
15:27:49.649     Testing, total mean loss 0.21606, total acc 0.91300
15:27:49.649 Training @ 1 epoch...
15:27:49.761   Training iter 50, batch loss 0.2227, batch acc 0.9080
15:27:49.877   Training iter 100, batch loss 0.2171, batch acc 0.9074
15:27:49.995   Training iter 150, batch loss 0.2144, batch acc 0.9112
15:27:50.184   Training iter 200, batch loss 0.2019, batch acc 0.9176
15:27:50.292   Training iter 250, batch loss 0.2029, batch acc 0.9136
15:27:50.409   Training iter 300, batch loss 0.2098, batch acc 0.9106
15:27:50.516   Training iter 350, batch loss 0.2057, batch acc 0.9098
15:27:50.630   Training iter 400, batch loss 0.1969, batch acc 0.9178
15:27:50.747   Training iter 450, batch loss 0.1978, batch acc 0.9194
15:27:50.854   Training iter 500, batch loss 0.1880, batch acc 0.9268
15:27:50.997   Training iter 550, batch loss 0.1925, batch acc 0.9214
15:27:51.129   Training iter 600, batch loss 0.1812, batch acc 0.9276
15:27:51.129 Training @ 2 epoch...
15:27:51.237   Training iter 50, batch loss 0.1817, batch acc 0.9274
