15:34:01.200 Training @ 0 epoch...
15:34:01.329   Training iter 50, batch loss 23.5916, batch acc 0.4732
15:34:01.440   Training iter 100, batch loss 4.2279, batch acc 0.8236
15:34:01.562   Training iter 150, batch loss 2.9687, batch acc 0.8734
15:34:01.671   Training iter 200, batch loss 2.8141, batch acc 0.8832
15:34:01.777   Training iter 250, batch loss 2.5258, batch acc 0.8868
15:34:01.905   Training iter 300, batch loss 2.1485, batch acc 0.8980
15:34:02.026   Training iter 350, batch loss 1.9586, batch acc 0.9096
15:34:02.130   Training iter 400, batch loss 1.8664, batch acc 0.9164
15:34:02.252   Training iter 450, batch loss 1.8618, batch acc 0.9132
15:34:02.395   Training iter 500, batch loss 1.7434, batch acc 0.9208
15:34:02.537   Training iter 550, batch loss 1.4275, batch acc 0.9320
15:34:02.689   Training iter 600, batch loss 1.4027, batch acc 0.9310
15:34:02.690 Testing @ 0 epoch...
15:34:02.801     Testing, total mean loss 1.33013, total acc 0.93990
15:34:02.801 Training @ 1 epoch...
15:34:02.938   Training iter 50, batch loss 1.2815, batch acc 0.9392
15:34:03.092   Training iter 100, batch loss 1.1280, batch acc 0.9462
15:34:03.203   Training iter 150, batch loss 1.1154, batch acc 0.9476
15:34:03.326   Training iter 200, batch loss 1.2176, batch acc 0.9418
15:34:03.441   Training iter 250, batch loss 1.2445, batch acc 0.9438
15:34:03.556   Training iter 300, batch loss 1.0733, batch acc 0.9464
15:34:03.670   Training iter 350, batch loss 1.2478, batch acc 0.9436
15:34:03.781   Training iter 400, batch loss 1.2106, batch acc 0.9426
15:34:03.902   Training iter 450, batch loss 1.0458, batch acc 0.9492
15:34:04.017   Training iter 500, batch loss 1.0059, batch acc 0.9474
15:34:04.224   Training iter 550, batch loss 1.0305, batch acc 0.9496
15:34:04.351   Training iter 600, batch loss 0.9561, batch acc 0.9530
15:34:04.351 Training @ 2 epoch...
15:34:04.460   Training iter 50, batch loss 0.9700, batch acc 0.9498
15:34:04.584   Training iter 100, batch loss 0.9263, batch acc 0.9538
15:34:04.690   Training iter 150, batch loss 0.7575, batch acc 0.9598
15:34:04.805   Training iter 200, batch loss 0.8721, batch acc 0.9548
15:34:04.928   Training iter 250, batch loss 0.7896, batch acc 0.9570
15:34:05.040   Training iter 300, batch loss 0.7797, batch acc 0.9624
15:34:05.168   Training iter 350, batch loss 0.8577, batch acc 0.9566
