15:37:27.707 Training @ 0 epoch...
15:37:27.874   Training iter 50, batch loss 0.1864, batch acc 0.1426
15:37:28.002   Training iter 100, batch loss 0.1858, batch acc 0.1242
15:37:28.123   Training iter 150, batch loss 0.1851, batch acc 0.1214
15:37:28.236   Training iter 200, batch loss 0.1842, batch acc 0.1324
15:37:28.360   Training iter 250, batch loss 0.1831, batch acc 0.1236
15:37:28.501   Training iter 300, batch loss 0.1811, batch acc 0.1470
15:37:28.617   Training iter 350, batch loss 0.1780, batch acc 0.1720
15:37:28.728   Training iter 400, batch loss 0.1740, batch acc 0.1872
15:37:28.886   Training iter 450, batch loss 0.1677, batch acc 0.2630
15:37:29.004   Training iter 500, batch loss 0.1588, batch acc 0.3534
15:37:29.099   Training iter 550, batch loss 0.1446, batch acc 0.4594
15:37:29.198   Training iter 600, batch loss 0.1273, batch acc 0.5506
15:37:29.198 Testing @ 0 epoch...
15:37:29.351     Testing, total mean loss 0.11808, total acc 0.58520
15:37:29.351 Training @ 1 epoch...
15:37:29.498   Training iter 50, batch loss 0.1118, batch acc 0.6134
15:37:29.658   Training iter 100, batch loss 0.0970, batch acc 0.6712
15:37:29.779   Training iter 150, batch loss 0.0839, batch acc 0.7144
15:37:29.898   Training iter 200, batch loss 0.0732, batch acc 0.7390
15:37:30.068   Training iter 250, batch loss 0.0645, batch acc 0.7460
15:37:30.195   Training iter 300, batch loss 0.0574, batch acc 0.7762
15:37:30.312   Training iter 350, batch loss 0.0516, batch acc 0.7908
15:37:30.430   Training iter 400, batch loss 0.0481, batch acc 0.7950
15:37:30.551   Training iter 450, batch loss 0.0446, batch acc 0.8076
15:37:30.677   Training iter 500, batch loss 0.0411, batch acc 0.8232
15:37:30.802   Training iter 550, batch loss 0.0400, batch acc 0.8226
15:37:30.927   Training iter 600, batch loss 0.0392, batch acc 0.8138
15:37:30.928 Training @ 2 epoch...
15:37:31.043   Training iter 50, batch loss 0.0362, batch acc 0.8188
15:37:31.162   Training iter 100, batch loss 0.0342, batch acc 0.8368
15:37:31.275   Training iter 150, batch loss 0.0350, batch acc 0.8344
15:37:31.395   Training iter 200, batch loss 0.0316, batch acc 0.8458
15:37:31.508   Training iter 250, batch loss 0.0321, batch acc 0.8424
15:37:31.642   Training iter 300, batch loss 0.0298, batch acc 0.8568
15:37:31.784   Training iter 350, batch loss 0.0298, batch acc 0.8480
15:37:31.926   Training iter 400, batch loss 0.0280, batch acc 0.8506
15:37:32.067   Training iter 450, batch loss 0.0299, batch acc 0.8474
15:37:32.195   Training iter 500, batch loss 0.0279, batch acc 0.8522
15:37:32.320   Training iter 550, batch loss 0.0270, batch acc 0.8622
15:37:32.475   Training iter 600, batch loss 0.0284, batch acc 0.8514
15:37:32.475 Training @ 3 epoch...
15:37:32.585   Training iter 50, batch loss 0.0271, batch acc 0.8548
15:37:32.708   Training iter 100, batch loss 0.0265, batch acc 0.8604
15:37:32.841   Training iter 150, batch loss 0.0261, batch acc 0.8652
15:37:32.939   Training iter 200, batch loss 0.0247, batch acc 0.8736
15:37:33.130   Training iter 250, batch loss 0.0266, batch acc 0.8616
15:37:33.247   Training iter 300, batch loss 0.0236, batch acc 0.8772
15:37:33.444   Training iter 350, batch loss 0.0249, batch acc 0.8676
15:37:33.558   Training iter 400, batch loss 0.0236, batch acc 0.8728
15:37:33.667   Training iter 450, batch loss 0.0232, batch acc 0.8794
15:37:33.776   Training iter 500, batch loss 0.0246, batch acc 0.8708
15:37:33.903   Training iter 550, batch loss 0.0230, batch acc 0.8782
15:37:34.028   Training iter 600, batch loss 0.0240, batch acc 0.8788
15:37:34.031 Training @ 4 epoch...
15:37:34.144   Training iter 50, batch loss 0.0235, batch acc 0.8754
15:37:34.251   Training iter 100, batch loss 0.0221, batch acc 0.8806
15:37:34.385   Training iter 150, batch loss 0.0228, batch acc 0.8774
15:37:34.519   Training iter 200, batch loss 0.0226, batch acc 0.8794
15:37:34.666   Training iter 250, batch loss 0.0214, batch acc 0.8862
15:37:34.774   Training iter 300, batch loss 0.0222, batch acc 0.8804
15:37:34.878   Training iter 350, batch loss 0.0213, batch acc 0.8856
15:37:34.978   Training iter 400, batch loss 0.0217, batch acc 0.8830
15:37:35.076   Training iter 450, batch loss 0.0230, batch acc 0.8778
15:37:35.223   Training iter 500, batch loss 0.0221, batch acc 0.8810
15:37:35.342   Training iter 550, batch loss 0.0218, batch acc 0.8848
15:37:35.457   Training iter 600, batch loss 0.0224, batch acc 0.8836
15:37:35.458 Training @ 5 epoch...
15:37:35.582   Training iter 50, batch loss 0.0219, batch acc 0.8812
15:37:35.694   Training iter 100, batch loss 0.0213, batch acc 0.8838
15:37:35.830   Training iter 150, batch loss 0.0204, batch acc 0.8872
15:37:35.943   Training iter 200, batch loss 0.0213, batch acc 0.8844
15:37:36.070   Training iter 250, batch loss 0.0212, batch acc 0.8870
15:37:36.179   Training iter 300, batch loss 0.0213, batch acc 0.8892
15:37:36.318   Training iter 350, batch loss 0.0217, batch acc 0.8836
15:37:36.428   Training iter 400, batch loss 0.0199, batch acc 0.8924
15:37:36.549   Training iter 450, batch loss 0.0204, batch acc 0.8880
15:37:36.667   Training iter 500, batch loss 0.0200, batch acc 0.8910
15:37:36.778   Training iter 550, batch loss 0.0208, batch acc 0.8912
15:37:36.915   Training iter 600, batch loss 0.0186, batch acc 0.8964
15:37:36.915 Testing @ 5 epoch...
15:37:37.011     Testing, total mean loss 0.01932, total acc 0.89290
15:37:37.011 Training @ 6 epoch...
15:37:37.142   Training iter 50, batch loss 0.0196, batch acc 0.8956
15:37:37.268   Training iter 100, batch loss 0.0208, batch acc 0.8904
15:37:37.405   Training iter 150, batch loss 0.0206, batch acc 0.8910
15:37:37.525   Training iter 200, batch loss 0.0198, batch acc 0.8900
