15:40:39.552 Training @ 0 epoch...
15:40:39.711   Training iter 50, batch loss 0.7904, batch acc 0.4440
15:40:39.798   Training iter 100, batch loss 0.4897, batch acc 0.7794
15:40:39.896   Training iter 150, batch loss 0.3663, batch acc 0.8430
15:40:40.005   Training iter 200, batch loss 0.3040, batch acc 0.8722
15:40:40.107   Training iter 250, batch loss 0.2696, batch acc 0.8826
15:40:40.202   Training iter 300, batch loss 0.2402, batch acc 0.8976
15:40:40.359   Training iter 350, batch loss 0.2252, batch acc 0.8996
15:40:40.459   Training iter 400, batch loss 0.2107, batch acc 0.9090
15:40:40.566   Training iter 450, batch loss 0.2090, batch acc 0.9074
15:40:40.672   Training iter 500, batch loss 0.1969, batch acc 0.9194
15:40:40.769   Training iter 550, batch loss 0.2000, batch acc 0.9108
15:40:40.880   Training iter 600, batch loss 0.1856, batch acc 0.9242
15:40:40.881 Testing @ 0 epoch...
15:40:40.944     Testing, total mean loss 0.17984, total acc 0.92830
15:40:40.944 Training @ 1 epoch...
15:40:41.053   Training iter 50, batch loss 0.1857, batch acc 0.9234
15:40:41.156   Training iter 100, batch loss 0.1810, batch acc 0.9256
15:40:41.265   Training iter 150, batch loss 0.1757, batch acc 0.9288
15:40:41.372   Training iter 200, batch loss 0.1739, batch acc 0.9312
15:40:41.493   Training iter 250, batch loss 0.1694, batch acc 0.9296
15:40:41.576   Training iter 300, batch loss 0.1723, batch acc 0.9314
15:40:41.678   Training iter 350, batch loss 0.1609, batch acc 0.9380
15:40:41.771   Training iter 400, batch loss 0.1561, batch acc 0.9408
15:40:41.876   Training iter 450, batch loss 0.1546, batch acc 0.9416
15:40:41.967   Training iter 500, batch loss 0.1487, batch acc 0.9436
15:40:42.052   Training iter 550, batch loss 0.1457, batch acc 0.9450
15:40:42.145   Training iter 600, batch loss 0.1555, batch acc 0.9418
15:40:42.145 Training @ 2 epoch...
15:40:42.238   Training iter 50, batch loss 0.1456, batch acc 0.9454
15:40:42.335   Training iter 100, batch loss 0.1490, batch acc 0.9434
15:40:42.426   Training iter 150, batch loss 0.1421, batch acc 0.9528
15:40:42.517   Training iter 200, batch loss 0.1423, batch acc 0.9422
15:40:42.619   Training iter 250, batch loss 0.1409, batch acc 0.9478
15:40:42.710   Training iter 300, batch loss 0.1405, batch acc 0.9480
15:40:42.805   Training iter 350, batch loss 0.1372, batch acc 0.9530
15:40:42.904   Training iter 400, batch loss 0.1363, batch acc 0.9544
15:40:43.005   Training iter 450, batch loss 0.1354, batch acc 0.9524
15:40:43.106   Training iter 500, batch loss 0.1336, batch acc 0.9568
15:40:43.193   Training iter 550, batch loss 0.1358, batch acc 0.9512
15:40:43.286   Training iter 600, batch loss 0.1372, batch acc 0.9482
15:40:43.287 Training @ 3 epoch...
15:40:43.380   Training iter 50, batch loss 0.1324, batch acc 0.9572
15:40:43.487   Training iter 100, batch loss 0.1334, batch acc 0.9550
15:40:43.585   Training iter 150, batch loss 0.1201, batch acc 0.9632
15:40:43.697   Training iter 200, batch loss 0.1285, batch acc 0.9572
15:40:43.798   Training iter 250, batch loss 0.1356, batch acc 0.9524
15:40:43.909   Training iter 300, batch loss 0.1271, batch acc 0.9554
15:40:44.018   Training iter 350, batch loss 0.1261, batch acc 0.9606
15:40:44.134   Training iter 400, batch loss 0.1324, batch acc 0.9510
15:40:44.269   Training iter 450, batch loss 0.1217, batch acc 0.9592
15:40:44.364   Training iter 500, batch loss 0.1247, batch acc 0.9556
15:40:44.467   Training iter 550, batch loss 0.1271, batch acc 0.9594
15:40:44.550   Training iter 600, batch loss 0.1256, batch acc 0.9582
15:40:44.551 Training @ 4 epoch...
15:40:44.646   Training iter 50, batch loss 0.1181, batch acc 0.9622
15:40:44.736   Training iter 100, batch loss 0.1208, batch acc 0.9590
15:40:44.827   Training iter 150, batch loss 0.1183, batch acc 0.9604
15:40:44.922   Training iter 200, batch loss 0.1177, batch acc 0.9604
15:40:45.017   Training iter 250, batch loss 0.1184, batch acc 0.9620
15:40:45.105   Training iter 300, batch loss 0.1237, batch acc 0.9584
15:40:45.221   Training iter 350, batch loss 0.1222, batch acc 0.9568
15:40:45.308   Training iter 400, batch loss 0.1193, batch acc 0.9592
15:40:45.396   Training iter 450, batch loss 0.1167, batch acc 0.9596
15:40:45.479   Training iter 500, batch loss 0.1145, batch acc 0.9628
15:40:45.557   Training iter 550, batch loss 0.1108, batch acc 0.9664
15:40:45.659   Training iter 600, batch loss 0.1179, batch acc 0.9620
15:40:45.660 Training @ 5 epoch...
15:40:45.745   Training iter 50, batch loss 0.1110, batch acc 0.9630
15:40:45.845   Training iter 100, batch loss 0.1134, batch acc 0.9646
15:40:45.955   Training iter 150, batch loss 0.1148, batch acc 0.9644
15:40:46.042   Training iter 200, batch loss 0.1145, batch acc 0.9636
15:40:46.136   Training iter 250, batch loss 0.1153, batch acc 0.9620
15:40:46.234   Training iter 300, batch loss 0.1137, batch acc 0.9590
15:40:46.336   Training iter 350, batch loss 0.1091, batch acc 0.9632
15:40:46.445   Training iter 400, batch loss 0.1097, batch acc 0.9656
15:40:46.544   Training iter 450, batch loss 0.1072, batch acc 0.9656
