15:43:08.405 Training @ 0 epoch...
15:43:08.557   Training iter 50, batch loss 2.2685, batch acc 0.2780
15:43:08.659   Training iter 100, batch loss 1.7697, batch acc 0.5014
15:43:08.759   Training iter 150, batch loss 0.8905, batch acc 0.7654
15:43:08.869   Training iter 200, batch loss 0.6024, batch acc 0.8324
15:43:08.964   Training iter 250, batch loss 0.5164, batch acc 0.8460
15:43:09.057   Training iter 300, batch loss 0.4378, batch acc 0.8714
15:43:09.143   Training iter 350, batch loss 0.4213, batch acc 0.8778
15:43:09.237   Training iter 400, batch loss 0.4061, batch acc 0.8850
15:43:09.347   Training iter 450, batch loss 0.3573, batch acc 0.9038
15:43:09.441   Training iter 500, batch loss 0.3925, batch acc 0.8850
15:43:09.522   Training iter 550, batch loss 0.3560, batch acc 0.8938
15:43:09.620   Training iter 600, batch loss 0.3339, batch acc 0.9042
15:43:09.620 Testing @ 0 epoch...
15:43:09.704     Testing, total mean loss 0.33049, total acc 0.90430
15:43:09.704 Training @ 1 epoch...
15:43:09.809   Training iter 50, batch loss 0.3354, batch acc 0.9028
15:43:09.911   Training iter 100, batch loss 0.3318, batch acc 0.9048
15:43:10.028   Training iter 150, batch loss 0.3129, batch acc 0.9092
15:43:10.136   Training iter 200, batch loss 0.3013, batch acc 0.9182
15:43:10.243   Training iter 250, batch loss 0.3196, batch acc 0.9098
15:43:10.354   Training iter 300, batch loss 0.3047, batch acc 0.9098
15:43:10.492   Training iter 350, batch loss 0.2830, batch acc 0.9186
15:43:10.596   Training iter 400, batch loss 0.3099, batch acc 0.9078
15:43:10.692   Training iter 450, batch loss 0.2893, batch acc 0.9140
15:43:10.779   Training iter 500, batch loss 0.2907, batch acc 0.9222
15:43:10.875   Training iter 550, batch loss 0.2850, batch acc 0.9164
15:43:10.973   Training iter 600, batch loss 0.2854, batch acc 0.9154
15:43:10.976 Training @ 2 epoch...
15:43:11.070   Training iter 50, batch loss 0.2502, batch acc 0.9216
15:43:11.167   Training iter 100, batch loss 0.2785, batch acc 0.9204
15:43:11.248   Training iter 150, batch loss 0.2651, batch acc 0.9214
15:43:11.344   Training iter 200, batch loss 0.2483, batch acc 0.9260
15:43:11.429   Training iter 250, batch loss 0.2706, batch acc 0.9254
15:43:11.519   Training iter 300, batch loss 0.2381, batch acc 0.9320
15:43:11.610   Training iter 350, batch loss 0.2464, batch acc 0.9302
15:43:11.706   Training iter 400, batch loss 0.2470, batch acc 0.9318
15:43:11.845   Training iter 450, batch loss 0.2441, batch acc 0.9328
15:43:11.932   Training iter 500, batch loss 0.2447, batch acc 0.9276
15:43:12.029   Training iter 550, batch loss 0.2323, batch acc 0.9330
15:43:12.121   Training iter 600, batch loss 0.2120, batch acc 0.9380
15:43:12.121 Training @ 3 epoch...
15:43:12.214   Training iter 50, batch loss 0.2220, batch acc 0.9356
15:43:12.310   Training iter 100, batch loss 0.2183, batch acc 0.9354
15:43:12.407   Training iter 150, batch loss 0.2189, batch acc 0.9360
15:43:12.510   Training iter 200, batch loss 0.2364, batch acc 0.9276
15:43:12.609   Training iter 250, batch loss 0.2124, batch acc 0.9396
15:43:12.721   Training iter 300, batch loss 0.1989, batch acc 0.9434
15:43:12.825   Training iter 350, batch loss 0.1907, batch acc 0.9438
15:43:12.929   Training iter 400, batch loss 0.1991, batch acc 0.9402
15:43:13.022   Training iter 450, batch loss 0.2143, batch acc 0.9418
15:43:13.134   Training iter 500, batch loss 0.2008, batch acc 0.9448
15:43:13.269   Training iter 550, batch loss 0.2080, batch acc 0.9418
15:43:13.381   Training iter 600, batch loss 0.1947, batch acc 0.9446
15:43:13.381 Training @ 4 epoch...
15:43:13.501   Training iter 50, batch loss 0.1871, batch acc 0.9458
15:43:13.588   Training iter 100, batch loss 0.1877, batch acc 0.9470
15:43:13.683   Training iter 150, batch loss 0.1783, batch acc 0.9506
15:43:13.771   Training iter 200, batch loss 0.1778, batch acc 0.9482
15:43:13.858   Training iter 250, batch loss 0.1687, batch acc 0.9504
15:43:13.967   Training iter 300, batch loss 0.1986, batch acc 0.9420
15:43:14.055   Training iter 350, batch loss 0.1725, batch acc 0.9472
15:43:14.158   Training iter 400, batch loss 0.1641, batch acc 0.9536
15:43:14.243   Training iter 450, batch loss 0.1916, batch acc 0.9448
15:43:14.331   Training iter 500, batch loss 0.1769, batch acc 0.9516
15:43:14.430   Training iter 550, batch loss 0.1789, batch acc 0.9472
15:43:14.517   Training iter 600, batch loss 0.1705, batch acc 0.9496
15:43:14.518 Training @ 5 epoch...
15:43:14.605   Training iter 50, batch loss 0.1730, batch acc 0.9530
15:43:14.699   Training iter 100, batch loss 0.1648, batch acc 0.9560
15:43:14.786   Training iter 150, batch loss 0.1545, batch acc 0.9568
15:43:14.898   Training iter 200, batch loss 0.1744, batch acc 0.9526
15:43:14.991   Training iter 250, batch loss 0.1588, batch acc 0.9542
15:43:15.084   Training iter 300, batch loss 0.1629, batch acc 0.9544
15:43:15.172   Training iter 350, batch loss 0.1627, batch acc 0.9562
15:43:15.273   Training iter 400, batch loss 0.1586, batch acc 0.9552
15:43:15.374   Training iter 450, batch loss 0.1456, batch acc 0.9572
15:43:15.474   Training iter 500, batch loss 0.1589, batch acc 0.9522
15:43:15.587   Training iter 550, batch loss 0.1460, batch acc 0.9558
15:43:15.698   Training iter 600, batch loss 0.1457, batch acc 0.9572
15:43:15.700 Testing @ 5 epoch...
15:43:15.761     Testing, total mean loss 0.14690, total acc 0.95520
15:43:15.761 Training @ 6 epoch...
15:43:15.878   Training iter 50, batch loss 0.1494, batch acc 0.9622
15:43:15.990   Training iter 100, batch loss 0.1499, batch acc 0.9568
15:43:16.112   Training iter 150, batch loss 0.1468, batch acc 0.9570
15:43:16.204   Training iter 200, batch loss 0.1399, batch acc 0.9590
15:43:16.301   Training iter 250, batch loss 0.1329, batch acc 0.9626
15:43:16.400   Training iter 300, batch loss 0.1395, batch acc 0.9580
15:43:16.494   Training iter 350, batch loss 0.1395, batch acc 0.9614
15:43:16.580   Training iter 400, batch loss 0.1241, batch acc 0.9652
15:43:16.683   Training iter 450, batch loss 0.1425, batch acc 0.9590
15:43:16.778   Training iter 500, batch loss 0.1489, batch acc 0.9566
15:43:16.933   Training iter 550, batch loss 0.1536, batch acc 0.9576
15:43:17.027   Training iter 600, batch loss 0.1437, batch acc 0.9576
15:43:17.029 Training @ 7 epoch...
15:43:17.126   Training iter 50, batch loss 0.1341, batch acc 0.9630
15:43:17.299   Training iter 100, batch loss 0.1254, batch acc 0.9648
15:43:17.379   Training iter 150, batch loss 0.1312, batch acc 0.9608
15:43:17.468   Training iter 200, batch loss 0.1298, batch acc 0.9640
15:43:17.560   Training iter 250, batch loss 0.1150, batch acc 0.9706
15:43:17.658   Training iter 300, batch loss 0.1513, batch acc 0.9558
15:43:17.744   Training iter 350, batch loss 0.1207, batch acc 0.9690
15:43:17.848   Training iter 400, batch loss 0.1300, batch acc 0.9614
15:43:17.950   Training iter 450, batch loss 0.1399, batch acc 0.9594
15:43:18.056   Training iter 500, batch loss 0.1225, batch acc 0.9660
15:43:18.162   Training iter 550, batch loss 0.1254, batch acc 0.9652
15:43:18.261   Training iter 600, batch loss 0.1329, batch acc 0.9616
15:43:18.261 Training @ 8 epoch...
15:43:18.352   Training iter 50, batch loss 0.1192, batch acc 0.9660
15:43:18.459   Training iter 100, batch loss 0.1129, batch acc 0.9692
15:43:18.572   Training iter 150, batch loss 0.1194, batch acc 0.9658
15:43:18.687   Training iter 200, batch loss 0.1207, batch acc 0.9668
15:43:18.785   Training iter 250, batch loss 0.1164, batch acc 0.9670
15:43:18.891   Training iter 300, batch loss 0.1171, batch acc 0.9682
15:43:19.024   Training iter 350, batch loss 0.1164, batch acc 0.9696
15:43:19.129   Training iter 400, batch loss 0.1226, batch acc 0.9666
15:43:19.253   Training iter 450, batch loss 0.1292, batch acc 0.9658
15:43:19.344   Training iter 500, batch loss 0.1268, batch acc 0.9630
15:43:19.440   Training iter 550, batch loss 0.1235, batch acc 0.9664
15:43:19.525   Training iter 600, batch loss 0.1140, batch acc 0.9670
15:43:19.526 Training @ 9 epoch...
15:43:19.621   Training iter 50, batch loss 0.1101, batch acc 0.9710
15:43:19.719   Training iter 100, batch loss 0.1186, batch acc 0.9674
15:43:19.807   Training iter 150, batch loss 0.1159, batch acc 0.9680
15:43:19.897   Training iter 200, batch loss 0.1166, batch acc 0.9678
15:43:20.027   Training iter 250, batch loss 0.1042, batch acc 0.9686
15:43:20.130   Training iter 300, batch loss 0.1149, batch acc 0.9670
15:43:20.222   Training iter 350, batch loss 0.1117, batch acc 0.9686
15:43:20.314   Training iter 400, batch loss 0.1062, batch acc 0.9698
15:43:20.421   Training iter 450, batch loss 0.1033, batch acc 0.9718
15:43:20.516   Training iter 500, batch loss 0.1217, batch acc 0.9674
15:43:20.609   Training iter 550, batch loss 0.1132, batch acc 0.9682
15:43:20.702   Training iter 600, batch loss 0.1095, batch acc 0.9702
15:43:20.704 Training @ 10 epoch...
15:43:20.794   Training iter 50, batch loss 0.1005, batch acc 0.9744
15:43:20.898   Training iter 100, batch loss 0.1049, batch acc 0.9694
15:43:21.020   Training iter 150, batch loss 0.0945, batch acc 0.9724
15:43:21.129   Training iter 200, batch loss 0.1087, batch acc 0.9690
15:43:21.236   Training iter 250, batch loss 0.1125, batch acc 0.9682
15:43:21.342   Training iter 300, batch loss 0.0979, batch acc 0.9726
15:43:21.450   Training iter 350, batch loss 0.0933, batch acc 0.9734
