15:46:06.232 Training @ 0 epoch...
15:46:06.336   Training iter 50, batch loss 21.9726, batch acc 0.5220
15:46:06.433   Training iter 100, batch loss 4.3249, batch acc 0.8190
15:46:06.565   Training iter 150, batch loss 2.9219, batch acc 0.8754
15:46:06.656   Training iter 200, batch loss 2.7732, batch acc 0.8852
15:46:06.747   Training iter 250, batch loss 2.4467, batch acc 0.8844
15:46:06.884   Training iter 300, batch loss 2.1339, batch acc 0.9042
15:46:07.006   Training iter 350, batch loss 2.0152, batch acc 0.9088
15:46:07.105   Training iter 400, batch loss 2.0585, batch acc 0.9090
15:46:07.223   Training iter 450, batch loss 1.7634, batch acc 0.9192
15:46:07.321   Training iter 500, batch loss 1.7114, batch acc 0.9248
15:46:07.465   Training iter 550, batch loss 1.6577, batch acc 0.9248
15:46:07.572   Training iter 600, batch loss 1.6050, batch acc 0.9258
15:46:07.572 Testing @ 0 epoch...
15:46:07.646     Testing, total mean loss 1.49388, total acc 0.93180
15:46:07.646 Training @ 1 epoch...
15:46:07.810   Training iter 50, batch loss 1.3981, batch acc 0.9316
15:46:07.910   Training iter 100, batch loss 1.3501, batch acc 0.9380
15:46:08.032   Training iter 150, batch loss 1.5332, batch acc 0.9310
15:46:08.170   Training iter 200, batch loss 1.2898, batch acc 0.9378
15:46:08.254   Training iter 250, batch loss 1.4042, batch acc 0.9348
15:46:08.350   Training iter 300, batch loss 1.2804, batch acc 0.9362
15:46:08.445   Training iter 350, batch loss 1.1832, batch acc 0.9392
15:46:08.539   Training iter 400, batch loss 1.2488, batch acc 0.9412
15:46:08.643   Training iter 450, batch loss 1.2542, batch acc 0.9356
15:46:08.731   Training iter 500, batch loss 1.1497, batch acc 0.9424
15:46:08.840   Training iter 550, batch loss 1.1283, batch acc 0.9448
15:46:08.974   Training iter 600, batch loss 1.1187, batch acc 0.9464
15:46:08.975 Training @ 2 epoch...
15:46:09.073   Training iter 50, batch loss 0.9235, batch acc 0.9536
15:46:09.181   Training iter 100, batch loss 0.9505, batch acc 0.9534
15:46:09.269   Training iter 150, batch loss 1.0000, batch acc 0.9488
15:46:09.365   Training iter 200, batch loss 0.9446, batch acc 0.9514
15:46:09.450   Training iter 250, batch loss 0.9673, batch acc 0.9528
15:46:09.532   Training iter 300, batch loss 0.9354, batch acc 0.9542
15:46:09.625   Training iter 350, batch loss 0.8678, batch acc 0.9552
15:46:09.714   Training iter 400, batch loss 0.8553, batch acc 0.9564
15:46:09.810   Training iter 450, batch loss 0.8033, batch acc 0.9590
15:46:09.905   Training iter 500, batch loss 0.9024, batch acc 0.9514
15:46:10.002   Training iter 550, batch loss 0.9775, batch acc 0.9548
