15:49:50.261 Training @ 0 epoch...
15:49:50.555   Training iter 50, batch loss 0.1862, batch acc 0.1642
15:49:50.812   Training iter 100, batch loss 0.1852, batch acc 0.3168
15:49:51.051   Training iter 150, batch loss 0.1837, batch acc 0.3762
15:49:51.352   Training iter 200, batch loss 0.1811, batch acc 0.3184
15:49:51.527   Training iter 250, batch loss 0.1777, batch acc 0.3140
15:49:51.764   Training iter 300, batch loss 0.1716, batch acc 0.3508
15:49:51.995   Training iter 350, batch loss 0.1639, batch acc 0.3734
15:49:52.351   Training iter 400, batch loss 0.1519, batch acc 0.4576
15:49:52.570   Training iter 450, batch loss 0.1383, batch acc 0.5272
15:49:52.886   Training iter 500, batch loss 0.1216, batch acc 0.6134
15:49:53.466   Training iter 550, batch loss 0.1060, batch acc 0.6724
15:49:53.695   Training iter 600, batch loss 0.0924, batch acc 0.7076
15:49:53.696 Testing @ 0 epoch...
15:49:53.822     Testing, total mean loss 0.08368, total acc 0.73250
15:49:53.822 Training @ 1 epoch...
15:49:54.042   Training iter 50, batch loss 0.0797, batch acc 0.7406
15:49:54.324   Training iter 100, batch loss 0.0686, batch acc 0.7706
15:49:54.533   Training iter 150, batch loss 0.0620, batch acc 0.7826
15:49:54.825   Training iter 200, batch loss 0.0558, batch acc 0.8000
15:49:54.988   Training iter 250, batch loss 0.0503, batch acc 0.8054
15:49:55.211   Training iter 300, batch loss 0.0477, batch acc 0.8076
15:49:55.401   Training iter 350, batch loss 0.0445, batch acc 0.8106
15:49:55.568   Training iter 400, batch loss 0.0426, batch acc 0.8164
15:49:55.826   Training iter 450, batch loss 0.0410, batch acc 0.8150
15:49:56.033   Training iter 500, batch loss 0.0372, batch acc 0.8228
15:49:56.223   Training iter 550, batch loss 0.0370, batch acc 0.8350
15:49:56.389   Training iter 600, batch loss 0.0358, batch acc 0.8316
15:49:56.389 Training @ 2 epoch...
15:49:56.542   Training iter 50, batch loss 0.0333, batch acc 0.8318
15:49:56.795   Training iter 100, batch loss 0.0331, batch acc 0.8418
15:49:57.001   Training iter 150, batch loss 0.0316, batch acc 0.8472
15:49:57.221   Training iter 200, batch loss 0.0298, batch acc 0.8576
15:49:57.356   Training iter 250, batch loss 0.0289, batch acc 0.8496
15:49:57.570   Training iter 300, batch loss 0.0293, batch acc 0.8582
15:49:57.729   Training iter 350, batch loss 0.0289, batch acc 0.8540
15:49:57.913   Training iter 400, batch loss 0.0288, batch acc 0.8554
15:49:58.113   Training iter 450, batch loss 0.0294, batch acc 0.8490
15:49:58.324   Training iter 500, batch loss 0.0270, batch acc 0.8640
15:49:58.525   Training iter 550, batch loss 0.0272, batch acc 0.8622
15:49:58.708   Training iter 600, batch loss 0.0259, batch acc 0.8636
15:49:58.708 Training @ 3 epoch...
15:49:58.918   Training iter 50, batch loss 0.0251, batch acc 0.8692
15:49:59.084   Training iter 100, batch loss 0.0254, batch acc 0.8708
15:49:59.246   Training iter 150, batch loss 0.0251, batch acc 0.8720
15:49:59.414   Training iter 200, batch loss 0.0244, batch acc 0.8682
15:49:59.687   Training iter 250, batch loss 0.0259, batch acc 0.8684
15:49:59.887   Training iter 300, batch loss 0.0244, batch acc 0.8746
15:50:00.121   Training iter 350, batch loss 0.0250, batch acc 0.8714
15:50:00.315   Training iter 400, batch loss 0.0239, batch acc 0.8762
15:50:00.466   Training iter 450, batch loss 0.0229, batch acc 0.8746
15:50:00.653   Training iter 500, batch loss 0.0243, batch acc 0.8696
15:50:00.811   Training iter 550, batch loss 0.0236, batch acc 0.8734
15:50:00.990   Training iter 600, batch loss 0.0234, batch acc 0.8768
15:50:00.991 Training @ 4 epoch...
15:50:01.222   Training iter 50, batch loss 0.0234, batch acc 0.8784
15:50:01.381   Training iter 100, batch loss 0.0224, batch acc 0.8836
15:50:01.536   Training iter 150, batch loss 0.0215, batch acc 0.8806
15:50:01.695   Training iter 200, batch loss 0.0241, batch acc 0.8778
15:50:01.884   Training iter 250, batch loss 0.0231, batch acc 0.8724
15:50:02.063   Training iter 300, batch loss 0.0212, batch acc 0.8814
15:50:02.304   Training iter 350, batch loss 0.0223, batch acc 0.8822
15:50:02.439   Training iter 400, batch loss 0.0227, batch acc 0.8758
15:50:02.588   Training iter 450, batch loss 0.0209, batch acc 0.8920
15:50:02.735   Training iter 500, batch loss 0.0208, batch acc 0.8874
15:50:02.897   Training iter 550, batch loss 0.0206, batch acc 0.8906
15:50:03.048   Training iter 600, batch loss 0.0226, batch acc 0.8824
15:50:03.050 Training @ 5 epoch...
15:50:03.209   Training iter 50, batch loss 0.0213, batch acc 0.8850
15:50:03.370   Training iter 100, batch loss 0.0199, batch acc 0.8982
15:50:03.541   Training iter 150, batch loss 0.0216, batch acc 0.8854
15:50:03.700   Training iter 200, batch loss 0.0201, batch acc 0.8902
15:50:03.866   Training iter 250, batch loss 0.0202, batch acc 0.8882
15:50:04.055   Training iter 300, batch loss 0.0203, batch acc 0.8906
15:50:04.211   Training iter 350, batch loss 0.0216, batch acc 0.8884
15:50:04.364   Training iter 400, batch loss 0.0205, batch acc 0.8838
15:50:04.504   Training iter 450, batch loss 0.0209, batch acc 0.8860
15:50:04.642   Training iter 500, batch loss 0.0207, batch acc 0.8940
15:50:04.832   Training iter 550, batch loss 0.0208, batch acc 0.8892
15:50:04.997   Training iter 600, batch loss 0.0206, batch acc 0.8910
15:50:04.997 Testing @ 5 epoch...
15:50:05.069     Testing, total mean loss 0.01924, total acc 0.89610
15:50:05.069 Training @ 6 epoch...
15:50:05.200   Training iter 50, batch loss 0.0198, batch acc 0.8934
15:50:05.356   Training iter 100, batch loss 0.0200, batch acc 0.8890
15:50:05.504   Training iter 150, batch loss 0.0200, batch acc 0.8962
15:50:05.654   Training iter 200, batch loss 0.0198, batch acc 0.8950
15:50:05.815   Training iter 250, batch loss 0.0189, batch acc 0.8948
15:50:05.969   Training iter 300, batch loss 0.0201, batch acc 0.8908
15:50:06.130   Training iter 350, batch loss 0.0205, batch acc 0.8896
15:50:06.312   Training iter 400, batch loss 0.0191, batch acc 0.8998
15:50:06.479   Training iter 450, batch loss 0.0194, batch acc 0.8958
15:50:06.641   Training iter 500, batch loss 0.0199, batch acc 0.8888
15:50:06.825   Training iter 550, batch loss 0.0199, batch acc 0.8946
15:50:06.988   Training iter 600, batch loss 0.0196, batch acc 0.8934
15:50:06.989 Training @ 7 epoch...
15:50:07.163   Training iter 50, batch loss 0.0192, batch acc 0.8978
15:50:07.885   Training iter 100, batch loss 0.0189, batch acc 0.8942
15:50:08.257   Training iter 150, batch loss 0.0193, batch acc 0.8962
15:50:08.855   Training iter 200, batch loss 0.0197, batch acc 0.8960
15:50:09.020   Training iter 250, batch loss 0.0190, batch acc 0.8962
15:50:09.213   Training iter 300, batch loss 0.0187, batch acc 0.8950
15:50:09.388   Training iter 350, batch loss 0.0198, batch acc 0.8972
15:50:09.570   Training iter 400, batch loss 0.0188, batch acc 0.8996
15:50:09.790   Training iter 450, batch loss 0.0182, batch acc 0.9064
15:50:09.968   Training iter 500, batch loss 0.0197, batch acc 0.8912
15:50:10.137   Training iter 550, batch loss 0.0179, batch acc 0.9030
15:50:10.417   Training iter 600, batch loss 0.0194, batch acc 0.9004
15:50:10.419 Training @ 8 epoch...
15:50:10.650   Training iter 50, batch loss 0.0187, batch acc 0.9020
15:50:10.846   Training iter 100, batch loss 0.0181, batch acc 0.9002
15:50:11.040   Training iter 150, batch loss 0.0192, batch acc 0.9020
15:50:11.233   Training iter 200, batch loss 0.0196, batch acc 0.8958
15:50:11.493   Training iter 250, batch loss 0.0185, batch acc 0.8950
15:50:11.712   Training iter 300, batch loss 0.0187, batch acc 0.8920
15:50:11.909   Training iter 350, batch loss 0.0182, batch acc 0.9014
15:50:12.167   Training iter 400, batch loss 0.0181, batch acc 0.9058
15:50:12.370   Training iter 450, batch loss 0.0187, batch acc 0.9014
15:50:12.678   Training iter 500, batch loss 0.0179, batch acc 0.9046
15:50:12.861   Training iter 550, batch loss 0.0189, batch acc 0.9008
15:50:13.038   Training iter 600, batch loss 0.0171, batch acc 0.9058
15:50:13.039 Training @ 9 epoch...
15:50:13.243   Training iter 50, batch loss 0.0184, batch acc 0.9054
15:50:13.430   Training iter 100, batch loss 0.0183, batch acc 0.8990
15:50:13.600   Training iter 150, batch loss 0.0188, batch acc 0.8938
15:50:13.761   Training iter 200, batch loss 0.0198, batch acc 0.8898
15:50:13.922   Training iter 250, batch loss 0.0181, batch acc 0.9022
15:50:14.075   Training iter 300, batch loss 0.0172, batch acc 0.9082
15:50:14.229   Training iter 350, batch loss 0.0174, batch acc 0.9034
15:50:14.387   Training iter 400, batch loss 0.0176, batch acc 0.9056
15:50:14.531   Training iter 450, batch loss 0.0168, batch acc 0.9070
15:50:14.726   Training iter 500, batch loss 0.0177, batch acc 0.9082
15:50:14.924   Training iter 550, batch loss 0.0186, batch acc 0.8970
15:50:15.103   Training iter 600, batch loss 0.0171, batch acc 0.9108
15:50:15.105 Training @ 10 epoch...
15:50:15.271   Training iter 50, batch loss 0.0174, batch acc 0.9026
15:50:15.485   Training iter 100, batch loss 0.0171, batch acc 0.9098
15:50:15.638   Training iter 150, batch loss 0.0179, batch acc 0.9040
15:50:15.784   Training iter 200, batch loss 0.0184, batch acc 0.9048
