16:09:15.056 Training @ 0 epoch...
16:09:15.233   Training iter 50, batch loss 0.6776, batch acc 0.5784
16:09:15.398   Training iter 100, batch loss 0.4501, batch acc 0.8208
16:09:15.493   Training iter 150, batch loss 0.4218, batch acc 0.8406
16:09:15.642   Training iter 200, batch loss 0.4090, batch acc 0.8496
16:09:15.743   Training iter 250, batch loss 0.3919, batch acc 0.8566
16:09:15.867   Training iter 300, batch loss 0.3938, batch acc 0.8524
16:09:15.963   Training iter 350, batch loss 0.3880, batch acc 0.8492
16:09:16.060   Training iter 400, batch loss 0.3662, batch acc 0.8640
16:09:16.174   Training iter 450, batch loss 0.3563, batch acc 0.8708
16:09:16.281   Training iter 500, batch loss 0.3495, batch acc 0.8698
16:09:16.406   Training iter 550, batch loss 0.3433, batch acc 0.8732
16:09:16.514   Training iter 600, batch loss 0.3227, batch acc 0.8864
16:09:16.514 Testing @ 0 epoch...
16:09:16.616     Testing, total mean loss 0.34257, total acc 0.86760
16:09:16.617 Training @ 1 epoch...
16:09:16.747   Training iter 50, batch loss 0.3229, batch acc 0.8798
16:09:16.906   Training iter 100, batch loss 0.3227, batch acc 0.8824
16:09:17.045   Training iter 150, batch loss 0.3219, batch acc 0.8798
16:09:17.146   Training iter 200, batch loss 0.2965, batch acc 0.8900
16:09:17.285   Training iter 250, batch loss 0.3053, batch acc 0.8854
16:09:17.403   Training iter 300, batch loss 0.2878, batch acc 0.8954
16:09:17.502   Training iter 350, batch loss 0.2741, batch acc 0.9004
16:09:17.639   Training iter 400, batch loss 0.2794, batch acc 0.8964
16:09:17.778   Training iter 450, batch loss 0.2772, batch acc 0.8972
16:09:17.902   Training iter 500, batch loss 0.2662, batch acc 0.9026
16:09:18.020   Training iter 550, batch loss 0.2559, batch acc 0.9006
16:09:18.144   Training iter 600, batch loss 0.2563, batch acc 0.9016
16:09:18.146 Training @ 2 epoch...
16:09:18.254   Training iter 50, batch loss 0.2549, batch acc 0.9046
16:09:18.380   Training iter 100, batch loss 0.2495, batch acc 0.9040
