16:16:19.398 Training @ 0 epoch...
16:16:19.611   Training iter 50, batch loss 0.6849, batch acc 0.5842
16:16:19.752   Training iter 100, batch loss 0.4547, batch acc 0.8218
16:16:19.884   Training iter 150, batch loss 0.4199, batch acc 0.8398
16:16:20.032   Training iter 200, batch loss 0.4076, batch acc 0.8480
16:16:20.150   Training iter 250, batch loss 0.4035, batch acc 0.8460
16:16:20.266   Training iter 300, batch loss 0.3933, batch acc 0.8558
16:16:20.392   Training iter 350, batch loss 0.3856, batch acc 0.8598
16:16:20.532   Training iter 400, batch loss 0.3670, batch acc 0.8600
16:16:20.651   Training iter 450, batch loss 0.3457, batch acc 0.8750
16:16:20.777   Training iter 500, batch loss 0.3475, batch acc 0.8722
16:16:20.902   Training iter 550, batch loss 0.3352, batch acc 0.8766
16:16:21.019   Training iter 600, batch loss 0.3402, batch acc 0.8702
16:16:21.019 Testing @ 0 epoch...
16:16:21.128     Testing, total mean loss 0.32572, total acc 0.86850
16:16:21.128 Training @ 1 epoch...
16:16:21.275   Training iter 50, batch loss 0.3204, batch acc 0.8794
16:16:21.484   Training iter 100, batch loss 0.3103, batch acc 0.8836
16:16:21.594   Training iter 150, batch loss 0.3011, batch acc 0.8804
16:16:21.693   Training iter 200, batch loss 0.3059, batch acc 0.8836
16:16:21.804   Training iter 250, batch loss 0.3059, batch acc 0.8770
16:16:21.898   Training iter 300, batch loss 0.2912, batch acc 0.8892
16:16:22.016   Training iter 350, batch loss 0.2823, batch acc 0.8948
16:16:22.102   Training iter 400, batch loss 0.2856, batch acc 0.8930
16:16:22.212   Training iter 450, batch loss 0.2718, batch acc 0.8934
16:16:22.320   Training iter 500, batch loss 0.2805, batch acc 0.8814
16:16:22.444   Training iter 550, batch loss 0.2658, batch acc 0.8992
16:16:22.625   Training iter 600, batch loss 0.2596, batch acc 0.8952
16:16:22.626 Training @ 2 epoch...
16:16:22.719   Training iter 50, batch loss 0.2589, batch acc 0.8934
16:16:22.845   Training iter 100, batch loss 0.2622, batch acc 0.8924
16:16:22.941   Training iter 150, batch loss 0.2570, batch acc 0.9026
16:16:23.085   Training iter 200, batch loss 0.2423, batch acc 0.8990
16:16:23.206   Training iter 250, batch loss 0.2290, batch acc 0.9086
16:16:23.299   Training iter 300, batch loss 0.2349, batch acc 0.9098
16:16:23.403   Training iter 350, batch loss 0.2352, batch acc 0.9016
16:16:23.530   Training iter 400, batch loss 0.2448, batch acc 0.9056
16:16:23.658   Training iter 450, batch loss 0.2328, batch acc 0.9098
16:16:23.779   Training iter 500, batch loss 0.2346, batch acc 0.9032
16:16:23.902   Training iter 550, batch loss 0.2313, batch acc 0.9026
16:16:24.040   Training iter 600, batch loss 0.2226, batch acc 0.9120
16:16:24.041 Training @ 3 epoch...
16:16:24.183   Training iter 50, batch loss 0.2215, batch acc 0.9158
16:16:24.390   Training iter 100, batch loss 0.2315, batch acc 0.9120
16:16:24.523   Training iter 150, batch loss 0.2203, batch acc 0.9138
16:16:24.645   Training iter 200, batch loss 0.2191, batch acc 0.9098
16:16:24.759   Training iter 250, batch loss 0.2233, batch acc 0.9074
16:16:24.896   Training iter 300, batch loss 0.2260, batch acc 0.9122
16:16:25.092   Training iter 350, batch loss 0.2241, batch acc 0.9080
16:16:25.217   Training iter 400, batch loss 0.2266, batch acc 0.9072
16:16:25.343   Training iter 450, batch loss 0.2214, batch acc 0.9132
