18:18:08.796 Training @ 0 epoch...
18:18:08.953   Training iter 50, batch loss 17.3523, batch acc 0.6110
18:18:09.094   Training iter 100, batch loss 3.5277, batch acc 0.8468
18:18:09.215   Training iter 150, batch loss 2.9595, batch acc 0.8804
18:18:09.325   Training iter 200, batch loss 2.8330, batch acc 0.8792
18:18:09.434   Training iter 250, batch loss 2.6204, batch acc 0.8920
18:18:09.527   Training iter 300, batch loss 2.3040, batch acc 0.8978
18:18:09.620   Training iter 350, batch loss 2.2641, batch acc 0.8956
18:18:09.814   Training iter 400, batch loss 2.4184, batch acc 0.8962
18:18:09.964   Training iter 450, batch loss 1.9600, batch acc 0.9124
18:18:10.080   Training iter 500, batch loss 1.8432, batch acc 0.9202
18:18:10.230   Training iter 550, batch loss 1.7540, batch acc 0.9278
18:18:10.353   Training iter 600, batch loss 1.7268, batch acc 0.9232
18:18:10.354 Testing @ 0 epoch...
18:18:10.453     Testing, total mean loss 1.66297, total acc 0.92540
18:18:10.453 Training @ 1 epoch...
18:18:10.571   Training iter 50, batch loss 1.7984, batch acc 0.9218
18:18:10.696   Training iter 100, batch loss 1.5369, batch acc 0.9278
18:18:10.833   Training iter 150, batch loss 1.4316, batch acc 0.9304
18:18:10.927   Training iter 200, batch loss 1.3697, batch acc 0.9362
18:18:11.028   Training iter 250, batch loss 1.3380, batch acc 0.9376
18:18:11.117   Training iter 300, batch loss 1.2863, batch acc 0.9390
18:18:11.213   Training iter 350, batch loss 1.3707, batch acc 0.9388
18:18:11.321   Training iter 400, batch loss 1.2964, batch acc 0.9388
18:18:11.433   Training iter 450, batch loss 1.1992, batch acc 0.9428
18:18:11.528   Training iter 500, batch loss 1.2797, batch acc 0.9396
18:18:11.628   Training iter 550, batch loss 1.2051, batch acc 0.9434
18:18:11.714   Training iter 600, batch loss 1.1799, batch acc 0.9450
18:18:11.715 Training @ 2 epoch...
18:18:12.019   Training iter 50, batch loss 1.0191, batch acc 0.9476
18:18:12.112   Training iter 100, batch loss 0.9685, batch acc 0.9554
18:18:12.210   Training iter 150, batch loss 1.0625, batch acc 0.9486
18:18:12.302   Training iter 200, batch loss 1.1158, batch acc 0.9470
18:18:12.390   Training iter 250, batch loss 0.9682, batch acc 0.9522
18:18:12.489   Training iter 300, batch loss 0.9300, batch acc 0.9504
18:18:12.580   Training iter 350, batch loss 0.9291, batch acc 0.9550
18:18:12.672   Training iter 400, batch loss 0.9666, batch acc 0.9550
18:18:12.765   Training iter 450, batch loss 0.9438, batch acc 0.9494
18:18:12.887   Training iter 500, batch loss 1.1265, batch acc 0.9498
18:18:13.042   Training iter 550, batch loss 0.7671, batch acc 0.9590
18:18:13.190   Training iter 600, batch loss 0.8037, batch acc 0.9600
18:18:13.192 Training @ 3 epoch...
18:18:13.296   Training iter 50, batch loss 0.7234, batch acc 0.9646
18:18:13.410   Training iter 100, batch loss 0.6996, batch acc 0.9638
18:18:13.587   Training iter 150, batch loss 0.8024, batch acc 0.9616
18:18:13.739   Training iter 200, batch loss 0.7025, batch acc 0.9652
18:18:13.845   Training iter 250, batch loss 0.7353, batch acc 0.9626
18:18:14.030   Training iter 300, batch loss 0.7464, batch acc 0.9630
18:18:14.140   Training iter 350, batch loss 0.8027, batch acc 0.9572
18:18:14.251   Training iter 400, batch loss 0.8025, batch acc 0.9580
18:18:14.380   Training iter 450, batch loss 0.8113, batch acc 0.9596
18:18:14.521   Training iter 500, batch loss 0.8529, batch acc 0.9570
18:18:14.740   Training iter 550, batch loss 0.7308, batch acc 0.9640
18:18:14.913   Training iter 600, batch loss 0.5388, batch acc 0.9692
18:18:14.914 Training @ 4 epoch...
18:18:15.023   Training iter 50, batch loss 0.5333, batch acc 0.9714
18:18:15.142   Training iter 100, batch loss 0.6115, batch acc 0.9672
18:18:15.335   Training iter 150, batch loss 0.6231, batch acc 0.9686
18:18:15.477   Training iter 200, batch loss 0.6170, batch acc 0.9672
18:18:15.586   Training iter 250, batch loss 0.6353, batch acc 0.9670
18:18:15.703   Training iter 300, batch loss 0.7358, batch acc 0.9610
18:18:15.870   Training iter 350, batch loss 0.6518, batch acc 0.9640
18:18:15.984   Training iter 400, batch loss 0.7382, batch acc 0.9612
18:18:16.080   Training iter 450, batch loss 0.6588, batch acc 0.9670
18:18:16.230   Training iter 500, batch loss 0.6185, batch acc 0.9692
18:18:16.362   Training iter 550, batch loss 0.6271, batch acc 0.9692
18:18:16.474   Training iter 600, batch loss 0.5985, batch acc 0.9692
18:18:16.475 Training @ 5 epoch...
18:18:16.588   Training iter 50, batch loss 0.5333, batch acc 0.9692
18:18:16.706   Training iter 100, batch loss 0.5585, batch acc 0.9686
18:18:16.797   Training iter 150, batch loss 0.5529, batch acc 0.9686
18:18:16.900   Training iter 200, batch loss 0.5615, batch acc 0.9720
18:18:17.002   Training iter 250, batch loss 0.5634, batch acc 0.9678
18:18:17.091   Training iter 300, batch loss 0.5255, batch acc 0.9742
18:18:17.172   Training iter 350, batch loss 0.4891, batch acc 0.9726
18:18:17.268   Training iter 400, batch loss 0.5259, batch acc 0.9722
18:18:17.406   Training iter 450, batch loss 0.5804, batch acc 0.9664
18:18:17.540   Training iter 500, batch loss 0.5409, batch acc 0.9724
18:18:17.648   Training iter 550, batch loss 0.6353, batch acc 0.9658
18:18:17.762   Training iter 600, batch loss 0.4899, batch acc 0.9724
18:18:17.762 Testing @ 5 epoch...
18:18:17.837     Testing, total mean loss 0.66222, total acc 0.96610
18:18:17.837 Training @ 6 epoch...
18:18:17.941   Training iter 50, batch loss 0.5327, batch acc 0.9730
18:18:18.032   Training iter 100, batch loss 0.5982, batch acc 0.9682
18:18:18.117   Training iter 150, batch loss 0.4461, batch acc 0.9750
18:18:18.200   Training iter 200, batch loss 0.4142, batch acc 0.9772
18:18:18.278   Training iter 250, batch loss 0.4383, batch acc 0.9762
18:18:18.360   Training iter 300, batch loss 0.4506, batch acc 0.9750
18:18:18.465   Training iter 350, batch loss 0.5055, batch acc 0.9720
18:18:18.574   Training iter 400, batch loss 0.4211, batch acc 0.9770
18:18:18.721   Training iter 450, batch loss 0.4595, batch acc 0.9744
18:18:18.843   Training iter 500, batch loss 0.5215, batch acc 0.9750
18:18:18.994   Training iter 550, batch loss 0.4903, batch acc 0.9724
18:18:19.086   Training iter 600, batch loss 0.5296, batch acc 0.9712
18:18:19.087 Training @ 7 epoch...
18:18:19.203   Training iter 50, batch loss 0.3710, batch acc 0.9764
18:18:19.343   Training iter 100, batch loss 0.3939, batch acc 0.9776
18:18:19.436   Training iter 150, batch loss 0.4787, batch acc 0.9718
18:18:19.523   Training iter 200, batch loss 0.4544, batch acc 0.9758
18:18:19.625   Training iter 250, batch loss 0.5280, batch acc 0.9734
18:18:19.712   Training iter 300, batch loss 0.4284, batch acc 0.9770
18:18:19.802   Training iter 350, batch loss 0.4538, batch acc 0.9750
18:18:19.911   Training iter 400, batch loss 0.4374, batch acc 0.9762
18:18:20.008   Training iter 450, batch loss 0.4360, batch acc 0.9730
18:18:20.098   Training iter 500, batch loss 0.4553, batch acc 0.9756
18:18:20.202   Training iter 550, batch loss 0.4076, batch acc 0.9766
18:18:20.289   Training iter 600, batch loss 0.5074, batch acc 0.9712
18:18:20.291 Training @ 8 epoch...
18:18:20.381   Training iter 50, batch loss 0.4298, batch acc 0.9760
18:18:20.470   Training iter 100, batch loss 0.3523, batch acc 0.9800
18:18:20.564   Training iter 150, batch loss 0.4056, batch acc 0.9748
18:18:20.652   Training iter 200, batch loss 0.4726, batch acc 0.9744
18:18:20.741   Training iter 250, batch loss 0.4083, batch acc 0.9760
18:18:20.820   Training iter 300, batch loss 0.3357, batch acc 0.9812
18:18:20.910   Training iter 350, batch loss 0.4715, batch acc 0.9738
18:18:21.009   Training iter 400, batch loss 0.4118, batch acc 0.9758
18:18:21.104   Training iter 450, batch loss 0.3719, batch acc 0.9788
18:18:21.189   Training iter 500, batch loss 0.3795, batch acc 0.9796
18:18:21.281   Training iter 550, batch loss 0.4105, batch acc 0.9760
18:18:21.369   Training iter 600, batch loss 0.4321, batch acc 0.9754
18:18:21.370 Training @ 9 epoch...
18:18:21.471   Training iter 50, batch loss 0.3286, batch acc 0.9810
18:18:21.582   Training iter 100, batch loss 0.4015, batch acc 0.9776
18:18:21.687   Training iter 150, batch loss 0.3488, batch acc 0.9800
18:18:21.786   Training iter 200, batch loss 0.4571, batch acc 0.9756
18:18:21.904   Training iter 250, batch loss 0.3233, batch acc 0.9824
18:18:22.019   Training iter 300, batch loss 0.3757, batch acc 0.9790
18:18:22.144   Training iter 350, batch loss 0.3353, batch acc 0.9840
18:18:22.292   Training iter 400, batch loss 0.3287, batch acc 0.9800
18:18:22.407   Training iter 450, batch loss 0.2988, batch acc 0.9830
18:18:22.501   Training iter 500, batch loss 0.4093, batch acc 0.9726
18:18:22.595   Training iter 550, batch loss 0.3975, batch acc 0.9762
18:18:22.689   Training iter 600, batch loss 0.4842, batch acc 0.9732
