18:20:49.982 Training @ 0 epoch...
18:20:50.114   Training iter 50, batch loss 0.1850, batch acc 0.1802
18:20:50.219   Training iter 100, batch loss 0.1806, batch acc 0.2508
18:20:50.399   Training iter 150, batch loss 0.1735, batch acc 0.3902
18:20:50.525   Training iter 200, batch loss 0.1617, batch acc 0.4626
18:20:50.659   Training iter 250, batch loss 0.1451, batch acc 0.5518
18:20:50.777   Training iter 300, batch loss 0.1231, batch acc 0.6164
18:20:50.909   Training iter 350, batch loss 0.1033, batch acc 0.6756
18:20:51.031   Training iter 400, batch loss 0.0849, batch acc 0.7324
18:20:51.192   Training iter 450, batch loss 0.0722, batch acc 0.7588
18:20:51.327   Training iter 500, batch loss 0.0608, batch acc 0.7994
18:20:51.510   Training iter 550, batch loss 0.0543, batch acc 0.8066
18:20:51.644   Training iter 600, batch loss 0.0489, batch acc 0.8120
18:20:51.645 Testing @ 0 epoch...
18:20:51.766     Testing, total mean loss 0.04431, total acc 0.82950
18:20:51.766 Training @ 1 epoch...
18:20:51.924   Training iter 50, batch loss 0.0434, batch acc 0.8322
18:20:52.093   Training iter 100, batch loss 0.0399, batch acc 0.8350
18:20:52.258   Training iter 150, batch loss 0.0375, batch acc 0.8314
18:20:52.364   Training iter 200, batch loss 0.0367, batch acc 0.8376
18:20:52.493   Training iter 250, batch loss 0.0335, batch acc 0.8498
18:20:52.593   Training iter 300, batch loss 0.0318, batch acc 0.8520
18:20:52.714   Training iter 350, batch loss 0.0323, batch acc 0.8414
18:20:52.842   Training iter 400, batch loss 0.0301, batch acc 0.8564
18:20:52.960   Training iter 450, batch loss 0.0299, batch acc 0.8606
18:20:53.095   Training iter 500, batch loss 0.0280, batch acc 0.8678
18:20:53.225   Training iter 550, batch loss 0.0283, batch acc 0.8616
18:20:53.354   Training iter 600, batch loss 0.0270, batch acc 0.8616
18:20:53.356 Training @ 2 epoch...
18:20:53.606   Training iter 50, batch loss 0.0273, batch acc 0.8592
18:20:53.953   Training iter 100, batch loss 0.0254, batch acc 0.8740
18:20:54.066   Training iter 150, batch loss 0.0242, batch acc 0.8774
18:20:54.160   Training iter 200, batch loss 0.0247, batch acc 0.8814
18:20:54.253   Training iter 250, batch loss 0.0250, batch acc 0.8688
18:20:54.384   Training iter 300, batch loss 0.0233, batch acc 0.8794
18:20:54.481   Training iter 350, batch loss 0.0248, batch acc 0.8670
18:20:54.594   Training iter 400, batch loss 0.0240, batch acc 0.8778
18:20:54.714   Training iter 450, batch loss 0.0225, batch acc 0.8816
18:20:54.842   Training iter 500, batch loss 0.0233, batch acc 0.8798
18:20:54.935   Training iter 550, batch loss 0.0227, batch acc 0.8882
18:20:55.054   Training iter 600, batch loss 0.0229, batch acc 0.8762
18:20:55.054 Training @ 3 epoch...
18:20:55.148   Training iter 50, batch loss 0.0236, batch acc 0.8790
18:20:55.234   Training iter 100, batch loss 0.0225, batch acc 0.8808
18:20:55.321   Training iter 150, batch loss 0.0216, batch acc 0.8864
18:20:55.410   Training iter 200, batch loss 0.0201, batch acc 0.8914
18:20:55.522   Training iter 250, batch loss 0.0229, batch acc 0.8772
18:20:55.605   Training iter 300, batch loss 0.0227, batch acc 0.8806
18:20:55.701   Training iter 350, batch loss 0.0212, batch acc 0.8872
18:20:55.786   Training iter 400, batch loss 0.0187, batch acc 0.8952
18:20:55.878   Training iter 450, batch loss 0.0189, batch acc 0.9080
18:20:55.963   Training iter 500, batch loss 0.0219, batch acc 0.8810
18:20:56.063   Training iter 550, batch loss 0.0206, batch acc 0.8912
18:20:56.147   Training iter 600, batch loss 0.0198, batch acc 0.8956
18:20:56.149 Training @ 4 epoch...
18:20:56.241   Training iter 50, batch loss 0.0204, batch acc 0.8926
18:20:56.348   Training iter 100, batch loss 0.0194, batch acc 0.8950
18:20:56.439   Training iter 150, batch loss 0.0198, batch acc 0.8944
18:20:56.532   Training iter 200, batch loss 0.0197, batch acc 0.8976
18:20:56.631   Training iter 250, batch loss 0.0189, batch acc 0.8980
18:20:56.722   Training iter 300, batch loss 0.0198, batch acc 0.8932
18:20:56.823   Training iter 350, batch loss 0.0195, batch acc 0.8932
18:20:56.917   Training iter 400, batch loss 0.0207, batch acc 0.8912
18:20:57.030   Training iter 450, batch loss 0.0192, batch acc 0.8968
18:20:57.143   Training iter 500, batch loss 0.0195, batch acc 0.8930
18:20:57.258   Training iter 550, batch loss 0.0189, batch acc 0.8976
18:20:57.351   Training iter 600, batch loss 0.0201, batch acc 0.8910
18:20:57.351 Training @ 5 epoch...
18:20:57.457   Training iter 50, batch loss 0.0192, batch acc 0.9012
18:20:57.598   Training iter 100, batch loss 0.0178, batch acc 0.9024
18:20:57.698   Training iter 150, batch loss 0.0193, batch acc 0.8970
18:20:57.784   Training iter 200, batch loss 0.0188, batch acc 0.9016
18:20:57.884   Training iter 250, batch loss 0.0194, batch acc 0.8960
18:20:57.998   Training iter 300, batch loss 0.0191, batch acc 0.8946
18:20:58.094   Training iter 350, batch loss 0.0180, batch acc 0.9012
18:20:58.184   Training iter 400, batch loss 0.0191, batch acc 0.8964
18:20:58.279   Training iter 450, batch loss 0.0181, batch acc 0.9060
18:20:58.386   Training iter 500, batch loss 0.0187, batch acc 0.8988
18:20:58.479   Training iter 550, batch loss 0.0178, batch acc 0.9034
18:20:58.582   Training iter 600, batch loss 0.0184, batch acc 0.8968
18:20:58.582 Testing @ 5 epoch...
18:20:58.673     Testing, total mean loss 0.01759, total acc 0.90500
18:20:58.673 Training @ 6 epoch...
18:20:58.775   Training iter 50, batch loss 0.0188, batch acc 0.8936
18:20:58.877   Training iter 100, batch loss 0.0191, batch acc 0.8956
18:20:59.018   Training iter 150, batch loss 0.0175, batch acc 0.9066
18:20:59.136   Training iter 200, batch loss 0.0183, batch acc 0.9048
18:20:59.262   Training iter 250, batch loss 0.0178, batch acc 0.9048
18:20:59.381   Training iter 300, batch loss 0.0178, batch acc 0.9042
18:20:59.474   Training iter 350, batch loss 0.0184, batch acc 0.8998
18:20:59.697   Training iter 400, batch loss 0.0173, batch acc 0.9042
18:20:59.816   Training iter 450, batch loss 0.0173, batch acc 0.9132
18:20:59.949   Training iter 500, batch loss 0.0185, batch acc 0.8968
18:21:00.093   Training iter 550, batch loss 0.0177, batch acc 0.9008
18:21:00.247   Training iter 600, batch loss 0.0169, batch acc 0.9052
18:21:00.249 Training @ 7 epoch...
18:21:00.399   Training iter 50, batch loss 0.0187, batch acc 0.9026
18:21:00.541   Training iter 100, batch loss 0.0170, batch acc 0.9086
18:21:00.640   Training iter 150, batch loss 0.0170, batch acc 0.9030
18:21:00.743   Training iter 200, batch loss 0.0176, batch acc 0.9030
18:21:00.930   Training iter 250, batch loss 0.0161, batch acc 0.9130
18:21:01.057   Training iter 300, batch loss 0.0177, batch acc 0.9040
18:21:01.179   Training iter 350, batch loss 0.0186, batch acc 0.9034
18:21:01.297   Training iter 400, batch loss 0.0173, batch acc 0.9076
18:21:01.422   Training iter 450, batch loss 0.0181, batch acc 0.9036
18:21:01.551   Training iter 500, batch loss 0.0162, batch acc 0.9112
18:21:01.693   Training iter 550, batch loss 0.0162, batch acc 0.9086
18:21:01.828   Training iter 600, batch loss 0.0183, batch acc 0.9022
18:21:01.828 Training @ 8 epoch...
18:21:01.965   Training iter 50, batch loss 0.0167, batch acc 0.9108
18:21:02.107   Training iter 100, batch loss 0.0165, batch acc 0.9102
18:21:02.232   Training iter 150, batch loss 0.0176, batch acc 0.9032
18:21:02.360   Training iter 200, batch loss 0.0185, batch acc 0.8984
18:21:02.479   Training iter 250, batch loss 0.0168, batch acc 0.9084
18:21:02.623   Training iter 300, batch loss 0.0167, batch acc 0.9092
18:21:02.793   Training iter 350, batch loss 0.0173, batch acc 0.9106
18:21:02.920   Training iter 400, batch loss 0.0162, batch acc 0.9106
18:21:03.063   Training iter 450, batch loss 0.0171, batch acc 0.9054
18:21:03.234   Training iter 500, batch loss 0.0170, batch acc 0.9084
18:21:03.368   Training iter 550, batch loss 0.0159, batch acc 0.9122
18:21:03.492   Training iter 600, batch loss 0.0178, batch acc 0.9082
18:21:03.493 Training @ 9 epoch...
18:21:03.610   Training iter 50, batch loss 0.0177, batch acc 0.8996
18:21:03.890   Training iter 100, batch loss 0.0168, batch acc 0.9052
18:21:04.012   Training iter 150, batch loss 0.0160, batch acc 0.9094
18:21:04.124   Training iter 200, batch loss 0.0165, batch acc 0.9104
