18:24:17.114 Training @ 0 epoch...
18:24:17.371   Training iter 50, batch loss 0.8479, batch acc 0.3772
18:24:17.566   Training iter 100, batch loss 0.5749, batch acc 0.7062
18:24:17.692   Training iter 150, batch loss 0.4755, batch acc 0.7926
18:24:17.842   Training iter 200, batch loss 0.4297, batch acc 0.8330
18:24:17.973   Training iter 250, batch loss 0.3923, batch acc 0.8536
18:24:18.165   Training iter 300, batch loss 0.3635, batch acc 0.8620
18:24:18.290   Training iter 350, batch loss 0.3543, batch acc 0.8620
18:24:18.423   Training iter 400, batch loss 0.3290, batch acc 0.8722
18:24:18.550   Training iter 450, batch loss 0.3175, batch acc 0.8744
18:24:18.673   Training iter 500, batch loss 0.2922, batch acc 0.8854
18:24:18.793   Training iter 550, batch loss 0.2803, batch acc 0.8834
18:24:18.920   Training iter 600, batch loss 0.2664, batch acc 0.8944
18:24:18.921 Testing @ 0 epoch...
18:24:18.997     Testing, total mean loss 0.25500, total acc 0.90220
18:24:18.997 Training @ 1 epoch...
18:24:19.098   Training iter 50, batch loss 0.2561, batch acc 0.8990
18:24:19.206   Training iter 100, batch loss 0.2444, batch acc 0.9000
18:24:19.336   Training iter 150, batch loss 0.2462, batch acc 0.8984
18:24:19.459   Training iter 200, batch loss 0.2480, batch acc 0.9012
18:24:19.560   Training iter 250, batch loss 0.2338, batch acc 0.9060
18:24:19.675   Training iter 300, batch loss 0.2301, batch acc 0.9048
18:24:19.868   Training iter 350, batch loss 0.2255, batch acc 0.9126
18:24:19.968   Training iter 400, batch loss 0.2226, batch acc 0.9116
18:24:20.103   Training iter 450, batch loss 0.2108, batch acc 0.9166
18:24:20.303   Training iter 500, batch loss 0.2077, batch acc 0.9228
18:24:20.406   Training iter 550, batch loss 0.2176, batch acc 0.9090
18:24:20.530   Training iter 600, batch loss 0.2125, batch acc 0.9190
18:24:20.530 Training @ 2 epoch...
18:24:20.640   Training iter 50, batch loss 0.2035, batch acc 0.9178
18:24:20.733   Training iter 100, batch loss 0.2027, batch acc 0.9208
18:24:20.821   Training iter 150, batch loss 0.1985, batch acc 0.9238
18:24:20.905   Training iter 200, batch loss 0.1972, batch acc 0.9184
18:24:21.094   Training iter 250, batch loss 0.2028, batch acc 0.9162
18:24:21.211   Training iter 300, batch loss 0.1930, batch acc 0.9250
18:24:21.311   Training iter 350, batch loss 0.1980, batch acc 0.9230
18:24:21.514   Training iter 400, batch loss 0.1909, batch acc 0.9274
18:24:21.643   Training iter 450, batch loss 0.1920, batch acc 0.9256
18:24:21.790   Training iter 500, batch loss 0.1929, batch acc 0.9262
18:24:21.889   Training iter 550, batch loss 0.1946, batch acc 0.9238
18:24:21.999   Training iter 600, batch loss 0.1903, batch acc 0.9266
18:24:22.000 Training @ 3 epoch...
18:24:22.123   Training iter 50, batch loss 0.1824, batch acc 0.9306
18:24:22.228   Training iter 100, batch loss 0.1860, batch acc 0.9294
18:24:22.331   Training iter 150, batch loss 0.1837, batch acc 0.9294
18:24:22.418   Training iter 200, batch loss 0.1828, batch acc 0.9332
18:24:22.519   Training iter 250, batch loss 0.1814, batch acc 0.9302
18:24:22.606   Training iter 300, batch loss 0.1858, batch acc 0.9298
18:24:22.699   Training iter 350, batch loss 0.1789, batch acc 0.9318
