18:32:52.444 Training @ 0 epoch...
18:32:52.653   Training iter 50, batch loss 25.4729, batch acc 0.4284
18:32:52.890   Training iter 100, batch loss 4.1069, batch acc 0.8296
18:32:53.121   Training iter 150, batch loss 3.4641, batch acc 0.8494
18:32:53.377   Training iter 200, batch loss 2.8875, batch acc 0.8780
18:32:53.680   Training iter 250, batch loss 2.4883, batch acc 0.8944
18:32:53.856   Training iter 300, batch loss 2.5015, batch acc 0.8898
18:32:53.989   Training iter 350, batch loss 2.2846, batch acc 0.9000
18:32:54.138   Training iter 400, batch loss 2.0944, batch acc 0.9022
18:32:54.332   Training iter 450, batch loss 1.8726, batch acc 0.9192
18:32:54.472   Training iter 500, batch loss 1.5882, batch acc 0.9284
18:32:54.623   Training iter 550, batch loss 1.5716, batch acc 0.9224
18:32:54.757   Training iter 600, batch loss 1.5160, batch acc 0.9272
18:32:54.758 Testing @ 0 epoch...
18:32:54.858     Testing, total mean loss 1.46900, total acc 0.92980
18:32:54.858 Training @ 1 epoch...
18:32:55.074   Training iter 50, batch loss 1.4372, batch acc 0.9378
18:32:55.222   Training iter 100, batch loss 1.3298, batch acc 0.9370
18:32:55.386   Training iter 150, batch loss 1.1882, batch acc 0.9444
18:32:55.501   Training iter 200, batch loss 1.2042, batch acc 0.9380
18:32:55.621   Training iter 250, batch loss 1.1920, batch acc 0.9442
18:32:55.809   Training iter 300, batch loss 1.2188, batch acc 0.9458
18:32:55.984   Training iter 350, batch loss 1.1393, batch acc 0.9444
18:32:56.101   Training iter 400, batch loss 1.0749, batch acc 0.9506
18:32:56.219   Training iter 450, batch loss 1.2367, batch acc 0.9394
18:32:56.342   Training iter 500, batch loss 0.9617, batch acc 0.9540
18:32:56.484   Training iter 550, batch loss 1.0731, batch acc 0.9492
18:32:56.617   Training iter 600, batch loss 0.8767, batch acc 0.9520
18:32:56.617 Training @ 2 epoch...
18:32:56.833   Training iter 50, batch loss 0.8545, batch acc 0.9520
18:32:57.167   Training iter 100, batch loss 0.9223, batch acc 0.9566
18:32:57.403   Training iter 150, batch loss 0.8949, batch acc 0.9588
18:32:57.588   Training iter 200, batch loss 0.8199, batch acc 0.9562
18:32:57.858   Training iter 250, batch loss 0.9113, batch acc 0.9522
18:32:58.142   Training iter 300, batch loss 0.7968, batch acc 0.9602
18:32:58.261   Training iter 350, batch loss 0.9046, batch acc 0.9596
18:32:58.418   Training iter 400, batch loss 0.8603, batch acc 0.9606
18:32:58.622   Training iter 450, batch loss 0.7747, batch acc 0.9598
18:32:58.895   Training iter 500, batch loss 0.8429, batch acc 0.9558
18:32:59.024   Training iter 550, batch loss 0.8966, batch acc 0.9556
18:32:59.209   Training iter 600, batch loss 0.7724, batch acc 0.9614
18:32:59.213 Training @ 3 epoch...
18:32:59.409   Training iter 50, batch loss 0.7250, batch acc 0.9596
18:32:59.602   Training iter 100, batch loss 0.6624, batch acc 0.9638
18:32:59.723   Training iter 150, batch loss 0.7141, batch acc 0.9650
18:32:59.905   Training iter 200, batch loss 0.6139, batch acc 0.9686
18:33:00.076   Training iter 250, batch loss 0.7113, batch acc 0.9612
18:33:00.292   Training iter 300, batch loss 0.6138, batch acc 0.9638
18:33:00.419   Training iter 350, batch loss 0.7948, batch acc 0.9608
18:33:00.532   Training iter 400, batch loss 0.6512, batch acc 0.9670
18:33:00.662   Training iter 450, batch loss 0.6866, batch acc 0.9652
18:33:00.807   Training iter 500, batch loss 0.6646, batch acc 0.9640
18:33:00.950   Training iter 550, batch loss 0.7196, batch acc 0.9608
18:33:01.070   Training iter 600, batch loss 0.6241, batch acc 0.9666
18:33:01.071 Training @ 4 epoch...
18:33:01.220   Training iter 50, batch loss 0.5964, batch acc 0.9662
18:33:01.359   Training iter 100, batch loss 0.4979, batch acc 0.9714
18:33:01.543   Training iter 150, batch loss 0.6731, batch acc 0.9652
18:33:01.670   Training iter 200, batch loss 0.5526, batch acc 0.9690
18:33:01.807   Training iter 250, batch loss 0.6476, batch acc 0.9646
18:33:01.947   Training iter 300, batch loss 0.5304, batch acc 0.9722
18:33:02.105   Training iter 350, batch loss 0.5521, batch acc 0.9700
18:33:02.295   Training iter 400, batch loss 0.5485, batch acc 0.9708
18:33:02.440   Training iter 450, batch loss 0.5758, batch acc 0.9678
18:33:02.592   Training iter 500, batch loss 0.5397, batch acc 0.9730
18:33:02.737   Training iter 550, batch loss 0.5934, batch acc 0.9692
18:33:02.920   Training iter 600, batch loss 0.5718, batch acc 0.9706
18:33:02.921 Training @ 5 epoch...
18:33:03.088   Training iter 50, batch loss 0.5077, batch acc 0.9686
18:33:03.272   Training iter 100, batch loss 0.5428, batch acc 0.9688
18:33:03.391   Training iter 150, batch loss 0.5580, batch acc 0.9692
18:33:03.511   Training iter 200, batch loss 0.5518, batch acc 0.9702
18:33:03.652   Training iter 250, batch loss 0.3979, batch acc 0.9780
18:33:03.742   Training iter 300, batch loss 0.5582, batch acc 0.9684
18:33:03.915   Training iter 350, batch loss 0.4124, batch acc 0.9764
18:33:04.173   Training iter 400, batch loss 0.5732, batch acc 0.9706
18:33:04.292   Training iter 450, batch loss 0.5275, batch acc 0.9722
18:33:04.428   Training iter 500, batch loss 0.5167, batch acc 0.9704
18:33:04.586   Training iter 550, batch loss 0.4809, batch acc 0.9744
18:33:04.758   Training iter 600, batch loss 0.4581, batch acc 0.9758
18:33:04.758 Testing @ 5 epoch...
18:33:04.855     Testing, total mean loss 0.59631, total acc 0.97170
18:33:04.855 Training @ 6 epoch...
18:33:05.076   Training iter 50, batch loss 0.4133, batch acc 0.9780
18:33:05.220   Training iter 100, batch loss 0.5219, batch acc 0.9678
18:33:05.437   Training iter 150, batch loss 0.4470, batch acc 0.9754
18:33:05.611   Training iter 200, batch loss 0.4394, batch acc 0.9738
18:33:05.836   Training iter 250, batch loss 0.4621, batch acc 0.9766
18:33:06.002   Training iter 300, batch loss 0.4336, batch acc 0.9762
18:33:06.125   Training iter 350, batch loss 0.4651, batch acc 0.9766
18:33:06.268   Training iter 400, batch loss 0.4418, batch acc 0.9764
18:33:06.370   Training iter 450, batch loss 0.4327, batch acc 0.9754
18:33:06.490   Training iter 500, batch loss 0.4586, batch acc 0.9746
18:33:06.652   Training iter 550, batch loss 0.4297, batch acc 0.9778
18:33:06.783   Training iter 600, batch loss 0.4115, batch acc 0.9790
18:33:06.785 Training @ 7 epoch...
18:33:06.928   Training iter 50, batch loss 0.3794, batch acc 0.9776
18:33:07.052   Training iter 100, batch loss 0.4472, batch acc 0.9774
18:33:07.210   Training iter 150, batch loss 0.3304, batch acc 0.9812
