18:36:46.803 Training @ 0 epoch...
18:36:46.970   Training iter 50, batch loss 0.1863, batch acc 0.1280
18:36:47.137   Training iter 100, batch loss 0.1857, batch acc 0.1976
18:36:47.239   Training iter 150, batch loss 0.1850, batch acc 0.1506
18:36:47.352   Training iter 200, batch loss 0.1842, batch acc 0.1388
18:36:47.457   Training iter 250, batch loss 0.1833, batch acc 0.1492
18:36:47.645   Training iter 300, batch loss 0.1820, batch acc 0.1468
18:36:47.845   Training iter 350, batch loss 0.1800, batch acc 0.1918
18:36:48.046   Training iter 400, batch loss 0.1771, batch acc 0.2228
18:36:48.229   Training iter 450, batch loss 0.1723, batch acc 0.2566
18:36:48.496   Training iter 500, batch loss 0.1665, batch acc 0.3050
18:36:48.614   Training iter 550, batch loss 0.1569, batch acc 0.3980
18:36:48.730   Training iter 600, batch loss 0.1447, batch acc 0.4858
18:36:48.731 Testing @ 0 epoch...
18:36:48.876     Testing, total mean loss 0.13569, total acc 0.54710
18:36:48.877 Training @ 1 epoch...
18:36:49.091   Training iter 50, batch loss 0.1294, batch acc 0.5588
18:36:49.218   Training iter 100, batch loss 0.1131, batch acc 0.6134
18:36:49.322   Training iter 150, batch loss 0.0980, batch acc 0.6604
18:36:49.418   Training iter 200, batch loss 0.0858, batch acc 0.6930
18:36:49.517   Training iter 250, batch loss 0.0745, batch acc 0.7178
18:36:49.597   Training iter 300, batch loss 0.0679, batch acc 0.7310
18:36:49.691   Training iter 350, batch loss 0.0612, batch acc 0.7616
18:36:49.775   Training iter 400, batch loss 0.0557, batch acc 0.7774
18:36:49.872   Training iter 450, batch loss 0.0500, batch acc 0.7914
18:36:49.972   Training iter 500, batch loss 0.0472, batch acc 0.7930
18:36:50.070   Training iter 550, batch loss 0.0448, batch acc 0.8036
18:36:50.162   Training iter 600, batch loss 0.0413, batch acc 0.8084
18:36:50.163 Training @ 2 epoch...
18:36:50.250   Training iter 50, batch loss 0.0387, batch acc 0.8220
18:36:50.336   Training iter 100, batch loss 0.0383, batch acc 0.8182
18:36:50.424   Training iter 150, batch loss 0.0375, batch acc 0.8186
18:36:50.515   Training iter 200, batch loss 0.0340, batch acc 0.8314
18:36:50.600   Training iter 250, batch loss 0.0339, batch acc 0.8372
18:36:50.682   Training iter 300, batch loss 0.0317, batch acc 0.8426
18:36:50.768   Training iter 350, batch loss 0.0310, batch acc 0.8426
18:36:50.879   Training iter 400, batch loss 0.0316, batch acc 0.8418
18:36:50.993   Training iter 450, batch loss 0.0296, batch acc 0.8474
18:36:51.101   Training iter 500, batch loss 0.0296, batch acc 0.8494
18:36:51.202   Training iter 550, batch loss 0.0292, batch acc 0.8482
18:36:51.304   Training iter 600, batch loss 0.0277, batch acc 0.8500
18:36:51.305 Training @ 3 epoch...
18:36:51.407   Training iter 50, batch loss 0.0256, batch acc 0.8674
18:36:51.525   Training iter 100, batch loss 0.0283, batch acc 0.8552
18:36:51.632   Training iter 150, batch loss 0.0268, batch acc 0.8544
18:36:51.715   Training iter 200, batch loss 0.0265, batch acc 0.8570
18:36:51.828   Training iter 250, batch loss 0.0264, batch acc 0.8600
18:36:51.928   Training iter 300, batch loss 0.0245, batch acc 0.8648
18:36:52.022   Training iter 350, batch loss 0.0249, batch acc 0.8712
18:36:52.120   Training iter 400, batch loss 0.0253, batch acc 0.8732
18:36:52.213   Training iter 450, batch loss 0.0255, batch acc 0.8636
18:36:52.323   Training iter 500, batch loss 0.0249, batch acc 0.8644
18:36:52.417   Training iter 550, batch loss 0.0252, batch acc 0.8638
18:36:52.494   Training iter 600, batch loss 0.0238, batch acc 0.8730
18:36:52.494 Training @ 4 epoch...
18:36:52.596   Training iter 50, batch loss 0.0236, batch acc 0.8684
18:36:52.695   Training iter 100, batch loss 0.0237, batch acc 0.8702
18:36:52.786   Training iter 150, batch loss 0.0223, batch acc 0.8730
18:36:52.884   Training iter 200, batch loss 0.0244, batch acc 0.8712
18:36:52.964   Training iter 250, batch loss 0.0228, batch acc 0.8726
18:36:53.047   Training iter 300, batch loss 0.0216, batch acc 0.8786
18:36:53.147   Training iter 350, batch loss 0.0238, batch acc 0.8732
18:36:53.262   Training iter 400, batch loss 0.0226, batch acc 0.8810
18:36:53.331   Training iter 450, batch loss 0.0233, batch acc 0.8752
18:36:53.407   Training iter 500, batch loss 0.0233, batch acc 0.8832
18:36:53.495   Training iter 550, batch loss 0.0204, batch acc 0.8928
18:36:53.604   Training iter 600, batch loss 0.0219, batch acc 0.8836
18:36:53.605 Training @ 5 epoch...
18:36:53.698   Training iter 50, batch loss 0.0216, batch acc 0.8802
18:36:53.816   Training iter 100, batch loss 0.0214, batch acc 0.8804
18:36:53.912   Training iter 150, batch loss 0.0213, batch acc 0.8830
18:36:54.052   Training iter 200, batch loss 0.0224, batch acc 0.8852
18:36:54.170   Training iter 250, batch loss 0.0212, batch acc 0.8870
18:36:54.312   Training iter 300, batch loss 0.0220, batch acc 0.8846
18:36:54.411   Training iter 350, batch loss 0.0211, batch acc 0.8860
18:36:54.495   Training iter 400, batch loss 0.0202, batch acc 0.8934
18:36:54.599   Training iter 450, batch loss 0.0216, batch acc 0.8858
18:36:54.682   Training iter 500, batch loss 0.0197, batch acc 0.8924
18:36:54.761   Training iter 550, batch loss 0.0205, batch acc 0.8906
18:36:54.859   Training iter 600, batch loss 0.0219, batch acc 0.8844
18:36:54.860 Testing @ 5 epoch...
18:36:54.923     Testing, total mean loss 0.01967, total acc 0.89250
18:36:54.923 Training @ 6 epoch...
18:36:55.004   Training iter 50, batch loss 0.0207, batch acc 0.8892
18:36:55.087   Training iter 100, batch loss 0.0203, batch acc 0.8934
18:36:55.173   Training iter 150, batch loss 0.0201, batch acc 0.8874
18:36:55.257   Training iter 200, batch loss 0.0212, batch acc 0.8824
18:36:55.363   Training iter 250, batch loss 0.0194, batch acc 0.8978
18:36:55.439   Training iter 300, batch loss 0.0195, batch acc 0.8890
18:36:55.514   Training iter 350, batch loss 0.0212, batch acc 0.8872
18:36:55.601   Training iter 400, batch loss 0.0207, batch acc 0.8884
