18:40:33.093 Training @ 0 epoch...
18:40:33.336   Training iter 50, batch loss 0.8339, batch acc 0.3562
18:40:33.581   Training iter 100, batch loss 0.5477, batch acc 0.7116
18:40:33.717   Training iter 150, batch loss 0.4517, batch acc 0.8020
18:40:33.856   Training iter 200, batch loss 0.3862, batch acc 0.8552
18:40:33.973   Training iter 250, batch loss 0.3459, batch acc 0.8656
18:40:34.198   Training iter 300, batch loss 0.3123, batch acc 0.8708
18:40:34.336   Training iter 350, batch loss 0.2907, batch acc 0.8842
18:40:34.497   Training iter 400, batch loss 0.2688, batch acc 0.8954
18:40:34.613   Training iter 450, batch loss 0.2643, batch acc 0.8880
18:40:34.728   Training iter 500, batch loss 0.2436, batch acc 0.8990
18:40:34.839   Training iter 550, batch loss 0.2362, batch acc 0.8982
18:40:35.003   Training iter 600, batch loss 0.2291, batch acc 0.9056
18:40:35.004 Testing @ 0 epoch...
18:40:35.107     Testing, total mean loss 0.21850, total acc 0.91170
18:40:35.107 Training @ 1 epoch...
18:40:35.213   Training iter 50, batch loss 0.2260, batch acc 0.9052
18:40:35.343   Training iter 100, batch loss 0.2280, batch acc 0.9004
18:40:35.460   Training iter 150, batch loss 0.2185, batch acc 0.9110
18:40:35.709   Training iter 200, batch loss 0.2122, batch acc 0.9108
18:40:35.945   Training iter 250, batch loss 0.2068, batch acc 0.9116
18:40:36.062   Training iter 300, batch loss 0.2088, batch acc 0.9130
18:40:36.177   Training iter 350, batch loss 0.1987, batch acc 0.9162
18:40:36.300   Training iter 400, batch loss 0.1932, batch acc 0.9200
18:40:36.453   Training iter 450, batch loss 0.2041, batch acc 0.9108
18:40:36.555   Training iter 500, batch loss 0.1946, batch acc 0.9214
18:40:36.655   Training iter 550, batch loss 0.1902, batch acc 0.9216
18:40:36.760   Training iter 600, batch loss 0.1985, batch acc 0.9174
18:40:36.760 Training @ 2 epoch...
18:40:36.859   Training iter 50, batch loss 0.1929, batch acc 0.9196
18:40:36.967   Training iter 100, batch loss 0.1808, batch acc 0.9308
18:40:37.074   Training iter 150, batch loss 0.1806, batch acc 0.9262
18:40:37.195   Training iter 200, batch loss 0.1796, batch acc 0.9234
18:40:37.314   Training iter 250, batch loss 0.1815, batch acc 0.9304
18:40:37.442   Training iter 300, batch loss 0.1793, batch acc 0.9264
18:40:37.562   Training iter 350, batch loss 0.1720, batch acc 0.9344
18:40:37.758   Training iter 400, batch loss 0.1698, batch acc 0.9294
18:40:37.892   Training iter 450, batch loss 0.1731, batch acc 0.9328
18:40:37.994   Training iter 500, batch loss 0.1792, batch acc 0.9256
18:40:38.143   Training iter 550, batch loss 0.1745, batch acc 0.9342
18:40:38.267   Training iter 600, batch loss 0.1710, batch acc 0.9310
18:40:38.268 Training @ 3 epoch...
18:40:38.393   Training iter 50, batch loss 0.1609, batch acc 0.9410
18:40:38.513   Training iter 100, batch loss 0.1681, batch acc 0.9336
18:40:38.630   Training iter 150, batch loss 0.1646, batch acc 0.9366
18:40:38.750   Training iter 200, batch loss 0.1617, batch acc 0.9366
18:40:38.840   Training iter 250, batch loss 0.1651, batch acc 0.9330
18:40:38.942   Training iter 300, batch loss 0.1616, batch acc 0.9402
18:40:39.073   Training iter 350, batch loss 0.1602, batch acc 0.9398
18:40:39.174   Training iter 400, batch loss 0.1519, batch acc 0.9436
18:40:39.377   Training iter 450, batch loss 0.1528, batch acc 0.9452
18:40:39.526   Training iter 500, batch loss 0.1534, batch acc 0.9418
18:40:39.674   Training iter 550, batch loss 0.1520, batch acc 0.9446
18:40:39.829   Training iter 600, batch loss 0.1510, batch acc 0.9428
18:40:39.829 Training @ 4 epoch...
18:40:39.972   Training iter 50, batch loss 0.1528, batch acc 0.9452
18:40:40.109   Training iter 100, batch loss 0.1525, batch acc 0.9430
18:40:40.233   Training iter 150, batch loss 0.1444, batch acc 0.9466
18:40:40.385   Training iter 200, batch loss 0.1465, batch acc 0.9494
18:40:40.475   Training iter 250, batch loss 0.1422, batch acc 0.9492
18:40:40.573   Training iter 300, batch loss 0.1435, batch acc 0.9508
18:40:40.672   Training iter 350, batch loss 0.1507, batch acc 0.9430
18:40:40.794   Training iter 400, batch loss 0.1376, batch acc 0.9558
18:40:40.901   Training iter 450, batch loss 0.1452, batch acc 0.9482
18:40:40.995   Training iter 500, batch loss 0.1424, batch acc 0.9484
18:40:41.095   Training iter 550, batch loss 0.1429, batch acc 0.9472
18:40:41.185   Training iter 600, batch loss 0.1437, batch acc 0.9472
18:40:41.186 Training @ 5 epoch...
18:40:41.291   Training iter 50, batch loss 0.1397, batch acc 0.9500
18:40:41.406   Training iter 100, batch loss 0.1353, batch acc 0.9522
18:40:41.498   Training iter 150, batch loss 0.1349, batch acc 0.9550
18:40:41.586   Training iter 200, batch loss 0.1368, batch acc 0.9540
18:40:41.681   Training iter 250, batch loss 0.1368, batch acc 0.9526
18:40:41.784   Training iter 300, batch loss 0.1316, batch acc 0.9536
18:40:41.880   Training iter 350, batch loss 0.1355, batch acc 0.9530
18:40:41.978   Training iter 400, batch loss 0.1339, batch acc 0.9558
18:40:42.081   Training iter 450, batch loss 0.1385, batch acc 0.9554
18:40:42.185   Training iter 500, batch loss 0.1378, batch acc 0.9522
18:40:42.279   Training iter 550, batch loss 0.1382, batch acc 0.9498
18:40:42.394   Training iter 600, batch loss 0.1330, batch acc 0.9560
18:40:42.396 Testing @ 5 epoch...
18:40:42.487     Testing, total mean loss 0.13203, total acc 0.95300
18:40:42.487 Training @ 6 epoch...
18:40:42.599   Training iter 50, batch loss 0.1367, batch acc 0.9502
18:40:42.721   Training iter 100, batch loss 0.1278, batch acc 0.9570
18:40:42.833   Training iter 150, batch loss 0.1373, batch acc 0.9514
18:40:42.978   Training iter 200, batch loss 0.1320, batch acc 0.9588
18:40:43.102   Training iter 250, batch loss 0.1281, batch acc 0.9568
18:40:43.201   Training iter 300, batch loss 0.1201, batch acc 0.9626
18:40:43.300   Training iter 350, batch loss 0.1358, batch acc 0.9522
18:40:43.401   Training iter 400, batch loss 0.1269, batch acc 0.9610
18:40:43.493   Training iter 450, batch loss 0.1238, batch acc 0.9596
18:40:43.606   Training iter 500, batch loss 0.1260, batch acc 0.9562
18:40:43.729   Training iter 550, batch loss 0.1280, batch acc 0.9552
18:40:43.849   Training iter 600, batch loss 0.1242, batch acc 0.9602
18:40:43.851 Training @ 7 epoch...
18:40:43.949   Training iter 50, batch loss 0.1182, batch acc 0.9628
18:40:44.082   Training iter 100, batch loss 0.1298, batch acc 0.9554
18:40:44.178   Training iter 150, batch loss 0.1257, batch acc 0.9592
18:40:44.278   Training iter 200, batch loss 0.1251, batch acc 0.9598
18:40:44.375   Training iter 250, batch loss 0.1247, batch acc 0.9594
18:40:44.472   Training iter 300, batch loss 0.1225, batch acc 0.9560
18:40:44.567   Training iter 350, batch loss 0.1165, batch acc 0.9660
18:40:44.675   Training iter 400, batch loss 0.1208, batch acc 0.9610
18:40:44.769   Training iter 450, batch loss 0.1210, batch acc 0.9608
18:40:44.864   Training iter 500, batch loss 0.1230, batch acc 0.9580
18:40:44.974   Training iter 550, batch loss 0.1232, batch acc 0.9594
18:40:45.088   Training iter 600, batch loss 0.1207, batch acc 0.9618
18:40:45.090 Training @ 8 epoch...
18:40:45.223   Training iter 50, batch loss 0.1241, batch acc 0.9538
18:40:45.409   Training iter 100, batch loss 0.1211, batch acc 0.9590
18:40:45.568   Training iter 150, batch loss 0.1195, batch acc 0.9616
18:40:45.684   Training iter 200, batch loss 0.1175, batch acc 0.9660
18:40:45.817   Training iter 250, batch loss 0.1151, batch acc 0.9650
18:40:45.954   Training iter 300, batch loss 0.1187, batch acc 0.9620
18:40:46.067   Training iter 350, batch loss 0.1205, batch acc 0.9608
18:40:46.179   Training iter 400, batch loss 0.1178, batch acc 0.9642
18:40:46.274   Training iter 450, batch loss 0.1158, batch acc 0.9618
18:40:46.371   Training iter 500, batch loss 0.1156, batch acc 0.9648
18:40:46.469   Training iter 550, batch loss 0.1156, batch acc 0.9652
18:40:46.555   Training iter 600, batch loss 0.1148, batch acc 0.9626
18:40:46.556 Training @ 9 epoch...
18:40:46.657   Training iter 50, batch loss 0.1164, batch acc 0.9616
18:40:46.759   Training iter 100, batch loss 0.1090, batch acc 0.9652
18:40:46.859   Training iter 150, batch loss 0.1174, batch acc 0.9588
18:40:46.958   Training iter 200, batch loss 0.1194, batch acc 0.9576
18:40:47.057   Training iter 250, batch loss 0.1162, batch acc 0.9634
18:40:47.148   Training iter 300, batch loss 0.1123, batch acc 0.9680
18:40:47.244   Training iter 350, batch loss 0.1152, batch acc 0.9630
18:40:47.368   Training iter 400, batch loss 0.1114, batch acc 0.9692
18:40:47.470   Training iter 450, batch loss 0.1108, batch acc 0.9676
18:40:47.564   Training iter 500, batch loss 0.1128, batch acc 0.9642
18:40:47.669   Training iter 550, batch loss 0.1162, batch acc 0.9616
18:40:47.778   Training iter 600, batch loss 0.1164, batch acc 0.9592
18:40:47.779 Training @ 10 epoch...
18:40:47.904   Training iter 50, batch loss 0.1098, batch acc 0.9666
18:40:48.017   Training iter 100, batch loss 0.1082, batch acc 0.9654
18:40:48.127   Training iter 150, batch loss 0.1149, batch acc 0.9620
18:40:48.240   Training iter 200, batch loss 0.1106, batch acc 0.9646
18:40:48.376   Training iter 250, batch loss 0.1123, batch acc 0.9652
18:40:48.492   Training iter 300, batch loss 0.1096, batch acc 0.9640
18:40:48.611   Training iter 350, batch loss 0.1140, batch acc 0.9646
18:40:48.748   Training iter 400, batch loss 0.1116, batch acc 0.9670
18:40:48.877   Training iter 450, batch loss 0.1116, batch acc 0.9612
18:40:49.013   Training iter 500, batch loss 0.1138, batch acc 0.9642
18:40:49.174   Training iter 550, batch loss 0.1067, batch acc 0.9664
18:40:49.316   Training iter 600, batch loss 0.1107, batch acc 0.9648
18:40:49.317 Testing @ 10 epoch...
18:40:49.415     Testing, total mean loss 0.11216, total acc 0.96390
18:40:49.415 Training @ 11 epoch...
18:40:49.521   Training iter 50, batch loss 0.1101, batch acc 0.9658
18:40:49.620   Training iter 100, batch loss 0.1079, batch acc 0.9668
18:40:49.720   Training iter 150, batch loss 0.1109, batch acc 0.9656
18:40:49.820   Training iter 200, batch loss 0.1090, batch acc 0.9680
18:40:49.928   Training iter 250, batch loss 0.1070, batch acc 0.9652
18:40:50.031   Training iter 300, batch loss 0.1065, batch acc 0.9714
18:40:50.136   Training iter 350, batch loss 0.1109, batch acc 0.9656
18:40:50.237   Training iter 400, batch loss 0.1079, batch acc 0.9670
18:40:50.335   Training iter 450, batch loss 0.1104, batch acc 0.9602
18:40:50.452   Training iter 500, batch loss 0.1062, batch acc 0.9674
18:40:50.551   Training iter 550, batch loss 0.1120, batch acc 0.9622
18:40:50.649   Training iter 600, batch loss 0.1035, batch acc 0.9674
18:40:50.651 Training @ 12 epoch...
18:40:50.786   Training iter 50, batch loss 0.1058, batch acc 0.9680
18:40:50.933   Training iter 100, batch loss 0.1077, batch acc 0.9672
18:40:51.055   Training iter 150, batch loss 0.1075, batch acc 0.9656
18:40:51.176   Training iter 200, batch loss 0.1054, batch acc 0.9704
18:40:51.287   Training iter 250, batch loss 0.1081, batch acc 0.9640
18:40:51.432   Training iter 300, batch loss 0.1033, batch acc 0.9712
18:40:51.593   Training iter 350, batch loss 0.1054, batch acc 0.9672
18:40:51.697   Training iter 400, batch loss 0.1060, batch acc 0.9660
18:40:51.803   Training iter 450, batch loss 0.1034, batch acc 0.9692
18:40:51.989   Training iter 500, batch loss 0.1078, batch acc 0.9654
18:40:52.152   Training iter 550, batch loss 0.1061, batch acc 0.9648
18:40:52.342   Training iter 600, batch loss 0.1074, batch acc 0.9656
18:40:52.342 Training @ 13 epoch...
18:40:52.508   Training iter 50, batch loss 0.1027, batch acc 0.9706
18:40:52.661   Training iter 100, batch loss 0.1085, batch acc 0.9632
18:40:52.841   Training iter 150, batch loss 0.1059, batch acc 0.9672
18:40:53.010   Training iter 200, batch loss 0.1089, batch acc 0.9644
18:40:53.170   Training iter 250, batch loss 0.1061, batch acc 0.9674
18:40:53.278   Training iter 300, batch loss 0.1009, batch acc 0.9696
18:40:53.391   Training iter 350, batch loss 0.1030, batch acc 0.9710
18:40:53.501   Training iter 400, batch loss 0.0997, batch acc 0.9702
18:40:53.626   Training iter 450, batch loss 0.1011, batch acc 0.9720
18:40:53.739   Training iter 500, batch loss 0.1032, batch acc 0.9680
18:40:53.837   Training iter 550, batch loss 0.1048, batch acc 0.9652
18:40:54.025   Training iter 600, batch loss 0.1030, batch acc 0.9690
18:40:54.025 Training @ 14 epoch...
18:40:54.244   Training iter 50, batch loss 0.0990, batch acc 0.9726
18:40:54.463   Training iter 100, batch loss 0.1079, batch acc 0.9652
18:40:54.688   Training iter 150, batch loss 0.1008, batch acc 0.9690
18:40:54.882   Training iter 200, batch loss 0.1030, batch acc 0.9706
18:40:55.015   Training iter 250, batch loss 0.1054, batch acc 0.9638
18:40:55.162   Training iter 300, batch loss 0.1034, batch acc 0.9702
18:40:55.328   Training iter 350, batch loss 0.0951, batch acc 0.9698
18:40:55.450   Training iter 400, batch loss 0.1052, batch acc 0.9682
18:40:55.548   Training iter 450, batch loss 0.1064, batch acc 0.9648
18:40:55.651   Training iter 500, batch loss 0.0978, batch acc 0.9712
18:40:55.853   Training iter 550, batch loss 0.1033, batch acc 0.9672
18:40:56.149   Training iter 600, batch loss 0.1019, batch acc 0.9728
18:40:56.151 Training @ 15 epoch...
18:40:56.371   Training iter 50, batch loss 0.0983, batch acc 0.9718
18:40:56.739   Training iter 100, batch loss 0.0974, batch acc 0.9732
18:40:57.009   Training iter 150, batch loss 0.0977, batch acc 0.9712
18:40:57.270   Training iter 200, batch loss 0.0965, batch acc 0.9690
