18:48:36.766 Training @ 0 epoch...
18:48:37.580   Training iter 50, batch loss 23.5502, batch acc 0.4698
18:48:37.794   Training iter 100, batch loss 4.2194, batch acc 0.8224
18:48:37.981   Training iter 150, batch loss 3.2738, batch acc 0.8646
18:48:38.332   Training iter 200, batch loss 2.7417, batch acc 0.8766
18:48:38.491   Training iter 250, batch loss 2.6315, batch acc 0.8802
18:48:38.805   Training iter 300, batch loss 2.3093, batch acc 0.9000
18:48:39.053   Training iter 350, batch loss 1.7346, batch acc 0.9238
18:48:39.166   Training iter 400, batch loss 1.9213, batch acc 0.9126
18:48:39.280   Training iter 450, batch loss 1.6786, batch acc 0.9212
18:48:39.604   Training iter 500, batch loss 1.7723, batch acc 0.9200
18:48:39.791   Training iter 550, batch loss 1.5629, batch acc 0.9268
18:48:40.002   Training iter 600, batch loss 1.5961, batch acc 0.9254
18:48:40.002 Testing @ 0 epoch...
18:48:40.128     Testing, total mean loss 1.33963, total acc 0.93260
18:48:40.128 Training @ 1 epoch...
18:48:40.339   Training iter 50, batch loss 1.2849, batch acc 0.9344
18:48:40.495   Training iter 100, batch loss 1.3133, batch acc 0.9360
18:48:40.627   Training iter 150, batch loss 1.4357, batch acc 0.9300
18:48:40.776   Training iter 200, batch loss 1.1737, batch acc 0.9396
18:48:40.912   Training iter 250, batch loss 1.3137, batch acc 0.9428
18:48:41.242   Training iter 300, batch loss 1.2182, batch acc 0.9420
18:48:41.379   Training iter 350, batch loss 1.1580, batch acc 0.9440
18:48:41.533   Training iter 400, batch loss 0.9580, batch acc 0.9506
18:48:41.678   Training iter 450, batch loss 1.1944, batch acc 0.9452
18:48:41.889   Training iter 500, batch loss 1.0423, batch acc 0.9510
18:48:42.049   Training iter 550, batch loss 1.0090, batch acc 0.9472
18:48:42.202   Training iter 600, batch loss 0.9899, batch acc 0.9556
18:48:42.205 Training @ 2 epoch...
18:48:42.360   Training iter 50, batch loss 0.9835, batch acc 0.9508
18:48:42.490   Training iter 100, batch loss 0.9235, batch acc 0.9568
18:48:42.629   Training iter 150, batch loss 0.8297, batch acc 0.9548
18:48:42.760   Training iter 200, batch loss 0.9007, batch acc 0.9548
18:48:43.001   Training iter 250, batch loss 0.8345, batch acc 0.9544
18:48:43.131   Training iter 300, batch loss 0.7520, batch acc 0.9616
18:48:43.248   Training iter 350, batch loss 0.7617, batch acc 0.9640
18:48:43.349   Training iter 400, batch loss 0.8541, batch acc 0.9570
18:48:43.493   Training iter 450, batch loss 0.8551, batch acc 0.9568
18:48:43.648   Training iter 500, batch loss 0.9013, batch acc 0.9552
18:48:43.776   Training iter 550, batch loss 0.7545, batch acc 0.9598
18:48:43.917   Training iter 600, batch loss 0.8179, batch acc 0.9592
18:48:43.917 Training @ 3 epoch...
18:48:44.110   Training iter 50, batch loss 0.6531, batch acc 0.9636
18:48:44.287   Training iter 100, batch loss 0.7076, batch acc 0.9638
18:48:44.414   Training iter 150, batch loss 0.7578, batch acc 0.9656
18:48:44.548   Training iter 200, batch loss 0.6429, batch acc 0.9642
18:48:44.669   Training iter 250, batch loss 0.6426, batch acc 0.9672
18:48:44.816   Training iter 300, batch loss 0.6376, batch acc 0.9678
18:48:44.967   Training iter 350, batch loss 0.6951, batch acc 0.9624
18:48:45.095   Training iter 400, batch loss 0.5875, batch acc 0.9664
18:48:45.191   Training iter 450, batch loss 0.6774, batch acc 0.9660
18:48:45.355   Training iter 500, batch loss 0.7002, batch acc 0.9650
18:48:45.468   Training iter 550, batch loss 0.6611, batch acc 0.9636
18:48:45.580   Training iter 600, batch loss 0.6860, batch acc 0.9648
18:48:45.582 Training @ 4 epoch...
18:48:45.691   Training iter 50, batch loss 0.5590, batch acc 0.9712
18:48:45.789   Training iter 100, batch loss 0.5965, batch acc 0.9668
18:48:45.893   Training iter 150, batch loss 0.5909, batch acc 0.9654
18:48:45.990   Training iter 200, batch loss 0.6527, batch acc 0.9626
18:48:46.078   Training iter 250, batch loss 0.6532, batch acc 0.9658
18:48:46.179   Training iter 300, batch loss 0.5201, batch acc 0.9730
18:48:46.292   Training iter 350, batch loss 0.5580, batch acc 0.9712
18:48:46.407   Training iter 400, batch loss 0.5658, batch acc 0.9682
18:48:46.496   Training iter 450, batch loss 0.6290, batch acc 0.9630
18:48:46.588   Training iter 500, batch loss 0.5132, batch acc 0.9744
18:48:46.684   Training iter 550, batch loss 0.5317, batch acc 0.9700
18:48:46.801   Training iter 600, batch loss 0.5664, batch acc 0.9750
18:48:46.804 Training @ 5 epoch...
18:48:46.931   Training iter 50, batch loss 0.4758, batch acc 0.9732
18:48:47.062   Training iter 100, batch loss 0.4939, batch acc 0.9750
18:48:47.184   Training iter 150, batch loss 0.4972, batch acc 0.9740
18:48:47.325   Training iter 200, batch loss 0.4596, batch acc 0.9736
18:48:47.450   Training iter 250, batch loss 0.5265, batch acc 0.9708
18:48:47.584   Training iter 300, batch loss 0.4956, batch acc 0.9726
18:48:47.725   Training iter 350, batch loss 0.4953, batch acc 0.9732
18:48:47.838   Training iter 400, batch loss 0.4570, batch acc 0.9746
18:48:47.962   Training iter 450, batch loss 0.4843, batch acc 0.9736
18:48:48.071   Training iter 500, batch loss 0.5014, batch acc 0.9746
18:48:48.192   Training iter 550, batch loss 0.4347, batch acc 0.9750
18:48:48.307   Training iter 600, batch loss 0.5301, batch acc 0.9750
18:48:48.308 Testing @ 5 epoch...
18:48:48.393     Testing, total mean loss 0.58344, total acc 0.97090
18:48:48.393 Training @ 6 epoch...
18:48:48.509   Training iter 50, batch loss 0.4122, batch acc 0.9778
