18:51:56.793 Training @ 0 epoch...
18:51:57.214   Training iter 50, batch loss 0.1863, batch acc 0.1146
18:51:57.619   Training iter 100, batch loss 0.1857, batch acc 0.1756
18:51:57.869   Training iter 150, batch loss 0.1851, batch acc 0.1258
18:51:58.530   Training iter 200, batch loss 0.1843, batch acc 0.1384
18:51:58.728   Training iter 250, batch loss 0.1831, batch acc 0.1626
18:51:59.167   Training iter 300, batch loss 0.1816, batch acc 0.1766
18:51:59.555   Training iter 350, batch loss 0.1787, batch acc 0.2206
18:51:59.739   Training iter 400, batch loss 0.1743, batch acc 0.2446
18:51:59.929   Training iter 450, batch loss 0.1676, batch acc 0.2968
18:52:00.227   Training iter 500, batch loss 0.1570, batch acc 0.3778
18:52:00.445   Training iter 550, batch loss 0.1436, batch acc 0.4528
18:52:00.591   Training iter 600, batch loss 0.1270, batch acc 0.5484
18:52:00.593 Testing @ 0 epoch...
18:52:00.851     Testing, total mean loss 0.11603, total acc 0.62820
18:52:00.851 Training @ 1 epoch...
18:52:01.002   Training iter 50, batch loss 0.1100, batch acc 0.6428
18:52:01.166   Training iter 100, batch loss 0.0927, batch acc 0.6830
18:52:01.306   Training iter 150, batch loss 0.0790, batch acc 0.7194
18:52:01.473   Training iter 200, batch loss 0.0708, batch acc 0.7522
18:52:01.635   Training iter 250, batch loss 0.0611, batch acc 0.7758
18:52:01.753   Training iter 300, batch loss 0.0550, batch acc 0.7800
18:52:01.877   Training iter 350, batch loss 0.0514, batch acc 0.7868
18:52:01.985   Training iter 400, batch loss 0.0463, batch acc 0.8000
18:52:02.129   Training iter 450, batch loss 0.0441, batch acc 0.8094
18:52:02.265   Training iter 500, batch loss 0.0402, batch acc 0.8168
18:52:02.376   Training iter 550, batch loss 0.0386, batch acc 0.8228
18:52:02.498   Training iter 600, batch loss 0.0380, batch acc 0.8142
18:52:02.499 Training @ 2 epoch...
18:52:02.618   Training iter 50, batch loss 0.0361, batch acc 0.8270
18:52:02.784   Training iter 100, batch loss 0.0335, batch acc 0.8360
18:52:02.935   Training iter 150, batch loss 0.0333, batch acc 0.8356
18:52:03.099   Training iter 200, batch loss 0.0312, batch acc 0.8494
18:52:03.284   Training iter 250, batch loss 0.0311, batch acc 0.8422
18:52:03.394   Training iter 300, batch loss 0.0295, batch acc 0.8502
18:52:03.518   Training iter 350, batch loss 0.0305, batch acc 0.8458
