18:55:32.793 Training @ 0 epoch...
18:55:33.051   Training iter 50, batch loss 0.7910, batch acc 0.4456
18:55:33.256   Training iter 100, batch loss 0.4982, batch acc 0.7606
18:55:33.345   Training iter 150, batch loss 0.3901, batch acc 0.8464
18:55:33.488   Training iter 200, batch loss 0.3183, batch acc 0.8658
18:55:33.693   Training iter 250, batch loss 0.2692, batch acc 0.8872
18:55:33.852   Training iter 300, batch loss 0.2440, batch acc 0.8958
18:55:34.083   Training iter 350, batch loss 0.2348, batch acc 0.8978
18:55:34.234   Training iter 400, batch loss 0.2167, batch acc 0.9054
18:55:34.404   Training iter 450, batch loss 0.2065, batch acc 0.9120
18:55:34.578   Training iter 500, batch loss 0.1989, batch acc 0.9130
18:55:34.787   Training iter 550, batch loss 0.1914, batch acc 0.9198
18:55:34.890   Training iter 600, batch loss 0.1882, batch acc 0.9174
18:55:34.899 Testing @ 0 epoch...
18:55:34.999     Testing, total mean loss 0.17143, total acc 0.92890
18:55:34.999 Training @ 1 epoch...
18:55:35.166   Training iter 50, batch loss 0.1819, batch acc 0.9234
18:55:35.265   Training iter 100, batch loss 0.1775, batch acc 0.9278
18:55:35.411   Training iter 150, batch loss 0.1696, batch acc 0.9356
18:55:35.580   Training iter 200, batch loss 0.1725, batch acc 0.9304
18:55:35.783   Training iter 250, batch loss 0.1674, batch acc 0.9326
18:55:35.901   Training iter 300, batch loss 0.1617, batch acc 0.9340
18:55:35.975   Training iter 350, batch loss 0.1589, batch acc 0.9380
18:55:36.059   Training iter 400, batch loss 0.1651, batch acc 0.9318
18:55:36.163   Training iter 450, batch loss 0.1594, batch acc 0.9374
18:55:36.348   Training iter 500, batch loss 0.1552, batch acc 0.9428
18:55:36.457   Training iter 550, batch loss 0.1634, batch acc 0.9344
18:55:36.543   Training iter 600, batch loss 0.1556, batch acc 0.9408
18:55:36.544 Training @ 2 epoch...
18:55:36.665   Training iter 50, batch loss 0.1510, batch acc 0.9414
18:55:36.761   Training iter 100, batch loss 0.1503, batch acc 0.9436
18:55:36.865   Training iter 150, batch loss 0.1461, batch acc 0.9442
18:55:36.989   Training iter 200, batch loss 0.1445, batch acc 0.9466
18:55:37.088   Training iter 250, batch loss 0.1407, batch acc 0.9508
18:55:37.182   Training iter 300, batch loss 0.1381, batch acc 0.9506
18:55:37.306   Training iter 350, batch loss 0.1371, batch acc 0.9520
18:55:37.402   Training iter 400, batch loss 0.1407, batch acc 0.9468
18:55:37.486   Training iter 450, batch loss 0.1350, batch acc 0.9522
18:55:37.633   Training iter 500, batch loss 0.1332, batch acc 0.9552
18:55:37.820   Training iter 550, batch loss 0.1303, batch acc 0.9604
18:55:37.917   Training iter 600, batch loss 0.1323, batch acc 0.9514
18:55:37.918 Training @ 3 epoch...
18:55:38.055   Training iter 50, batch loss 0.1351, batch acc 0.9516
18:55:38.223   Training iter 100, batch loss 0.1246, batch acc 0.9576
18:55:38.345   Training iter 150, batch loss 0.1278, batch acc 0.9540
18:55:38.415   Training iter 200, batch loss 0.1247, batch acc 0.9576
18:55:38.497   Training iter 250, batch loss 0.1297, batch acc 0.9528
18:55:38.599   Training iter 300, batch loss 0.1249, batch acc 0.9604
18:55:38.675   Training iter 350, batch loss 0.1237, batch acc 0.9600
18:55:38.807   Training iter 400, batch loss 0.1301, batch acc 0.9530
18:55:38.904   Training iter 450, batch loss 0.1246, batch acc 0.9580
18:55:39.007   Training iter 500, batch loss 0.1235, batch acc 0.9596
18:55:39.089   Training iter 550, batch loss 0.1270, batch acc 0.9550
18:55:39.167   Training iter 600, batch loss 0.1279, batch acc 0.9546
18:55:39.168 Training @ 4 epoch...
18:55:39.242   Training iter 50, batch loss 0.1210, batch acc 0.9622
18:55:39.401   Training iter 100, batch loss 0.1263, batch acc 0.9578
18:55:39.483   Training iter 150, batch loss 0.1176, batch acc 0.9600
18:55:39.561   Training iter 200, batch loss 0.1179, batch acc 0.9612
18:55:39.653   Training iter 250, batch loss 0.1181, batch acc 0.9588
18:55:39.754   Training iter 300, batch loss 0.1184, batch acc 0.9616
18:55:39.837   Training iter 350, batch loss 0.1155, batch acc 0.9652
18:55:39.916   Training iter 400, batch loss 0.1174, batch acc 0.9634
18:55:40.015   Training iter 450, batch loss 0.1210, batch acc 0.9588
18:55:40.115   Training iter 500, batch loss 0.1187, batch acc 0.9588
18:55:40.239   Training iter 550, batch loss 0.1130, batch acc 0.9668
18:55:40.316   Training iter 600, batch loss 0.1139, batch acc 0.9608
18:55:40.316 Training @ 5 epoch...
18:55:40.400   Training iter 50, batch loss 0.1191, batch acc 0.9618
18:55:40.530   Training iter 100, batch loss 0.1102, batch acc 0.9662
18:55:40.633   Training iter 150, batch loss 0.1114, batch acc 0.9666
18:55:40.722   Training iter 200, batch loss 0.1209, batch acc 0.9600
18:55:40.795   Training iter 250, batch loss 0.1135, batch acc 0.9650
18:55:40.893   Training iter 300, batch loss 0.1093, batch acc 0.9676
18:55:40.984   Training iter 350, batch loss 0.1100, batch acc 0.9680
18:55:41.120   Training iter 400, batch loss 0.1132, batch acc 0.9650
18:55:41.193   Training iter 450, batch loss 0.1120, batch acc 0.9640
18:55:41.282   Training iter 500, batch loss 0.1158, batch acc 0.9590
18:55:41.359   Training iter 550, batch loss 0.1081, batch acc 0.9692
18:55:41.439   Training iter 600, batch loss 0.1076, batch acc 0.9674
18:55:41.439 Testing @ 5 epoch...
18:55:41.482     Testing, total mean loss 0.11091, total acc 0.96410
18:55:41.482 Training @ 6 epoch...
18:55:41.557   Training iter 50, batch loss 0.1032, batch acc 0.9702
18:55:41.677   Training iter 100, batch loss 0.1002, batch acc 0.9730
18:55:41.753   Training iter 150, batch loss 0.1062, batch acc 0.9676
18:55:41.883   Training iter 200, batch loss 0.1019, batch acc 0.9696
18:55:41.997   Training iter 250, batch loss 0.1079, batch acc 0.9666
18:55:42.111   Training iter 300, batch loss 0.1088, batch acc 0.9670
18:55:42.276   Training iter 350, batch loss 0.1113, batch acc 0.9664
18:55:42.429   Training iter 400, batch loss 0.1079, batch acc 0.9642
18:55:42.616   Training iter 450, batch loss 0.1051, batch acc 0.9666
18:55:42.847   Training iter 500, batch loss 0.1073, batch acc 0.9672
18:55:43.013   Training iter 550, batch loss 0.1097, batch acc 0.9666
18:55:43.127   Training iter 600, batch loss 0.1082, batch acc 0.9630
18:55:43.127 Training @ 7 epoch...
18:55:43.267   Training iter 50, batch loss 0.1064, batch acc 0.9652
18:55:43.542   Training iter 100, batch loss 0.1026, batch acc 0.9688
18:55:43.642   Training iter 150, batch loss 0.0982, batch acc 0.9710
18:55:43.911   Training iter 200, batch loss 0.1050, batch acc 0.9648
18:55:44.040   Training iter 250, batch loss 0.1004, batch acc 0.9700
18:55:44.298   Training iter 300, batch loss 0.1079, batch acc 0.9650
18:55:44.399   Training iter 350, batch loss 0.1049, batch acc 0.9672
18:55:44.500   Training iter 400, batch loss 0.0988, batch acc 0.9726
18:55:44.755   Training iter 450, batch loss 0.1003, batch acc 0.9706
18:55:44.839   Training iter 500, batch loss 0.0974, batch acc 0.9712
18:55:44.949   Training iter 550, batch loss 0.1026, batch acc 0.9684
18:55:45.085   Training iter 600, batch loss 0.1047, batch acc 0.9682
18:55:45.086 Training @ 8 epoch...
18:55:45.200   Training iter 50, batch loss 0.0983, batch acc 0.9710
18:55:45.327   Training iter 100, batch loss 0.0971, batch acc 0.9720
18:55:45.568   Training iter 150, batch loss 0.0981, batch acc 0.9728
18:55:45.690   Training iter 200, batch loss 0.0975, batch acc 0.9702
18:55:45.953   Training iter 250, batch loss 0.1019, batch acc 0.9692
18:55:46.089   Training iter 300, batch loss 0.1027, batch acc 0.9714
18:55:46.231   Training iter 350, batch loss 0.0970, batch acc 0.9720
18:55:46.433   Training iter 400, batch loss 0.0976, batch acc 0.9706
18:55:46.519   Training iter 450, batch loss 0.0999, batch acc 0.9696
18:55:46.650   Training iter 500, batch loss 0.1004, batch acc 0.9690
18:55:46.818   Training iter 550, batch loss 0.1023, batch acc 0.9668
18:55:46.921   Training iter 600, batch loss 0.1014, batch acc 0.9680
18:55:46.922 Training @ 9 epoch...
18:55:47.070   Training iter 50, batch loss 0.1011, batch acc 0.9672
18:55:47.278   Training iter 100, batch loss 0.0996, batch acc 0.9708
18:55:47.448   Training iter 150, batch loss 0.1020, batch acc 0.9694
18:55:47.602   Training iter 200, batch loss 0.0959, batch acc 0.9720
18:55:47.709   Training iter 250, batch loss 0.0964, batch acc 0.9730
18:55:47.814   Training iter 300, batch loss 0.1008, batch acc 0.9676
18:55:47.925   Training iter 350, batch loss 0.0955, batch acc 0.9736
18:55:48.032   Training iter 400, batch loss 0.0976, batch acc 0.9708
18:55:48.160   Training iter 450, batch loss 0.0953, batch acc 0.9730
18:55:48.277   Training iter 500, batch loss 0.0934, batch acc 0.9696
18:55:48.417   Training iter 550, batch loss 0.0966, batch acc 0.9742
18:55:48.541   Training iter 600, batch loss 0.0947, batch acc 0.9740
18:55:48.543 Training @ 10 epoch...
18:55:48.664   Training iter 50, batch loss 0.0935, batch acc 0.9754
18:55:48.787   Training iter 100, batch loss 0.0968, batch acc 0.9684
18:55:48.964   Training iter 150, batch loss 0.0977, batch acc 0.9698
18:55:49.080   Training iter 200, batch loss 0.0979, batch acc 0.9714
18:55:49.178   Training iter 250, batch loss 0.0963, batch acc 0.9742
18:55:49.252   Training iter 300, batch loss 0.0935, batch acc 0.9708
18:55:49.357   Training iter 350, batch loss 0.0900, batch acc 0.9748
18:55:49.445   Training iter 400, batch loss 0.0920, batch acc 0.9744
18:55:49.520   Training iter 450, batch loss 0.0959, batch acc 0.9714
18:55:49.601   Training iter 500, batch loss 0.0934, batch acc 0.9732
18:55:49.727   Training iter 550, batch loss 0.0949, batch acc 0.9740
18:55:49.820   Training iter 600, batch loss 0.0894, batch acc 0.9714
18:55:49.821 Testing @ 10 epoch...
