19:02:44.453 Training @ 0 epoch...
19:02:44.604   Training iter 50, batch loss 20.9246, batch acc 0.5304
19:02:44.787   Training iter 100, batch loss 4.0718, batch acc 0.8238
19:02:44.912   Training iter 150, batch loss 3.0709, batch acc 0.8676
19:02:45.002   Training iter 200, batch loss 2.3901, batch acc 0.8958
19:02:45.100   Training iter 250, batch loss 2.5207, batch acc 0.8950
19:02:45.204   Training iter 300, batch loss 2.2295, batch acc 0.9038
19:02:45.294   Training iter 350, batch loss 2.0602, batch acc 0.9116
19:02:45.371   Training iter 400, batch loss 1.9320, batch acc 0.9140
19:02:45.461   Training iter 450, batch loss 1.9700, batch acc 0.9158
19:02:45.554   Training iter 500, batch loss 1.8152, batch acc 0.9182
19:02:45.639   Training iter 550, batch loss 1.7325, batch acc 0.9294
19:02:45.736   Training iter 600, batch loss 1.7828, batch acc 0.9240
19:02:45.738 Testing @ 0 epoch...
19:02:45.809     Testing, total mean loss 1.44853, total acc 0.93140
19:02:45.809 Training @ 1 epoch...
19:02:45.907   Training iter 50, batch loss 1.6668, batch acc 0.9230
19:02:46.013   Training iter 100, batch loss 1.3520, batch acc 0.9370
19:02:46.148   Training iter 150, batch loss 1.2224, batch acc 0.9390
19:02:46.283   Training iter 200, batch loss 1.2886, batch acc 0.9352
19:02:46.383   Training iter 250, batch loss 1.2602, batch acc 0.9394
19:02:46.474   Training iter 300, batch loss 1.3601, batch acc 0.9368
19:02:46.584   Training iter 350, batch loss 1.3015, batch acc 0.9358
19:02:46.669   Training iter 400, batch loss 1.1681, batch acc 0.9418
19:02:46.801   Training iter 450, batch loss 1.1245, batch acc 0.9444
19:02:47.000   Training iter 500, batch loss 1.0173, batch acc 0.9484
19:02:47.174   Training iter 550, batch loss 1.0534, batch acc 0.9502
19:02:47.312   Training iter 600, batch loss 1.1714, batch acc 0.9396
19:02:47.312 Training @ 2 epoch...
19:02:47.452   Training iter 50, batch loss 0.9918, batch acc 0.9506
19:02:47.585   Training iter 100, batch loss 0.9339, batch acc 0.9534
19:02:47.713   Training iter 150, batch loss 1.0383, batch acc 0.9516
19:02:47.800   Training iter 200, batch loss 0.9759, batch acc 0.9550
19:02:48.039   Training iter 250, batch loss 0.8377, batch acc 0.9592
19:02:48.183   Training iter 300, batch loss 0.8361, batch acc 0.9578
19:02:48.366   Training iter 350, batch loss 0.9030, batch acc 0.9602
19:02:48.605   Training iter 400, batch loss 0.7905, batch acc 0.9580
19:02:48.755   Training iter 450, batch loss 0.8460, batch acc 0.9608
19:02:48.894   Training iter 500, batch loss 0.8805, batch acc 0.9564
19:02:49.218   Training iter 550, batch loss 0.8723, batch acc 0.9550
19:02:49.447   Training iter 600, batch loss 0.7992, batch acc 0.9604
19:02:49.447 Training @ 3 epoch...
19:02:49.607   Training iter 50, batch loss 0.7844, batch acc 0.9600
19:02:49.882   Training iter 100, batch loss 0.7034, batch acc 0.9652
19:02:50.013   Training iter 150, batch loss 0.6290, batch acc 0.9672
19:02:50.172   Training iter 200, batch loss 0.6103, batch acc 0.9690
19:02:50.307   Training iter 250, batch loss 0.7659, batch acc 0.9598
19:02:50.423   Training iter 300, batch loss 0.7224, batch acc 0.9618
19:02:50.556   Training iter 350, batch loss 0.6622, batch acc 0.9640
19:02:50.663   Training iter 400, batch loss 0.6607, batch acc 0.9640
19:02:50.781   Training iter 450, batch loss 0.6796, batch acc 0.9640
19:02:50.905   Training iter 500, batch loss 0.6721, batch acc 0.9654
19:02:51.042   Training iter 550, batch loss 0.7695, batch acc 0.9600
19:02:51.154   Training iter 600, batch loss 0.6562, batch acc 0.9698
19:02:51.155 Training @ 4 epoch...
19:02:51.248   Training iter 50, batch loss 0.5629, batch acc 0.9706
19:02:51.351   Training iter 100, batch loss 0.5253, batch acc 0.9700
19:02:51.438   Training iter 150, batch loss 0.4376, batch acc 0.9746
19:02:51.559   Training iter 200, batch loss 0.5387, batch acc 0.9710
19:02:51.698   Training iter 250, batch loss 0.5797, batch acc 0.9678
19:02:51.833   Training iter 300, batch loss 0.6256, batch acc 0.9656
19:02:51.944   Training iter 350, batch loss 0.7024, batch acc 0.9642
19:02:52.073   Training iter 400, batch loss 0.6429, batch acc 0.9652
19:02:52.206   Training iter 450, batch loss 0.5996, batch acc 0.9698
19:02:52.341   Training iter 500, batch loss 0.6219, batch acc 0.9682
19:02:52.436   Training iter 550, batch loss 0.6237, batch acc 0.9674
19:02:52.517   Training iter 600, batch loss 0.7505, batch acc 0.9578
19:02:52.517 Training @ 5 epoch...
19:02:52.616   Training iter 50, batch loss 0.6344, batch acc 0.9666
19:02:52.731   Training iter 100, batch loss 0.5303, batch acc 0.9718
19:02:52.971   Training iter 150, batch loss 0.5565, batch acc 0.9708
19:02:53.062   Training iter 200, batch loss 0.5528, batch acc 0.9724
19:02:53.192   Training iter 250, batch loss 0.4405, batch acc 0.9740
19:02:53.469   Training iter 300, batch loss 0.4860, batch acc 0.9724
19:02:53.654   Training iter 350, batch loss 0.5670, batch acc 0.9694
19:02:53.763   Training iter 400, batch loss 0.5668, batch acc 0.9712
19:02:53.894   Training iter 450, batch loss 0.5316, batch acc 0.9720
19:02:54.103   Training iter 500, batch loss 0.5565, batch acc 0.9696
19:02:54.194   Training iter 550, batch loss 0.5019, batch acc 0.9690
19:02:54.279   Training iter 600, batch loss 0.4814, batch acc 0.9708
19:02:54.280 Testing @ 5 epoch...
19:02:54.360     Testing, total mean loss 0.65682, total acc 0.96680
19:02:54.360 Training @ 6 epoch...
19:02:54.458   Training iter 50, batch loss 0.5891, batch acc 0.9696
19:02:54.766   Training iter 100, batch loss 0.3943, batch acc 0.9774
19:02:54.886   Training iter 150, batch loss 0.4521, batch acc 0.9762
19:02:55.100   Training iter 200, batch loss 0.4557, batch acc 0.9756
19:02:55.348   Training iter 250, batch loss 0.4494, batch acc 0.9762
19:02:55.519   Training iter 300, batch loss 0.4749, batch acc 0.9724
19:02:55.770   Training iter 350, batch loss 0.4152, batch acc 0.9774
19:02:55.985   Training iter 400, batch loss 0.5125, batch acc 0.9708
19:02:56.271   Training iter 450, batch loss 0.4764, batch acc 0.9730
19:02:56.420   Training iter 500, batch loss 0.4633, batch acc 0.9720
19:02:56.749   Training iter 550, batch loss 0.3916, batch acc 0.9806
19:02:56.841   Training iter 600, batch loss 0.5137, batch acc 0.9712
19:02:56.843 Training @ 7 epoch...
19:02:57.134   Training iter 50, batch loss 0.4111, batch acc 0.9768
19:02:58.199   Training iter 100, batch loss 0.3936, batch acc 0.9788
19:02:58.382   Training iter 150, batch loss 0.4636, batch acc 0.9730
