19:06:19.300 Training @ 0 epoch...
19:06:19.463   Training iter 50, batch loss 0.1860, batch acc 0.1386
19:06:19.719   Training iter 100, batch loss 0.1847, batch acc 0.1284
19:06:19.817   Training iter 150, batch loss 0.1829, batch acc 0.1368
19:06:20.009   Training iter 200, batch loss 0.1801, batch acc 0.1718
19:06:20.171   Training iter 250, batch loss 0.1760, batch acc 0.2390
19:06:20.364   Training iter 300, batch loss 0.1697, batch acc 0.3000
19:06:20.557   Training iter 350, batch loss 0.1609, batch acc 0.4038
19:06:20.682   Training iter 400, batch loss 0.1482, batch acc 0.5334
19:06:20.889   Training iter 450, batch loss 0.1326, batch acc 0.5948
19:06:21.106   Training iter 500, batch loss 0.1160, batch acc 0.6322
19:06:21.287   Training iter 550, batch loss 0.0994, batch acc 0.6870
19:06:21.503   Training iter 600, batch loss 0.0860, batch acc 0.7266
19:06:21.505 Testing @ 0 epoch...
19:06:21.568     Testing, total mean loss 0.07820, total acc 0.75240
19:06:21.568 Training @ 1 epoch...
19:06:21.740   Training iter 50, batch loss 0.0751, batch acc 0.7518
19:06:21.868   Training iter 100, batch loss 0.0668, batch acc 0.7630
19:06:21.967   Training iter 150, batch loss 0.0612, batch acc 0.7664
19:06:22.171   Training iter 200, batch loss 0.0530, batch acc 0.7950
19:06:22.419   Training iter 250, batch loss 0.0489, batch acc 0.8024
19:06:22.614   Training iter 300, batch loss 0.0465, batch acc 0.8042
19:06:22.717   Training iter 350, batch loss 0.0433, batch acc 0.8078
19:06:22.815   Training iter 400, batch loss 0.0414, batch acc 0.8086
19:06:22.903   Training iter 450, batch loss 0.0392, batch acc 0.8158
19:06:22.986   Training iter 500, batch loss 0.0371, batch acc 0.8298
19:06:23.084   Training iter 550, batch loss 0.0351, batch acc 0.8294
19:06:23.178   Training iter 600, batch loss 0.0355, batch acc 0.8286
19:06:23.179 Training @ 2 epoch...
19:06:23.269   Training iter 50, batch loss 0.0340, batch acc 0.8264
19:06:23.413   Training iter 100, batch loss 0.0326, batch acc 0.8380
19:06:23.513   Training iter 150, batch loss 0.0323, batch acc 0.8368
19:06:23.699   Training iter 200, batch loss 0.0299, batch acc 0.8496
19:06:23.831   Training iter 250, batch loss 0.0302, batch acc 0.8468
19:06:23.984   Training iter 300, batch loss 0.0299, batch acc 0.8472
19:06:24.154   Training iter 350, batch loss 0.0288, batch acc 0.8536
