19:28:27.010 Training @ 0 epoch...
19:28:27.234   Training iter 50, batch loss 30.0231, batch acc 0.3136
19:28:27.438   Training iter 100, batch loss 5.5597, batch acc 0.7560
19:28:27.619   Training iter 150, batch loss 4.3880, batch acc 0.8136
19:28:27.806   Training iter 200, batch loss 3.1170, batch acc 0.8646
19:28:27.994   Training iter 250, batch loss 2.8089, batch acc 0.8764
19:28:28.199   Training iter 300, batch loss 2.4130, batch acc 0.8930
19:28:28.406   Training iter 350, batch loss 2.3103, batch acc 0.8874
19:28:28.606   Training iter 400, batch loss 2.1911, batch acc 0.8960
19:28:28.832   Training iter 450, batch loss 2.1316, batch acc 0.9012
19:28:29.055   Training iter 500, batch loss 1.7195, batch acc 0.9168
19:28:29.256   Training iter 550, batch loss 2.1984, batch acc 0.8980
19:28:29.680   Training iter 600, batch loss 1.8782, batch acc 0.9150
19:28:29.681 Testing @ 0 epoch...
19:28:29.866     Testing, total mean loss 1.86335, total acc 0.90770
19:28:29.866 Training @ 1 epoch...
19:28:30.180   Training iter 50, batch loss 1.7290, batch acc 0.9134
19:28:30.379   Training iter 100, batch loss 1.5504, batch acc 0.9232
19:28:30.563   Training iter 150, batch loss 1.7147, batch acc 0.9218
19:28:30.750   Training iter 200, batch loss 1.3101, batch acc 0.9320
19:28:30.971   Training iter 250, batch loss 1.3946, batch acc 0.9314
19:28:31.183   Training iter 300, batch loss 1.3251, batch acc 0.9330
19:28:31.421   Training iter 350, batch loss 1.4445, batch acc 0.9282
19:28:31.651   Training iter 400, batch loss 1.1639, batch acc 0.9406
19:28:31.829   Training iter 450, batch loss 1.0952, batch acc 0.9446
19:28:32.019   Training iter 500, batch loss 1.2483, batch acc 0.9344
19:28:32.208   Training iter 550, batch loss 1.2792, batch acc 0.9382
19:28:32.393   Training iter 600, batch loss 1.1257, batch acc 0.9444
19:28:32.395 Training @ 2 epoch...
19:28:32.578   Training iter 50, batch loss 1.0146, batch acc 0.9430
19:28:32.756   Training iter 100, batch loss 1.0978, batch acc 0.9460
19:28:32.949   Training iter 150, batch loss 1.0217, batch acc 0.9488
19:28:33.152   Training iter 200, batch loss 0.9897, batch acc 0.9512
19:28:33.328   Training iter 250, batch loss 0.9346, batch acc 0.9494
19:28:33.500   Training iter 300, batch loss 1.0090, batch acc 0.9488
19:28:33.799   Training iter 350, batch loss 1.0828, batch acc 0.9474
19:28:34.081   Training iter 400, batch loss 0.8519, batch acc 0.9524
19:28:34.346   Training iter 450, batch loss 0.7710, batch acc 0.9560
19:28:34.549   Training iter 500, batch loss 0.8901, batch acc 0.9512
19:28:34.733   Training iter 550, batch loss 0.8540, batch acc 0.9598
19:28:34.909   Training iter 600, batch loss 1.0049, batch acc 0.9490
19:28:34.909 Training @ 3 epoch...
19:28:35.156   Training iter 50, batch loss 0.7582, batch acc 0.9606
19:28:35.394   Training iter 100, batch loss 0.7096, batch acc 0.9596
19:28:35.634   Training iter 150, batch loss 0.7182, batch acc 0.9598
19:28:35.845   Training iter 200, batch loss 0.8751, batch acc 0.9524
19:28:36.059   Training iter 250, batch loss 0.9344, batch acc 0.9546
