19:35:22.545 Training @ 0 epoch...
19:35:22.812   Training iter 50, batch loss 0.1864, batch acc 0.1158
19:35:23.097   Training iter 100, batch loss 0.1862, batch acc 0.1106
19:35:23.318   Training iter 150, batch loss 0.1860, batch acc 0.1152
19:35:23.514   Training iter 200, batch loss 0.1858, batch acc 0.1150
19:35:23.714   Training iter 250, batch loss 0.1854, batch acc 0.1094
19:35:23.984   Training iter 300, batch loss 0.1851, batch acc 0.1062
19:35:24.387   Training iter 350, batch loss 0.1844, batch acc 0.1274
19:35:25.152   Training iter 400, batch loss 0.1835, batch acc 0.1462
19:35:25.548   Training iter 450, batch loss 0.1823, batch acc 0.1748
19:35:25.991   Training iter 500, batch loss 0.1804, batch acc 0.2330
19:35:26.257   Training iter 550, batch loss 0.1773, batch acc 0.2854
19:35:26.635   Training iter 600, batch loss 0.1723, batch acc 0.3188
19:35:26.636 Testing @ 0 epoch...
19:35:26.838     Testing, total mean loss 0.16813, total acc 0.34710
19:35:26.838 Training @ 1 epoch...
19:35:27.213   Training iter 50, batch loss 0.1641, batch acc 0.3468
19:35:27.650   Training iter 100, batch loss 0.1530, batch acc 0.3592
19:35:27.991   Training iter 150, batch loss 0.1391, batch acc 0.3796
19:35:28.367   Training iter 200, batch loss 0.1258, batch acc 0.4240
19:35:28.701   Training iter 250, batch loss 0.1118, batch acc 0.4708
19:35:29.171   Training iter 300, batch loss 0.0977, batch acc 0.5378
19:35:29.607   Training iter 350, batch loss 0.0867, batch acc 0.5724
19:35:29.987   Training iter 400, batch loss 0.0739, batch acc 0.6456
19:35:30.340   Training iter 450, batch loss 0.0670, batch acc 0.6616
19:35:30.613   Training iter 500, batch loss 0.0613, batch acc 0.6716
19:35:30.837   Training iter 550, batch loss 0.0570, batch acc 0.7040
19:35:31.042   Training iter 600, batch loss 0.0514, batch acc 0.7364
19:35:31.042 Training @ 2 epoch...
19:35:31.254   Training iter 50, batch loss 0.0497, batch acc 0.7300
19:35:31.446   Training iter 100, batch loss 0.0466, batch acc 0.7456
19:35:31.639   Training iter 150, batch loss 0.0454, batch acc 0.7526
19:35:31.853   Training iter 200, batch loss 0.0443, batch acc 0.7580
19:35:32.083   Training iter 250, batch loss 0.0416, batch acc 0.7744
19:35:32.318   Training iter 300, batch loss 0.0397, batch acc 0.7770
19:35:32.547   Training iter 350, batch loss 0.0384, batch acc 0.7778
19:35:32.816   Training iter 400, batch loss 0.0376, batch acc 0.7890
19:35:33.102   Training iter 450, batch loss 0.0379, batch acc 0.7968
19:35:33.407   Training iter 500, batch loss 0.0375, batch acc 0.7856
19:35:33.768   Training iter 550, batch loss 0.0359, batch acc 0.7974
19:35:34.084   Training iter 600, batch loss 0.0337, batch acc 0.8054
19:35:34.084 Training @ 3 epoch...
19:35:34.350   Training iter 50, batch loss 0.0349, batch acc 0.8098
19:35:34.552   Training iter 100, batch loss 0.0327, batch acc 0.8134
19:35:34.759   Training iter 150, batch loss 0.0322, batch acc 0.8150
19:35:34.969   Training iter 200, batch loss 0.0324, batch acc 0.8178
19:35:35.218   Training iter 250, batch loss 0.0315, batch acc 0.8164
19:35:35.463   Training iter 300, batch loss 0.0320, batch acc 0.8200
19:35:35.705   Training iter 350, batch loss 0.0304, batch acc 0.8290
19:35:35.971   Training iter 400, batch loss 0.0298, batch acc 0.8276
19:35:36.168   Training iter 450, batch loss 0.0293, batch acc 0.8252
19:35:36.390   Training iter 500, batch loss 0.0297, batch acc 0.8338
19:35:36.575   Training iter 550, batch loss 0.0301, batch acc 0.8242
19:35:36.783   Training iter 600, batch loss 0.0288, batch acc 0.8338
19:35:36.784 Training @ 4 epoch...
19:35:36.998   Training iter 50, batch loss 0.0292, batch acc 0.8394
19:35:37.201   Training iter 100, batch loss 0.0258, batch acc 0.8476
19:35:37.452   Training iter 150, batch loss 0.0277, batch acc 0.8444
19:35:37.683   Training iter 200, batch loss 0.0286, batch acc 0.8446
19:35:37.992   Training iter 250, batch loss 0.0268, batch acc 0.8482
19:35:38.367   Training iter 300, batch loss 0.0271, batch acc 0.8480
19:35:38.629   Training iter 350, batch loss 0.0261, batch acc 0.8502
19:35:38.895   Training iter 400, batch loss 0.0245, batch acc 0.8578
19:35:39.133   Training iter 450, batch loss 0.0260, batch acc 0.8500
19:35:39.376   Training iter 500, batch loss 0.0253, batch acc 0.8534
19:35:39.695   Training iter 550, batch loss 0.0255, batch acc 0.8530
19:35:40.127   Training iter 600, batch loss 0.0238, batch acc 0.8594
19:35:40.129 Training @ 5 epoch...
19:35:40.416   Training iter 50, batch loss 0.0239, batch acc 0.8588
19:35:40.854   Training iter 100, batch loss 0.0241, batch acc 0.8648
19:35:41.352   Training iter 150, batch loss 0.0232, batch acc 0.8676
19:35:41.924   Training iter 200, batch loss 0.0225, batch acc 0.8728
19:35:42.358   Training iter 250, batch loss 0.0248, batch acc 0.8534
19:35:42.670   Training iter 300, batch loss 0.0222, batch acc 0.8736
19:35:42.885   Training iter 350, batch loss 0.0243, batch acc 0.8638
19:35:43.251   Training iter 400, batch loss 0.0228, batch acc 0.8720
19:35:43.465   Training iter 450, batch loss 0.0229, batch acc 0.8722
19:35:43.698   Training iter 500, batch loss 0.0223, batch acc 0.8760
19:35:43.982   Training iter 550, batch loss 0.0226, batch acc 0.8716
19:35:44.245   Training iter 600, batch loss 0.0215, batch acc 0.8778
19:35:44.245 Testing @ 5 epoch...
19:35:44.467     Testing, total mean loss 0.02104, total acc 0.87690
19:35:44.467 Training @ 6 epoch...
19:35:44.898   Training iter 50, batch loss 0.0215, batch acc 0.8788
19:35:45.207   Training iter 100, batch loss 0.0210, batch acc 0.8768
19:35:45.512   Training iter 150, batch loss 0.0210, batch acc 0.8830
19:35:45.779   Training iter 200, batch loss 0.0210, batch acc 0.8802
19:35:46.033   Training iter 250, batch loss 0.0217, batch acc 0.8772
19:35:46.257   Training iter 300, batch loss 0.0217, batch acc 0.8798
19:35:46.489   Training iter 350, batch loss 0.0195, batch acc 0.8854
19:35:46.887   Training iter 400, batch loss 0.0209, batch acc 0.8844
19:35:47.418   Training iter 450, batch loss 0.0196, batch acc 0.8886
19:35:47.861   Training iter 500, batch loss 0.0205, batch acc 0.8822
19:35:48.268   Training iter 550, batch loss 0.0206, batch acc 0.8848
19:35:48.770   Training iter 600, batch loss 0.0210, batch acc 0.8786
19:35:48.771 Training @ 7 epoch...
19:35:49.292   Training iter 50, batch loss 0.0198, batch acc 0.8936
19:35:49.808   Training iter 100, batch loss 0.0203, batch acc 0.8832
19:35:50.372   Training iter 150, batch loss 0.0189, batch acc 0.8840
19:35:50.706   Training iter 200, batch loss 0.0186, batch acc 0.8966
19:35:51.059   Training iter 250, batch loss 0.0192, batch acc 0.8916
19:35:51.398   Training iter 300, batch loss 0.0197, batch acc 0.8874
19:35:51.781   Training iter 350, batch loss 0.0195, batch acc 0.8882
19:35:52.008   Training iter 400, batch loss 0.0195, batch acc 0.8918
19:35:52.226   Training iter 450, batch loss 0.0190, batch acc 0.8910
19:35:52.468   Training iter 500, batch loss 0.0208, batch acc 0.8846
19:35:52.750   Training iter 550, batch loss 0.0186, batch acc 0.8942
19:35:53.050   Training iter 600, batch loss 0.0199, batch acc 0.8824
19:35:53.051 Training @ 8 epoch...
19:35:53.309   Training iter 50, batch loss 0.0178, batch acc 0.9032
19:35:53.523   Training iter 100, batch loss 0.0194, batch acc 0.8880
19:35:53.843   Training iter 150, batch loss 0.0199, batch acc 0.8866
19:35:54.216   Training iter 200, batch loss 0.0195, batch acc 0.8896
19:35:54.573   Training iter 250, batch loss 0.0190, batch acc 0.8862
19:35:54.974   Training iter 300, batch loss 0.0194, batch acc 0.8940
19:35:55.420   Training iter 350, batch loss 0.0188, batch acc 0.8968
19:35:56.006   Training iter 400, batch loss 0.0178, batch acc 0.8922
19:35:56.390   Training iter 450, batch loss 0.0177, batch acc 0.8976
19:35:56.649   Training iter 500, batch loss 0.0184, batch acc 0.8890
19:35:56.863   Training iter 550, batch loss 0.0173, batch acc 0.8988
19:35:57.100   Training iter 600, batch loss 0.0184, batch acc 0.8954
19:35:57.101 Training @ 9 epoch...
19:35:57.312   Training iter 50, batch loss 0.0177, batch acc 0.9018
19:35:57.536   Training iter 100, batch loss 0.0186, batch acc 0.8972
19:35:57.743   Training iter 150, batch loss 0.0181, batch acc 0.8960
19:35:57.961   Training iter 200, batch loss 0.0188, batch acc 0.8938
19:35:58.206   Training iter 250, batch loss 0.0178, batch acc 0.8962
19:35:58.564   Training iter 300, batch loss 0.0185, batch acc 0.8986
19:35:58.872   Training iter 350, batch loss 0.0179, batch acc 0.8958
19:35:59.322   Training iter 400, batch loss 0.0181, batch acc 0.8950
19:35:59.613   Training iter 450, batch loss 0.0177, batch acc 0.8960
19:35:59.930   Training iter 500, batch loss 0.0174, batch acc 0.9002
19:36:00.291   Training iter 550, batch loss 0.0182, batch acc 0.8948
19:36:00.607   Training iter 600, batch loss 0.0170, batch acc 0.8976
19:36:00.608 Training @ 10 epoch...
19:36:01.027   Training iter 50, batch loss 0.0172, batch acc 0.9018
19:36:01.758   Training iter 100, batch loss 0.0179, batch acc 0.8998
19:36:03.190   Training iter 150, batch loss 0.0171, batch acc 0.9006
19:36:04.697   Training iter 200, batch loss 0.0176, batch acc 0.8926
19:36:06.727   Training iter 250, batch loss 0.0171, batch acc 0.9032
19:36:07.669   Training iter 300, batch loss 0.0179, batch acc 0.9008
19:36:08.390   Training iter 350, batch loss 0.0173, batch acc 0.9004
19:36:08.886   Training iter 400, batch loss 0.0165, batch acc 0.9002
19:36:09.476   Training iter 450, batch loss 0.0171, batch acc 0.9018
19:36:09.921   Training iter 500, batch loss 0.0181, batch acc 0.9024
19:36:10.203   Training iter 550, batch loss 0.0179, batch acc 0.8980
19:36:10.635   Training iter 600, batch loss 0.0184, batch acc 0.8940
19:36:10.636 Testing @ 10 epoch...
19:36:10.927     Testing, total mean loss 0.01718, total acc 0.90030
19:36:10.927 Training @ 11 epoch...
19:36:11.287   Training iter 50, batch loss 0.0177, batch acc 0.8948
19:36:12.195   Training iter 100, batch loss 0.0173, batch acc 0.9034
19:36:12.914   Training iter 150, batch loss 0.0157, batch acc 0.9084
19:36:13.445   Training iter 200, batch loss 0.0182, batch acc 0.9030
19:36:13.845   Training iter 250, batch loss 0.0160, batch acc 0.9102
19:36:14.275   Training iter 300, batch loss 0.0167, batch acc 0.9028
19:36:14.735   Training iter 350, batch loss 0.0169, batch acc 0.9008
19:36:15.100   Training iter 400, batch loss 0.0174, batch acc 0.8972
19:36:15.440   Training iter 450, batch loss 0.0171, batch acc 0.9022
19:36:16.243   Training iter 500, batch loss 0.0174, batch acc 0.9028
19:36:16.588   Training iter 550, batch loss 0.0179, batch acc 0.8990
19:36:16.903   Training iter 600, batch loss 0.0173, batch acc 0.8938
19:36:16.903 Training @ 12 epoch...
19:36:17.188   Training iter 50, batch loss 0.0167, batch acc 0.9062
19:36:17.444   Training iter 100, batch loss 0.0173, batch acc 0.8972
19:36:17.664   Training iter 150, batch loss 0.0178, batch acc 0.9024
19:36:17.904   Training iter 200, batch loss 0.0155, batch acc 0.9058
19:36:18.474   Training iter 250, batch loss 0.0169, batch acc 0.9044
19:36:18.791   Training iter 300, batch loss 0.0165, batch acc 0.9036
19:36:19.076   Training iter 350, batch loss 0.0168, batch acc 0.9022
19:36:19.366   Training iter 400, batch loss 0.0157, batch acc 0.9056
19:36:20.043   Training iter 450, batch loss 0.0174, batch acc 0.8994
19:36:20.436   Training iter 500, batch loss 0.0162, batch acc 0.9078
19:36:20.652   Training iter 550, batch loss 0.0180, batch acc 0.9008
19:36:20.971   Training iter 600, batch loss 0.0165, batch acc 0.9104
19:36:20.972 Training @ 13 epoch...
19:36:21.305   Training iter 50, batch loss 0.0165, batch acc 0.9102
19:36:21.525   Training iter 100, batch loss 0.0170, batch acc 0.9026
19:36:21.802   Training iter 150, batch loss 0.0160, batch acc 0.9100
19:36:22.097   Training iter 200, batch loss 0.0168, batch acc 0.9030
19:36:22.367   Training iter 250, batch loss 0.0163, batch acc 0.9060
19:36:22.676   Training iter 300, batch loss 0.0163, batch acc 0.9110
19:36:23.030   Training iter 350, batch loss 0.0167, batch acc 0.9056
19:36:23.343   Training iter 400, batch loss 0.0180, batch acc 0.8948
19:36:23.700   Training iter 450, batch loss 0.0159, batch acc 0.9104
19:36:24.037   Training iter 500, batch loss 0.0151, batch acc 0.9136
19:36:24.350   Training iter 550, batch loss 0.0160, batch acc 0.9066
19:36:24.858   Training iter 600, batch loss 0.0183, batch acc 0.8948
19:36:24.859 Training @ 14 epoch...
19:36:25.208   Training iter 50, batch loss 0.0165, batch acc 0.9030
19:36:25.528   Training iter 100, batch loss 0.0172, batch acc 0.9066
19:36:25.860   Training iter 150, batch loss 0.0159, batch acc 0.9054
19:36:26.293   Training iter 200, batch loss 0.0166, batch acc 0.9028
19:36:26.571   Training iter 250, batch loss 0.0168, batch acc 0.9034
19:36:26.878   Training iter 300, batch loss 0.0168, batch acc 0.9038
19:36:27.160   Training iter 350, batch loss 0.0167, batch acc 0.9026
19:36:27.377   Training iter 400, batch loss 0.0162, batch acc 0.9090
19:36:27.604   Training iter 450, batch loss 0.0153, batch acc 0.9122
19:36:27.817   Training iter 500, batch loss 0.0155, batch acc 0.9098
19:36:28.049   Training iter 550, batch loss 0.0161, batch acc 0.9098
19:36:28.280   Training iter 600, batch loss 0.0162, batch acc 0.9082
19:36:28.280 Training @ 15 epoch...
19:36:28.601   Training iter 50, batch loss 0.0142, batch acc 0.9148
19:36:28.939   Training iter 100, batch loss 0.0147, batch acc 0.9116
19:36:29.209   Training iter 150, batch loss 0.0167, batch acc 0.9038
19:36:29.525   Training iter 200, batch loss 0.0157, batch acc 0.9092
19:36:30.056   Training iter 250, batch loss 0.0145, batch acc 0.9118
19:36:30.453   Training iter 300, batch loss 0.0171, batch acc 0.9034
19:36:30.790   Training iter 350, batch loss 0.0169, batch acc 0.9036
19:36:31.073   Training iter 400, batch loss 0.0174, batch acc 0.9004
19:36:31.662   Training iter 450, batch loss 0.0176, batch acc 0.9002
19:36:31.981   Training iter 500, batch loss 0.0153, batch acc 0.9144
19:36:32.304   Training iter 550, batch loss 0.0159, batch acc 0.9114
19:36:32.588   Training iter 600, batch loss 0.0168, batch acc 0.9082
19:36:32.588 Testing @ 15 epoch...
19:36:32.799     Testing, total mean loss 0.01576, total acc 0.90700
19:36:32.799 Training @ 16 epoch...
19:36:33.074   Training iter 50, batch loss 0.0171, batch acc 0.9056
19:36:33.341   Training iter 100, batch loss 0.0165, batch acc 0.9066
19:36:33.574   Training iter 150, batch loss 0.0158, batch acc 0.9062
19:36:33.821   Training iter 200, batch loss 0.0158, batch acc 0.9094
19:36:34.038   Training iter 250, batch loss 0.0161, batch acc 0.9084
19:36:34.295   Training iter 300, batch loss 0.0169, batch acc 0.9120
19:36:34.626   Training iter 350, batch loss 0.0158, batch acc 0.9090
19:36:34.921   Training iter 400, batch loss 0.0155, batch acc 0.9072
19:36:35.237   Training iter 450, batch loss 0.0157, batch acc 0.9056
19:36:35.434   Training iter 500, batch loss 0.0146, batch acc 0.9134
19:36:35.719   Training iter 550, batch loss 0.0158, batch acc 0.9136
19:36:36.020   Training iter 600, batch loss 0.0156, batch acc 0.9156
19:36:36.021 Training @ 17 epoch...
19:36:36.395   Training iter 50, batch loss 0.0150, batch acc 0.9164
19:36:36.759   Training iter 100, batch loss 0.0156, batch acc 0.9108
19:36:37.102   Training iter 150, batch loss 0.0156, batch acc 0.9120
19:36:37.426   Training iter 200, batch loss 0.0164, batch acc 0.9044
19:36:37.866   Training iter 250, batch loss 0.0163, batch acc 0.9072
19:36:38.207   Training iter 300, batch loss 0.0161, batch acc 0.9028
19:36:38.559   Training iter 350, batch loss 0.0158, batch acc 0.9088
19:36:38.923   Training iter 400, batch loss 0.0151, batch acc 0.9114
19:36:39.278   Training iter 450, batch loss 0.0160, batch acc 0.9104
19:36:39.641   Training iter 500, batch loss 0.0153, batch acc 0.9122
19:36:39.974   Training iter 550, batch loss 0.0157, batch acc 0.9110
19:36:40.354   Training iter 600, batch loss 0.0156, batch acc 0.9094
19:36:40.354 Training @ 18 epoch...
19:36:40.821   Training iter 50, batch loss 0.0151, batch acc 0.9100
19:36:41.228   Training iter 100, batch loss 0.0153, batch acc 0.9082
19:36:41.559   Training iter 150, batch loss 0.0164, batch acc 0.9106
19:36:41.917   Training iter 200, batch loss 0.0153, batch acc 0.9120
19:36:42.410   Training iter 250, batch loss 0.0157, batch acc 0.9114
19:36:42.769   Training iter 300, batch loss 0.0158, batch acc 0.9076
19:36:43.143   Training iter 350, batch loss 0.0152, batch acc 0.9128
19:36:43.467   Training iter 400, batch loss 0.0151, batch acc 0.9084
19:36:43.817   Training iter 450, batch loss 0.0139, batch acc 0.9180
19:36:44.207   Training iter 500, batch loss 0.0155, batch acc 0.9158
19:36:44.536   Training iter 550, batch loss 0.0162, batch acc 0.9046
19:36:45.168   Training iter 600, batch loss 0.0168, batch acc 0.9090
19:36:45.170 Training @ 19 epoch...
19:36:45.428   Training iter 50, batch loss 0.0155, batch acc 0.9110
19:36:45.694   Training iter 100, batch loss 0.0163, batch acc 0.9094
19:36:45.975   Training iter 150, batch loss 0.0163, batch acc 0.9108
19:36:46.287   Training iter 200, batch loss 0.0150, batch acc 0.9108
19:36:46.577   Training iter 250, batch loss 0.0154, batch acc 0.9094
19:36:46.951   Training iter 300, batch loss 0.0152, batch acc 0.9080
19:36:47.270   Training iter 350, batch loss 0.0156, batch acc 0.9116
19:36:47.603   Training iter 400, batch loss 0.0147, batch acc 0.9124
19:36:47.927   Training iter 450, batch loss 0.0144, batch acc 0.9188
19:36:48.180   Training iter 500, batch loss 0.0159, batch acc 0.9098
19:36:48.412   Training iter 550, batch loss 0.0150, batch acc 0.9152
19:36:48.656   Training iter 600, batch loss 0.0153, batch acc 0.9140
19:36:48.656 Training @ 20 epoch...
19:36:48.998   Training iter 50, batch loss 0.0145, batch acc 0.9166
19:36:49.322   Training iter 100, batch loss 0.0149, batch acc 0.9180
19:36:49.626   Training iter 150, batch loss 0.0155, batch acc 0.9168
19:36:49.939   Training iter 200, batch loss 0.0152, batch acc 0.9112
19:36:50.186   Training iter 250, batch loss 0.0158, batch acc 0.9088
19:36:50.444   Training iter 300, batch loss 0.0158, batch acc 0.9070
19:36:50.703   Training iter 350, batch loss 0.0159, batch acc 0.9110
19:36:50.960   Training iter 400, batch loss 0.0161, batch acc 0.9086
19:36:51.199   Training iter 450, batch loss 0.0150, batch acc 0.9124
19:36:51.417   Training iter 500, batch loss 0.0142, batch acc 0.9202
19:36:51.633   Training iter 550, batch loss 0.0154, batch acc 0.9130
19:36:51.891   Training iter 600, batch loss 0.0148, batch acc 0.9134
19:36:51.893 Testing @ 20 epoch...
19:36:52.066     Testing, total mean loss 0.01522, total acc 0.91110
19:36:52.066 Training @ 21 epoch...
19:36:52.431   Training iter 50, batch loss 0.0157, batch acc 0.9112
19:36:52.881   Training iter 100, batch loss 0.0144, batch acc 0.9166
19:36:53.269   Training iter 150, batch loss 0.0144, batch acc 0.9138
19:36:53.560   Training iter 200, batch loss 0.0169, batch acc 0.9072
19:36:54.306   Training iter 250, batch loss 0.0158, batch acc 0.9110
19:36:56.190   Training iter 300, batch loss 0.0159, batch acc 0.9076
19:36:57.483   Training iter 350, batch loss 0.0159, batch acc 0.9092
19:36:59.354   Training iter 400, batch loss 0.0148, batch acc 0.9134
19:36:59.965   Training iter 450, batch loss 0.0143, batch acc 0.9140
19:37:00.424   Training iter 500, batch loss 0.0147, batch acc 0.9126
19:37:00.702   Training iter 550, batch loss 0.0139, batch acc 0.9222
19:37:01.110   Training iter 600, batch loss 0.0148, batch acc 0.9178
19:37:01.111 Training @ 22 epoch...
19:37:01.759   Training iter 50, batch loss 0.0148, batch acc 0.9132
19:37:02.286   Training iter 100, batch loss 0.0163, batch acc 0.9122
19:37:02.656   Training iter 150, batch loss 0.0154, batch acc 0.9072
19:37:02.934   Training iter 200, batch loss 0.0159, batch acc 0.9148
19:37:03.219   Training iter 250, batch loss 0.0153, batch acc 0.9150
19:37:03.488   Training iter 300, batch loss 0.0137, batch acc 0.9160
19:37:03.762   Training iter 350, batch loss 0.0156, batch acc 0.9092
19:37:04.070   Training iter 400, batch loss 0.0152, batch acc 0.9100
19:37:04.362   Training iter 450, batch loss 0.0146, batch acc 0.9176
19:37:04.852   Training iter 500, batch loss 0.0147, batch acc 0.9160
19:37:05.242   Training iter 550, batch loss 0.0144, batch acc 0.9130
19:37:05.582   Training iter 600, batch loss 0.0141, batch acc 0.9230
19:37:05.582 Training @ 23 epoch...
19:37:06.280   Training iter 50, batch loss 0.0152, batch acc 0.9188
19:37:06.595   Training iter 100, batch loss 0.0147, batch acc 0.9116
19:37:06.908   Training iter 150, batch loss 0.0146, batch acc 0.9138
19:37:07.240   Training iter 200, batch loss 0.0151, batch acc 0.9136
19:37:07.579   Training iter 250, batch loss 0.0147, batch acc 0.9196
19:37:08.086   Training iter 300, batch loss 0.0145, batch acc 0.9158
19:37:08.431   Training iter 350, batch loss 0.0152, batch acc 0.9128
19:37:08.677   Training iter 400, batch loss 0.0153, batch acc 0.9132
19:37:08.957   Training iter 450, batch loss 0.0153, batch acc 0.9102
19:37:09.194   Training iter 500, batch loss 0.0146, batch acc 0.9180
19:37:09.498   Training iter 550, batch loss 0.0151, batch acc 0.9152
19:37:09.740   Training iter 600, batch loss 0.0142, batch acc 0.9134
19:37:09.741 Training @ 24 epoch...
19:37:10.096   Training iter 50, batch loss 0.0151, batch acc 0.9154
19:37:10.398   Training iter 100, batch loss 0.0150, batch acc 0.9156
19:37:10.841   Training iter 150, batch loss 0.0146, batch acc 0.9178
19:37:11.262   Training iter 200, batch loss 0.0146, batch acc 0.9170
19:37:11.668   Training iter 250, batch loss 0.0149, batch acc 0.9116
19:37:12.114   Training iter 300, batch loss 0.0150, batch acc 0.9094
19:37:12.599   Training iter 350, batch loss 0.0144, batch acc 0.9166
19:37:12.907   Training iter 400, batch loss 0.0149, batch acc 0.9168
19:37:13.266   Training iter 450, batch loss 0.0140, batch acc 0.9128
19:37:13.614   Training iter 500, batch loss 0.0154, batch acc 0.9124
19:37:14.005   Training iter 550, batch loss 0.0153, batch acc 0.9164
19:37:14.377   Training iter 600, batch loss 0.0139, batch acc 0.9158
19:37:14.378 Training @ 25 epoch...
19:37:14.615   Training iter 50, batch loss 0.0145, batch acc 0.9150
19:37:14.869   Training iter 100, batch loss 0.0144, batch acc 0.9134
19:37:15.126   Training iter 150, batch loss 0.0155, batch acc 0.9122
19:37:15.873   Training iter 200, batch loss 0.0157, batch acc 0.9150
19:37:16.154   Training iter 250, batch loss 0.0153, batch acc 0.9136
19:37:16.458   Training iter 300, batch loss 0.0144, batch acc 0.9190
19:37:16.739   Training iter 350, batch loss 0.0138, batch acc 0.9172
19:37:17.009   Training iter 400, batch loss 0.0148, batch acc 0.9196
19:37:17.301   Training iter 450, batch loss 0.0153, batch acc 0.9118
19:37:17.570   Training iter 500, batch loss 0.0139, batch acc 0.9172
19:37:17.806   Training iter 550, batch loss 0.0132, batch acc 0.9234
19:37:18.055   Training iter 600, batch loss 0.0152, batch acc 0.9102
19:37:18.056 Testing @ 25 epoch...
19:37:18.422     Testing, total mean loss 0.01479, total acc 0.91430
19:37:18.422 Training @ 26 epoch...
19:37:18.806   Training iter 50, batch loss 0.0148, batch acc 0.9154
19:37:19.183   Training iter 100, batch loss 0.0150, batch acc 0.9142
19:37:19.508   Training iter 150, batch loss 0.0145, batch acc 0.9136
