19:51:35.199 Training @ 0 epoch...
19:51:35.439   Training iter 50, batch loss 44.9760, batch acc 0.1074
19:51:35.668   Training iter 100, batch loss 42.6839, batch acc 0.1224
19:51:35.865   Training iter 150, batch loss 12.5676, batch acc 0.5382
19:51:36.130   Training iter 200, batch loss 4.8302, batch acc 0.7980
19:51:36.420   Training iter 250, batch loss 4.1450, batch acc 0.8362
19:51:36.653   Training iter 300, batch loss 3.0881, batch acc 0.8658
19:51:36.856   Training iter 350, batch loss 2.4467, batch acc 0.8912
19:51:37.148   Training iter 400, batch loss 2.2139, batch acc 0.9020
19:51:37.410   Training iter 450, batch loss 2.3018, batch acc 0.8926
19:51:37.673   Training iter 500, batch loss 1.8670, batch acc 0.9150
19:51:37.965   Training iter 550, batch loss 2.0145, batch acc 0.9098
19:51:38.248   Training iter 600, batch loss 1.7144, batch acc 0.9244
19:51:38.248 Testing @ 0 epoch...
19:51:38.373     Testing, total mean loss 1.54126, total acc 0.93130
19:51:38.373 Training @ 1 epoch...
19:51:38.638   Training iter 50, batch loss 1.4084, batch acc 0.9334
19:51:38.945   Training iter 100, batch loss 1.5057, batch acc 0.9320
19:51:39.218   Training iter 150, batch loss 1.2707, batch acc 0.9404
19:51:39.478   Training iter 200, batch loss 1.4126, batch acc 0.9336
19:51:39.697   Training iter 250, batch loss 1.2743, batch acc 0.9394
19:51:39.984   Training iter 300, batch loss 1.2437, batch acc 0.9408
19:51:40.230   Training iter 350, batch loss 1.1400, batch acc 0.9436
19:51:40.428   Training iter 400, batch loss 1.0609, batch acc 0.9498
19:51:40.654   Training iter 450, batch loss 0.9988, batch acc 0.9494
19:51:40.854   Training iter 500, batch loss 1.1321, batch acc 0.9446
19:51:41.116   Training iter 550, batch loss 1.1425, batch acc 0.9462
19:51:41.328   Training iter 600, batch loss 1.0281, batch acc 0.9474
19:51:41.330 Training @ 2 epoch...
19:51:41.585   Training iter 50, batch loss 0.8804, batch acc 0.9508
19:51:41.846   Training iter 100, batch loss 0.8388, batch acc 0.9588
19:51:42.088   Training iter 150, batch loss 0.7540, batch acc 0.9598
19:51:42.349   Training iter 200, batch loss 0.8320, batch acc 0.9584
19:51:42.591   Training iter 250, batch loss 0.9192, batch acc 0.9544
19:51:42.857   Training iter 300, batch loss 0.7933, batch acc 0.9566
19:51:43.121   Training iter 350, batch loss 0.9253, batch acc 0.9536
19:51:43.321   Training iter 400, batch loss 0.7640, batch acc 0.9584
19:51:43.587   Training iter 450, batch loss 0.8124, batch acc 0.9616
19:51:43.798   Training iter 500, batch loss 0.8239, batch acc 0.9562
19:51:44.031   Training iter 550, batch loss 0.7918, batch acc 0.9582
19:51:44.245   Training iter 600, batch loss 0.7982, batch acc 0.9586
