20:21:10.597 Training @ 0 epoch...
20:21:10.944   Training iter 50, batch loss 44.9553, batch acc 0.1068
20:21:11.322   Training iter 100, batch loss 39.4532, batch acc 0.1798
20:21:11.694   Training iter 150, batch loss 10.8588, batch acc 0.5798
20:21:12.051   Training iter 200, batch loss 4.5758, batch acc 0.7952
20:21:12.355   Training iter 250, batch loss 3.9517, batch acc 0.8472
20:21:12.770   Training iter 300, batch loss 3.0566, batch acc 0.8724
20:21:13.207   Training iter 350, batch loss 2.9188, batch acc 0.8758
20:21:13.564   Training iter 400, batch loss 2.1989, batch acc 0.8982
20:21:13.878   Training iter 450, batch loss 1.9692, batch acc 0.9070
20:21:14.158   Training iter 500, batch loss 2.0985, batch acc 0.9082
20:21:14.468   Training iter 550, batch loss 1.7964, batch acc 0.9154
20:21:14.811   Training iter 600, batch loss 1.7619, batch acc 0.9128
20:21:14.814 Testing @ 0 epoch...
20:21:15.120     Testing, total mean loss 1.86609, total acc 0.90170
20:21:15.120 Training @ 1 epoch...
20:21:15.408   Training iter 50, batch loss 1.4390, batch acc 0.9328
20:21:15.732   Training iter 100, batch loss 1.4742, batch acc 0.9292
20:21:16.022   Training iter 150, batch loss 1.3720, batch acc 0.9346
20:21:16.329   Training iter 200, batch loss 1.2705, batch acc 0.9404
20:21:16.615   Training iter 250, batch loss 1.0965, batch acc 0.9434
20:21:16.928   Training iter 300, batch loss 1.1842, batch acc 0.9406
20:21:17.210   Training iter 350, batch loss 1.2357, batch acc 0.9390
20:21:17.486   Training iter 400, batch loss 1.0990, batch acc 0.9470
20:21:17.780   Training iter 450, batch loss 0.9557, batch acc 0.9474
20:21:18.097   Training iter 500, batch loss 0.9952, batch acc 0.9476
20:21:18.454   Training iter 550, batch loss 1.0982, batch acc 0.9474
20:21:18.747   Training iter 600, batch loss 0.9965, batch acc 0.9508
20:21:18.748 Training @ 2 epoch...
20:21:19.011   Training iter 50, batch loss 0.8519, batch acc 0.9556
20:21:19.249   Training iter 100, batch loss 0.7727, batch acc 0.9598
20:21:19.532   Training iter 150, batch loss 0.8938, batch acc 0.9576
20:21:19.765   Training iter 200, batch loss 0.8753, batch acc 0.9532
20:21:20.050   Training iter 250, batch loss 0.8086, batch acc 0.9574
20:21:20.328   Training iter 300, batch loss 0.8782, batch acc 0.9548
20:21:20.657   Training iter 350, batch loss 0.8111, batch acc 0.9590
20:21:20.941   Training iter 400, batch loss 0.9764, batch acc 0.9500
20:21:21.198   Training iter 450, batch loss 0.7170, batch acc 0.9614
20:21:21.461   Training iter 500, batch loss 0.7926, batch acc 0.9594
20:21:21.754   Training iter 550, batch loss 0.6953, batch acc 0.9616
20:21:21.995   Training iter 600, batch loss 0.7578, batch acc 0.9580
20:21:21.996 Training @ 3 epoch...
20:21:22.261   Training iter 50, batch loss 0.5576, batch acc 0.9674
20:21:22.503   Training iter 100, batch loss 0.6678, batch acc 0.9628
20:21:22.757   Training iter 150, batch loss 0.6584, batch acc 0.9626
20:21:22.973   Training iter 200, batch loss 0.6831, batch acc 0.9654
20:21:23.239   Training iter 250, batch loss 0.7035, batch acc 0.9638
20:21:23.519   Training iter 300, batch loss 0.6372, batch acc 0.9656
20:21:23.811   Training iter 350, batch loss 0.5832, batch acc 0.9676
20:21:24.102   Training iter 400, batch loss 0.5666, batch acc 0.9678
20:21:24.417   Training iter 450, batch loss 0.5825, batch acc 0.9662
20:21:24.693   Training iter 500, batch loss 0.6279, batch acc 0.9694
20:21:24.977   Training iter 550, batch loss 0.5649, batch acc 0.9664
20:21:25.212   Training iter 600, batch loss 0.5366, batch acc 0.9688
20:21:25.212 Training @ 4 epoch...
20:21:25.478   Training iter 50, batch loss 0.4377, batch acc 0.9702
20:21:25.761   Training iter 100, batch loss 0.5063, batch acc 0.9696
20:21:26.009   Training iter 150, batch loss 0.5219, batch acc 0.9714
20:21:26.312   Training iter 200, batch loss 0.4782, batch acc 0.9718
20:21:26.606   Training iter 250, batch loss 0.5662, batch acc 0.9660
20:21:26.933   Training iter 300, batch loss 0.5124, batch acc 0.9682
20:21:27.221   Training iter 350, batch loss 0.5379, batch acc 0.9692
20:21:27.488   Training iter 400, batch loss 0.4527, batch acc 0.9772
20:21:27.748   Training iter 450, batch loss 0.4875, batch acc 0.9746
20:21:28.075   Training iter 500, batch loss 0.4183, batch acc 0.9758
20:21:28.419   Training iter 550, batch loss 0.5322, batch acc 0.9712
20:21:28.748   Training iter 600, batch loss 0.4668, batch acc 0.9724
20:21:28.750 Training @ 5 epoch...
20:21:29.099   Training iter 50, batch loss 0.3944, batch acc 0.9760
20:21:29.435   Training iter 100, batch loss 0.4153, batch acc 0.9734
