2023-10-07 20:29:50,378 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Configure stats pid to 19317
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Loading settings from /Users/wangjuanli/.config/wandb/settings
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Loading settings from /Users/wangjuanli/Codefield/2023Fall/ANN/HW1/codes/wandb/settings
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_mlp.py', 'program_abspath': '/Users/wangjuanli/Codefield/2023Fall/ANN/HW1/codes/run_mlp.py', 'program': '/Users/wangjuanli/Codefield/2023Fall/ANN/HW1/codes/run_mlp.py'}
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_init.py:_log_setup():528] Logging user logs to /Users/wangjuanli/Codefield/2023Fall/ANN/HW1/codes/wandb/run-20231007_202950-icjzcsux/logs/debug.log
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/wangjuanli/Codefield/2023Fall/ANN/HW1/codes/wandb/run-20231007_202950-icjzcsux/logs/debug-internal.log
2023-10-07 20:29:50,379 INFO    MainThread:19317 [wandb_init.py:init():568] calling init triggers
2023-10-07 20:29:50,380 INFO    MainThread:19317 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'name': 'Gelu_Focal', 'activation': 'Gelu', 'loss': 'FocalLoss', 'learning_rate': 0.01, 'weight_decay': 0.0005, 'momentum': 0.9, 'batch_size': 100, 'max_epoch': 100, 'disp_freq': 50, 'test_epoch': 5, 'hiddenlayers': 2}
2023-10-07 20:29:50,380 INFO    MainThread:19317 [wandb_init.py:init():618] starting backend
2023-10-07 20:29:50,380 INFO    MainThread:19317 [wandb_init.py:init():622] setting up manager
2023-10-07 20:29:50,382 INFO    MainThread:19317 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-07 20:29:50,385 INFO    MainThread:19317 [wandb_init.py:init():628] backend started and connected
2023-10-07 20:29:50,390 INFO    MainThread:19317 [wandb_init.py:init():720] updated telemetry
2023-10-07 20:29:50,391 INFO    MainThread:19317 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-07 20:29:51,963 INFO    MainThread:19317 [wandb_run.py:_on_init():2220] communicating current version
2023-10-07 20:29:53,145 INFO    MainThread:19317 [wandb_run.py:_on_init():2229] got version response 
2023-10-07 20:29:53,145 INFO    MainThread:19317 [wandb_init.py:init():804] starting run threads in backend
2023-10-07 20:29:54,724 INFO    MainThread:19317 [wandb_run.py:_console_start():2199] atexit reg
2023-10-07 20:29:54,724 INFO    MainThread:19317 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-07 20:29:54,724 INFO    MainThread:19317 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-07 20:29:54,724 INFO    MainThread:19317 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-07 20:29:54,724 INFO    MainThread:19317 [wandb_init.py:init():845] run started, returning control to user process
2023-10-07 20:37:23,246 INFO    MainThread:19317 [wandb_run.py:_finish():1934] finishing run ltnsxdxd/ANN-hw1/icjzcsux
2023-10-07 20:37:23,247 INFO    MainThread:19317 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-07 20:37:23,248 INFO    MainThread:19317 [wandb_run.py:_restore():2151] restore
2023-10-07 20:37:23,248 INFO    MainThread:19317 [wandb_run.py:_restore():2157] restore done
2023-10-07 20:37:34,115 INFO    MainThread:19317 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-07 20:37:34,119 INFO    MainThread:19317 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-07 20:37:34,129 INFO    MainThread:19317 [wandb_run.py:_footer_sync_info():3558] logging synced files
