20:37:43.263 Training @ 0 epoch...
20:37:43.563   Training iter 50, batch loss 0.9145, batch acc 0.1110
20:37:43.804   Training iter 100, batch loss 0.8959, batch acc 0.1630
20:37:44.097   Training iter 150, batch loss 0.8686, batch acc 0.3368
20:37:44.345   Training iter 200, batch loss 0.7353, batch acc 0.4404
20:37:44.660   Training iter 250, batch loss 0.6210, batch acc 0.5840
20:37:45.016   Training iter 300, batch loss 0.5220, batch acc 0.7126
20:37:45.326   Training iter 350, batch loss 0.4507, batch acc 0.7416
20:37:45.758   Training iter 400, batch loss 0.3785, batch acc 0.7872
20:37:46.335   Training iter 450, batch loss 0.3308, batch acc 0.8384
20:37:46.598   Training iter 500, batch loss 0.2845, batch acc 0.8758
20:37:46.862   Training iter 550, batch loss 0.2440, batch acc 0.8948
20:37:47.053   Training iter 600, batch loss 0.2166, batch acc 0.9000
20:37:47.053 Testing @ 0 epoch...
20:37:47.169     Testing, total mean loss 0.20586, total acc 0.90490
20:37:47.169 Training @ 1 epoch...
20:37:47.417   Training iter 50, batch loss 0.2064, batch acc 0.9044
20:37:47.614   Training iter 100, batch loss 0.2012, batch acc 0.9066
20:37:47.917   Training iter 150, batch loss 0.1872, batch acc 0.9120
20:37:48.226   Training iter 200, batch loss 0.1854, batch acc 0.9140
20:37:48.476   Training iter 250, batch loss 0.1686, batch acc 0.9190
20:37:48.710   Training iter 300, batch loss 0.1633, batch acc 0.9250
20:37:48.928   Training iter 350, batch loss 0.1524, batch acc 0.9312
20:37:49.128   Training iter 400, batch loss 0.1527, batch acc 0.9314
20:37:49.284   Training iter 450, batch loss 0.1554, batch acc 0.9260
20:37:49.506   Training iter 500, batch loss 0.1500, batch acc 0.9274
20:37:49.706   Training iter 550, batch loss 0.1351, batch acc 0.9370
20:37:49.958   Training iter 600, batch loss 0.1387, batch acc 0.9342
20:37:49.960 Training @ 2 epoch...
20:37:50.197   Training iter 50, batch loss 0.1342, batch acc 0.9356
20:37:50.449   Training iter 100, batch loss 0.1271, batch acc 0.9418
20:37:50.716   Training iter 150, batch loss 0.1230, batch acc 0.9466
20:37:50.918   Training iter 200, batch loss 0.1234, batch acc 0.9392
20:37:51.109   Training iter 250, batch loss 0.1221, batch acc 0.9436
20:37:51.324   Training iter 300, batch loss 0.1142, batch acc 0.9478
20:37:51.516   Training iter 350, batch loss 0.1143, batch acc 0.9462
20:37:51.686   Training iter 400, batch loss 0.1114, batch acc 0.9494
20:37:51.873   Training iter 450, batch loss 0.1096, batch acc 0.9488
20:37:52.076   Training iter 500, batch loss 0.1057, batch acc 0.9536
20:37:52.393   Training iter 550, batch loss 0.1034, batch acc 0.9542
20:37:52.704   Training iter 600, batch loss 0.0988, batch acc 0.9562
20:37:52.704 Training @ 3 epoch...
20:37:53.420   Training iter 50, batch loss 0.1014, batch acc 0.9544
20:37:53.712   Training iter 100, batch loss 0.0945, batch acc 0.9588
20:37:53.914   Training iter 150, batch loss 0.0938, batch acc 0.9586
20:37:54.115   Training iter 200, batch loss 0.0898, batch acc 0.9614
20:37:54.327   Training iter 250, batch loss 0.0912, batch acc 0.9596
20:37:54.505   Training iter 300, batch loss 0.0939, batch acc 0.9560
20:37:54.679   Training iter 350, batch loss 0.0903, batch acc 0.9590
20:37:54.856   Training iter 400, batch loss 0.0942, batch acc 0.9580
20:37:55.040   Training iter 450, batch loss 0.0917, batch acc 0.9552
20:37:55.222   Training iter 500, batch loss 0.0835, batch acc 0.9662
20:37:55.498   Training iter 550, batch loss 0.0805, batch acc 0.9664
20:37:55.731   Training iter 600, batch loss 0.0848, batch acc 0.9662
20:37:55.732 Training @ 4 epoch...
20:37:56.068   Training iter 50, batch loss 0.0807, batch acc 0.9664
20:37:56.616   Training iter 100, batch loss 0.0761, batch acc 0.9680
20:37:56.901   Training iter 150, batch loss 0.0774, batch acc 0.9670
20:37:57.167   Training iter 200, batch loss 0.0772, batch acc 0.9648
20:37:57.413   Training iter 250, batch loss 0.0746, batch acc 0.9710
20:37:57.623   Training iter 300, batch loss 0.0827, batch acc 0.9632
20:37:57.834   Training iter 350, batch loss 0.0795, batch acc 0.9676
20:37:58.070   Training iter 400, batch loss 0.0747, batch acc 0.9684
20:37:58.252   Training iter 450, batch loss 0.0736, batch acc 0.9666
20:37:58.499   Training iter 500, batch loss 0.0725, batch acc 0.9710
20:37:58.896   Training iter 550, batch loss 0.0780, batch acc 0.9668
20:37:59.110   Training iter 600, batch loss 0.0715, batch acc 0.9696
20:37:59.111 Training @ 5 epoch...
20:37:59.481   Training iter 50, batch loss 0.0658, batch acc 0.9756
20:37:59.702   Training iter 100, batch loss 0.0685, batch acc 0.9720
20:37:59.981   Training iter 150, batch loss 0.0690, batch acc 0.9712
20:38:00.296   Training iter 200, batch loss 0.0662, batch acc 0.9732
20:38:00.572   Training iter 250, batch loss 0.0620, batch acc 0.9776
20:38:00.953   Training iter 300, batch loss 0.0707, batch acc 0.9700
20:38:01.211   Training iter 350, batch loss 0.0715, batch acc 0.9686
20:38:01.646   Training iter 400, batch loss 0.0675, batch acc 0.9728
20:38:01.920   Training iter 450, batch loss 0.0695, batch acc 0.9704
20:38:02.227   Training iter 500, batch loss 0.0703, batch acc 0.9698
20:38:02.506   Training iter 550, batch loss 0.0658, batch acc 0.9736
20:38:02.692   Training iter 600, batch loss 0.0663, batch acc 0.9722
20:38:02.694 Testing @ 5 epoch...
20:38:02.793     Testing, total mean loss 0.06770, total acc 0.97110
20:38:02.793 Training @ 6 epoch...
20:38:03.047   Training iter 50, batch loss 0.0615, batch acc 0.9748
20:38:03.250   Training iter 100, batch loss 0.0583, batch acc 0.9768
20:38:03.477   Training iter 150, batch loss 0.0642, batch acc 0.9720
20:38:03.680   Training iter 200, batch loss 0.0599, batch acc 0.9778
20:38:04.047   Training iter 250, batch loss 0.0597, batch acc 0.9752
20:38:04.263   Training iter 300, batch loss 0.0623, batch acc 0.9754
20:38:04.523   Training iter 350, batch loss 0.0617, batch acc 0.9768
20:38:04.846   Training iter 400, batch loss 0.0589, batch acc 0.9784
20:38:05.729   Training iter 450, batch loss 0.0626, batch acc 0.9732
20:38:05.976   Training iter 500, batch loss 0.0568, batch acc 0.9780
20:38:06.282   Training iter 550, batch loss 0.0591, batch acc 0.9776
20:38:06.616   Training iter 600, batch loss 0.0604, batch acc 0.9754
20:38:06.617 Training @ 7 epoch...
20:38:06.856   Training iter 50, batch loss 0.0583, batch acc 0.9766
20:38:07.198   Training iter 100, batch loss 0.0527, batch acc 0.9828
20:38:07.850   Training iter 150, batch loss 0.0562, batch acc 0.9800
20:38:08.165   Training iter 200, batch loss 0.0525, batch acc 0.9802
20:38:08.437   Training iter 250, batch loss 0.0577, batch acc 0.9778
20:38:08.864   Training iter 300, batch loss 0.0555, batch acc 0.9794
20:38:09.146   Training iter 350, batch loss 0.0558, batch acc 0.9782
20:38:09.339   Training iter 400, batch loss 0.0555, batch acc 0.9804
20:38:11.565   Training iter 50, batch loss 0.0519, batch acc 0.98286
20:38:10.377   Training iter 500, batch loss 0.0598, batch acc 0.9760
20:38:10.875   Training iter 550, batch loss 0.0562, batch acc 0.9790
20:38:11.351   Training iter 600, batch loss 0.0565, batch acc 0.9802
20:38:11.351 Training @ 8 epoch...
20:38:11.565   Training iter 50, batch loss 0.0519, batch acc 0.98286
20:38:11.770   Training iter 100, batch loss 0.0549, batch acc 0.9786
20:38:11.970   Training iter 150, batch loss 0.0512, batch acc 0.9818
20:38:12.170   Training iter 200, batch loss 0.0526, batch acc 0.9816
20:38:12.365   Training iter 250, batch loss 0.0532, batch acc 0.9814
20:38:12.556   Training iter 300, batch loss 0.0570, batch acc 0.9772
20:38:12.725   Training iter 350, batch loss 0.0520, batch acc 0.9824
20:38:12.929   Training iter 400, batch loss 0.0528, batch acc 0.9816
20:38:13.646   Training iter 450, batch loss 0.0483, batch acc 0.9826
20:38:14.100   Training iter 500, batch loss 0.0536, batch acc 0.9800
20:38:14.407   Training iter 550, batch loss 0.0482, batch acc 0.9840
20:38:14.640   Training iter 600, batch loss 0.0559, batch acc 0.9780
20:38:14.640 Training @ 9 epoch...
20:38:14.902   Training iter 50, batch loss 0.0501, batch acc 0.9816
20:38:15.184   Training iter 100, batch loss 0.0497, batch acc 0.9830
20:38:15.380   Training iter 150, batch loss 0.0521, batch acc 0.9798
20:38:15.576   Training iter 200, batch loss 0.0495, batch acc 0.9832
20:38:15.859   Training iter 250, batch loss 0.0487, batch acc 0.9832
20:38:16.094   Training iter 300, batch loss 0.0510, batch acc 0.9808
20:38:16.314   Training iter 350, batch loss 0.0472, batch acc 0.9830
20:38:16.648   Training iter 400, batch loss 0.0444, batch acc 0.9862
20:38:16.862   Training iter 450, batch loss 0.0509, batch acc 0.9804
20:38:17.134   Training iter 500, batch loss 0.0466, batch acc 0.9840
20:38:17.385   Training iter 550, batch loss 0.0482, batch acc 0.9816
20:38:17.585   Training iter 600, batch loss 0.0513, batch acc 0.9808
20:38:17.587 Training @ 10 epoch...
20:38:18.022   Training iter 50, batch loss 0.0452, batch acc 0.9862
20:38:18.435   Training iter 100, batch loss 0.0462, batch acc 0.9838
20:38:18.714   Training iter 150, batch loss 0.0428, batch acc 0.9878
20:38:18.987   Training iter 200, batch loss 0.0437, batch acc 0.9844
20:38:19.305   Training iter 250, batch loss 0.0435, batch acc 0.9858
20:38:19.593   Training iter 300, batch loss 0.0472, batch acc 0.9844
20:38:19.922   Training iter 350, batch loss 0.0498, batch acc 0.9826
20:38:20.202   Training iter 400, batch loss 0.0491, batch acc 0.9816
20:38:20.428   Training iter 450, batch loss 0.0489, batch acc 0.9804
20:38:20.847   Training iter 500, batch loss 0.0498, batch acc 0.9820
20:38:21.193   Training iter 550, batch loss 0.0465, batch acc 0.9826
20:38:21.456   Training iter 600, batch loss 0.0443, batch acc 0.9852
20:38:21.457 Testing @ 10 epoch...
20:38:21.595     Testing, total mean loss 0.05241, total acc 0.97660
20:38:21.595 Training @ 11 epoch...
20:38:21.826   Training iter 50, batch loss 0.0458, batch acc 0.9830
20:38:22.036   Training iter 100, batch loss 0.0428, batch acc 0.9854
20:38:22.303   Training iter 150, batch loss 0.0428, batch acc 0.9846
20:38:22.568   Training iter 200, batch loss 0.0466, batch acc 0.9838
20:38:22.890   Training iter 250, batch loss 0.0443, batch acc 0.9868
20:38:23.187   Training iter 300, batch loss 0.0442, batch acc 0.9872
20:38:23.368   Training iter 350, batch loss 0.0449, batch acc 0.9842
20:38:23.587   Training iter 400, batch loss 0.0477, batch acc 0.9822
20:38:23.809   Training iter 450, batch loss 0.0421, batch acc 0.9862
20:38:24.064   Training iter 500, batch loss 0.0434, batch acc 0.9856
20:38:24.286   Training iter 550, batch loss 0.0426, batch acc 0.9856
20:38:24.542   Training iter 600, batch loss 0.0456, batch acc 0.9858
20:38:24.543 Training @ 12 epoch...
20:38:24.850   Training iter 50, batch loss 0.0408, batch acc 0.9860
20:38:25.089   Training iter 100, batch loss 0.0420, batch acc 0.9862
20:38:25.365   Training iter 150, batch loss 0.0414, batch acc 0.9874
20:38:25.594   Training iter 200, batch loss 0.0414, batch acc 0.9860
20:38:25.841   Training iter 250, batch loss 0.0429, batch acc 0.9868
20:38:26.117   Training iter 300, batch loss 0.0403, batch acc 0.9860
20:38:26.354   Training iter 350, batch loss 0.0408, batch acc 0.9866
20:38:26.577   Training iter 400, batch loss 0.0427, batch acc 0.9836
20:38:26.922   Training iter 450, batch loss 0.0431, batch acc 0.9868
20:38:27.280   Training iter 500, batch loss 0.0427, batch acc 0.9850
20:38:27.665   Training iter 550, batch loss 0.0435, batch acc 0.9840
20:38:27.873   Training iter 600, batch loss 0.0423, batch acc 0.9866
20:38:27.874 Training @ 13 epoch...
20:38:28.126   Training iter 50, batch loss 0.0374, batch acc 0.9886
20:38:28.373   Training iter 100, batch loss 0.0375, batch acc 0.9884
20:38:28.607   Training iter 150, batch loss 0.0424, batch acc 0.9850
20:38:28.863   Training iter 200, batch loss 0.0431, batch acc 0.9854
20:38:29.066   Training iter 250, batch loss 0.0370, batch acc 0.9900
20:38:29.264   Training iter 300, batch loss 0.0383, batch acc 0.9874
20:38:29.629   Training iter 350, batch loss 0.0428, batch acc 0.9852
20:38:29.946   Training iter 400, batch loss 0.0402, batch acc 0.9868
20:38:30.289   Training iter 450, batch loss 0.0393, batch acc 0.9882
20:38:30.576   Training iter 500, batch loss 0.0452, batch acc 0.9832
20:38:30.861   Training iter 550, batch loss 0.0426, batch acc 0.9852
20:38:31.168   Training iter 600, batch loss 0.0382, batch acc 0.9878
20:38:31.169 Training @ 14 epoch...
20:38:31.448   Training iter 50, batch loss 0.0350, batch acc 0.9902
20:38:31.733   Training iter 100, batch loss 0.0380, batch acc 0.9890
20:38:32.027   Training iter 150, batch loss 0.0357, batch acc 0.9882
20:38:32.267   Training iter 200, batch loss 0.0376, batch acc 0.9894
20:38:32.496   Training iter 250, batch loss 0.0399, batch acc 0.9854
20:38:32.725   Training iter 300, batch loss 0.0406, batch acc 0.9856
20:38:32.963   Training iter 350, batch loss 0.0384, batch acc 0.9888
20:38:33.519   Training iter 400, batch loss 0.0367, batch acc 0.9892
20:38:33.939   Training iter 450, batch loss 0.0393, batch acc 0.9858
20:38:34.220   Training iter 500, batch loss 0.0392, batch acc 0.9866
20:38:34.462   Training iter 550, batch loss 0.0368, batch acc 0.9878
20:38:34.721   Training iter 600, batch loss 0.0419, batch acc 0.9838
20:38:34.721 Training @ 15 epoch...
20:38:34.946   Training iter 50, batch loss 0.0375, batch acc 0.9878
20:38:35.166   Training iter 100, batch loss 0.0351, batch acc 0.9884
20:38:35.392   Training iter 150, batch loss 0.0372, batch acc 0.9878
20:38:35.602   Training iter 200, batch loss 0.0357, batch acc 0.9890
20:38:35.884   Training iter 250, batch loss 0.0368, batch acc 0.9888
20:38:36.103   Training iter 300, batch loss 0.0384, batch acc 0.9866
20:38:36.330   Training iter 350, batch loss 0.0342, batch acc 0.9904
