20:49:42.553 Training @ 0 epoch...
20:49:42.839   Training iter 50, batch loss 44.1415, batch acc 0.1140
20:49:43.011   Training iter 100, batch loss 16.8289, batch acc 0.4518
20:49:43.220   Training iter 150, batch loss 5.8298, batch acc 0.7476
20:49:43.446   Training iter 200, batch loss 3.8697, batch acc 0.8380
20:49:43.645   Training iter 250, batch loss 2.9025, batch acc 0.8754
20:49:43.866   Training iter 300, batch loss 2.7353, batch acc 0.8818
20:49:44.060   Training iter 350, batch loss 2.5020, batch acc 0.8838
20:49:44.273   Training iter 400, batch loss 2.1200, batch acc 0.8992
20:49:44.482   Training iter 450, batch loss 1.9686, batch acc 0.9112
20:49:44.804   Training iter 500, batch loss 1.9525, batch acc 0.9102
20:49:45.059   Training iter 550, batch loss 1.8607, batch acc 0.9122
20:49:45.314   Training iter 600, batch loss 1.6236, batch acc 0.9250
20:49:45.316 Testing @ 0 epoch...
20:49:45.416     Testing, total mean loss 1.36961, total acc 0.93420
20:49:45.416 Training @ 1 epoch...
20:49:45.801   Training iter 50, batch loss 1.5538, batch acc 0.9274
20:49:46.228   Training iter 100, batch loss 1.2406, batch acc 0.9390
20:49:46.597   Training iter 150, batch loss 1.3339, batch acc 0.9352
20:49:46.855   Training iter 200, batch loss 1.3490, batch acc 0.9364
20:49:47.099   Training iter 250, batch loss 1.5197, batch acc 0.9290
20:49:47.445   Training iter 300, batch loss 1.1827, batch acc 0.9356
20:49:47.670   Training iter 350, batch loss 1.2351, batch acc 0.9384
20:49:47.960   Training iter 400, batch loss 1.2970, batch acc 0.9350
20:49:48.266   Training iter 450, batch loss 1.2934, batch acc 0.9390
20:49:48.646   Training iter 500, batch loss 0.9912, batch acc 0.9506
20:49:49.001   Training iter 550, batch loss 1.1182, batch acc 0.9450
20:49:49.309   Training iter 600, batch loss 1.0209, batch acc 0.9464
20:49:49.310 Training @ 2 epoch...
20:49:49.588   Training iter 50, batch loss 0.9446, batch acc 0.9502
20:49:49.922   Training iter 100, batch loss 0.9166, batch acc 0.9530
20:49:50.209   Training iter 150, batch loss 0.9400, batch acc 0.9538
20:49:50.431   Training iter 200, batch loss 0.9260, batch acc 0.9528
20:49:50.758   Training iter 250, batch loss 0.9702, batch acc 0.9518
20:49:50.935   Training iter 300, batch loss 0.8266, batch acc 0.9566
20:49:51.153   Training iter 350, batch loss 0.7944, batch acc 0.9584
20:49:51.451   Training iter 400, batch loss 0.9474, batch acc 0.9514
20:49:51.603   Training iter 450, batch loss 0.8740, batch acc 0.9506
20:49:51.817   Training iter 500, batch loss 0.8345, batch acc 0.9556
20:49:52.022   Training iter 550, batch loss 0.9379, batch acc 0.9550
20:49:52.274   Training iter 600, batch loss 0.9056, batch acc 0.9516
20:49:52.276 Training @ 3 epoch...
20:49:52.596   Training iter 50, batch loss 0.7033, batch acc 0.9594
20:49:52.939   Training iter 100, batch loss 0.5668, batch acc 0.9662
20:49:53.197   Training iter 150, batch loss 0.8038, batch acc 0.9564
20:49:53.601   Training iter 200, batch loss 0.7308, batch acc 0.9630
20:49:53.875   Training iter 250, batch loss 0.8357, batch acc 0.9582
20:49:54.141   Training iter 300, batch loss 0.7429, batch acc 0.9628
20:49:54.623   Training iter 350, batch loss 0.6335, batch acc 0.9626
20:49:54.909   Training iter 400, batch loss 0.7325, batch acc 0.9642
20:49:55.199   Training iter 450, batch loss 0.7321, batch acc 0.9634
20:49:55.379   Training iter 500, batch loss 0.7245, batch acc 0.9626
20:49:55.594   Training iter 550, batch loss 0.8137, batch acc 0.9562
20:49:55.834   Training iter 600, batch loss 0.7608, batch acc 0.9608
20:49:55.836 Training @ 4 epoch...
