22:03:16.072 Training @ 0 epoch...
22:03:16.185   Training iter 50, batch loss 2.2676, batch acc 0.1630
22:03:16.271   Training iter 100, batch loss 1.7774, batch acc 0.4978
22:03:16.359   Training iter 150, batch loss 0.9166, batch acc 0.7634
22:03:16.444   Training iter 200, batch loss 0.6131, batch acc 0.8276
22:03:16.530   Training iter 250, batch loss 0.5007, batch acc 0.8610
22:03:16.610   Training iter 300, batch loss 0.4645, batch acc 0.8704
22:03:16.734   Training iter 350, batch loss 0.4427, batch acc 0.8752
22:03:16.858   Training iter 400, batch loss 0.4169, batch acc 0.8828
22:03:16.966   Training iter 450, batch loss 0.3890, batch acc 0.8944
22:03:17.055   Training iter 500, batch loss 0.3693, batch acc 0.8948
22:03:17.140   Training iter 550, batch loss 0.3871, batch acc 0.8920
22:03:17.241   Training iter 600, batch loss 0.3544, batch acc 0.8998
22:03:17.241 Testing @ 0 epoch...
22:03:17.309     Testing, total mean loss 0.33348, total acc 0.90690
22:03:17.309 Training @ 1 epoch...
22:03:17.398   Training iter 50, batch loss 0.3614, batch acc 0.8962
22:03:17.518   Training iter 100, batch loss 0.3459, batch acc 0.9022
22:03:17.624   Training iter 150, batch loss 0.3307, batch acc 0.9026
22:03:17.715   Training iter 200, batch loss 0.3237, batch acc 0.9138
22:03:17.812   Training iter 250, batch loss 0.3324, batch acc 0.9056
22:03:17.936   Training iter 300, batch loss 0.3162, batch acc 0.9100
22:03:18.031   Training iter 350, batch loss 0.3335, batch acc 0.9034
22:03:18.141   Training iter 400, batch loss 0.3243, batch acc 0.9152
22:03:18.232   Training iter 450, batch loss 0.3128, batch acc 0.9060
22:03:18.321   Training iter 500, batch loss 0.2978, batch acc 0.9192
22:03:18.410   Training iter 550, batch loss 0.3106, batch acc 0.9116
22:03:18.506   Training iter 600, batch loss 0.3337, batch acc 0.9038
22:03:18.506 Training @ 2 epoch...
22:03:18.590   Training iter 50, batch loss 0.3153, batch acc 0.9112
22:03:18.698   Training iter 100, batch loss 0.2826, batch acc 0.9204
22:03:18.791   Training iter 150, batch loss 0.2998, batch acc 0.9126
22:03:18.902   Training iter 200, batch loss 0.3129, batch acc 0.9138
22:03:18.998   Training iter 250, batch loss 0.3053, batch acc 0.9070
22:03:19.086   Training iter 300, batch loss 0.2828, batch acc 0.9234
22:03:19.167   Training iter 350, batch loss 0.2748, batch acc 0.9250
22:03:19.313   Training iter 400, batch loss 0.2788, batch acc 0.9240
22:03:19.396   Training iter 450, batch loss 0.2714, batch acc 0.9274
22:03:19.484   Training iter 500, batch loss 0.2761, batch acc 0.9270
22:03:19.596   Training iter 550, batch loss 0.2734, batch acc 0.9218
22:03:19.685   Training iter 600, batch loss 0.2567, batch acc 0.9280
22:03:19.687 Training @ 3 epoch...
22:03:19.759   Training iter 50, batch loss 0.2577, batch acc 0.9252
22:03:19.852   Training iter 100, batch loss 0.2656, batch acc 0.9240
22:03:19.973   Training iter 150, batch loss 0.2694, batch acc 0.9278
22:03:20.067   Training iter 200, batch loss 0.2706, batch acc 0.9296
22:03:20.183   Training iter 250, batch loss 0.2535, batch acc 0.9326
22:03:20.272   Training iter 300, batch loss 0.2420, batch acc 0.9326
