22:05:54.355 Training @ 0 epoch...
22:05:54.480   Training iter 50, batch loss 2.2617, batch acc 0.2522
22:05:54.550   Training iter 100, batch loss 1.7319, batch acc 0.5428
22:05:54.636   Training iter 150, batch loss 0.9041, batch acc 0.7606
22:05:54.728   Training iter 200, batch loss 0.6265, batch acc 0.8270
22:05:54.812   Training iter 250, batch loss 0.5003, batch acc 0.8652
22:05:54.908   Training iter 300, batch loss 0.4749, batch acc 0.8734
22:05:55.006   Training iter 350, batch loss 0.4559, batch acc 0.8768
22:05:55.097   Training iter 400, batch loss 0.4251, batch acc 0.8844
22:05:55.177   Training iter 450, batch loss 0.4131, batch acc 0.8880
22:05:55.266   Training iter 500, batch loss 0.3987, batch acc 0.8910
22:05:55.362   Training iter 550, batch loss 0.4046, batch acc 0.8878
22:05:55.448   Training iter 600, batch loss 0.3917, batch acc 0.8926
22:05:55.449 Testing @ 0 epoch...
22:05:55.543     Testing, total mean loss 0.36265, total acc 0.90170
22:05:55.543 Training @ 1 epoch...
22:05:55.639   Training iter 50, batch loss 0.3837, batch acc 0.8972
22:05:55.763   Training iter 100, batch loss 0.3640, batch acc 0.9036
22:05:55.877   Training iter 150, batch loss 0.3620, batch acc 0.9002
22:05:56.049   Training iter 200, batch loss 0.3760, batch acc 0.8990
22:05:56.172   Training iter 250, batch loss 0.3570, batch acc 0.9038
22:05:56.266   Training iter 300, batch loss 0.3568, batch acc 0.9036
22:05:56.390   Training iter 350, batch loss 0.3665, batch acc 0.9004
22:05:56.459   Training iter 400, batch loss 0.3530, batch acc 0.9076
22:05:56.547   Training iter 450, batch loss 0.3444, batch acc 0.9042
22:05:56.630   Training iter 500, batch loss 0.3536, batch acc 0.8976
22:05:56.713   Training iter 550, batch loss 0.3378, batch acc 0.9068
22:05:56.804   Training iter 600, batch loss 0.3486, batch acc 0.9078
22:05:56.805 Training @ 2 epoch...
22:05:56.889   Training iter 50, batch loss 0.3412, batch acc 0.9052
22:05:56.979   Training iter 100, batch loss 0.3368, batch acc 0.9074
22:05:57.076   Training iter 150, batch loss 0.3540, batch acc 0.9078
22:05:57.163   Training iter 200, batch loss 0.3237, batch acc 0.9140
22:05:57.246   Training iter 250, batch loss 0.3296, batch acc 0.9106
22:05:57.327   Training iter 300, batch loss 0.3340, batch acc 0.9086
22:05:57.414   Training iter 350, batch loss 0.3156, batch acc 0.9214
22:05:57.528   Training iter 400, batch loss 0.3245, batch acc 0.9128
22:05:57.610   Training iter 450, batch loss 0.3267, batch acc 0.9104
22:05:57.694   Training iter 500, batch loss 0.3370, batch acc 0.9136
22:05:57.783   Training iter 550, batch loss 0.3221, batch acc 0.9142
22:05:57.862   Training iter 600, batch loss 0.3382, batch acc 0.9064
22:05:57.862 Training @ 3 epoch...
22:05:57.947   Training iter 50, batch loss 0.3176, batch acc 0.9168
