22:08:37.615 Training @ 0 epoch...
22:08:37.900   Training iter 50, batch loss 2.2728, batch acc 0.1690
22:08:38.049   Training iter 100, batch loss 1.9243, batch acc 0.4386
22:08:38.223   Training iter 150, batch loss 1.1470, batch acc 0.6824
22:08:38.425   Training iter 200, batch loss 0.8334, batch acc 0.7962
22:08:38.534   Training iter 250, batch loss 0.7346, batch acc 0.8120
22:08:38.692   Training iter 300, batch loss 0.6671, batch acc 0.8424
22:08:38.859   Training iter 350, batch loss 0.6318, batch acc 0.8546
22:08:38.976   Training iter 400, batch loss 0.6177, batch acc 0.8598
22:08:39.097   Training iter 450, batch loss 0.6240, batch acc 0.8646
22:08:39.357   Training iter 500, batch loss 0.6070, batch acc 0.8668
22:08:39.522   Training iter 550, batch loss 0.5846, batch acc 0.8750
22:08:39.640   Training iter 600, batch loss 0.5944, batch acc 0.8704
22:08:39.641 Testing @ 0 epoch...
22:08:39.729     Testing, total mean loss 0.57033, total acc 0.88130
22:08:39.729 Training @ 1 epoch...
22:08:39.823   Training iter 50, batch loss 0.5933, batch acc 0.8704
22:08:39.981   Training iter 100, batch loss 0.6126, batch acc 0.8634
22:08:40.078   Training iter 150, batch loss 0.5803, batch acc 0.8778
22:08:40.192   Training iter 200, batch loss 0.5801, batch acc 0.8742
22:08:40.294   Training iter 250, batch loss 0.6007, batch acc 0.8696
22:08:40.403   Training iter 300, batch loss 0.5799, batch acc 0.8758
22:08:40.510   Training iter 350, batch loss 0.5754, batch acc 0.8840
22:08:40.626   Training iter 400, batch loss 0.5830, batch acc 0.8740
22:08:40.711   Training iter 450, batch loss 0.5846, batch acc 0.8736
22:08:40.804   Training iter 500, batch loss 0.6071, batch acc 0.8586
22:08:40.891   Training iter 550, batch loss 0.5978, batch acc 0.8686
22:08:40.990   Training iter 600, batch loss 0.6005, batch acc 0.8680
22:08:40.991 Training @ 2 epoch...
22:08:41.134   Training iter 50, batch loss 0.5843, batch acc 0.8724
