22:11:28.375 Training @ 0 epoch...
22:11:28.483   Training iter 50, batch loss 2.2686, batch acc 0.1408
22:11:28.564   Training iter 100, batch loss 1.9630, batch acc 0.4070
22:11:28.659   Training iter 150, batch loss 1.3389, batch acc 0.6152
22:11:28.743   Training iter 200, batch loss 1.0623, batch acc 0.7314
22:11:28.820   Training iter 250, batch loss 0.9408, batch acc 0.7950
22:11:28.895   Training iter 300, batch loss 0.8994, batch acc 0.8020
22:11:28.979   Training iter 350, batch loss 0.8726, batch acc 0.8174
22:11:29.100   Training iter 400, batch loss 0.8717, batch acc 0.8210
22:11:29.199   Training iter 450, batch loss 0.8500, batch acc 0.8244
22:11:29.288   Training iter 500, batch loss 0.8392, batch acc 0.8288
22:11:29.371   Training iter 550, batch loss 0.8431, batch acc 0.8250
22:11:29.467   Training iter 600, batch loss 0.8351, batch acc 0.8336
22:11:29.467 Testing @ 0 epoch...
22:11:29.514     Testing, total mean loss 0.82030, total acc 0.82210
22:11:29.514 Training @ 1 epoch...
22:11:29.611   Training iter 50, batch loss 0.8398, batch acc 0.8284
22:11:29.727   Training iter 100, batch loss 0.8526, batch acc 0.8272
22:11:29.843   Training iter 150, batch loss 0.8504, batch acc 0.8204
22:11:29.949   Training iter 200, batch loss 0.8445, batch acc 0.8328
22:11:30.051   Training iter 250, batch loss 0.8449, batch acc 0.8352
22:11:30.167   Training iter 300, batch loss 0.8538, batch acc 0.8300
22:11:30.266   Training iter 350, batch loss 0.8237, batch acc 0.8362
22:11:30.359   Training iter 400, batch loss 0.8391, batch acc 0.8336
22:11:30.471   Training iter 450, batch loss 0.8394, batch acc 0.8324
22:11:30.559   Training iter 500, batch loss 0.8132, batch acc 0.8414
22:11:30.654   Training iter 550, batch loss 0.8215, batch acc 0.8342
22:11:30.741   Training iter 600, batch loss 0.8421, batch acc 0.8332
22:11:30.741 Training @ 2 epoch...
22:11:30.833   Training iter 50, batch loss 0.8434, batch acc 0.8286
22:11:31.000   Training iter 100, batch loss 0.8415, batch acc 0.8426
22:11:31.098   Training iter 150, batch loss 0.8391, batch acc 0.8326
22:11:31.197   Training iter 200, batch loss 0.8258, batch acc 0.8380
22:11:31.293   Training iter 250, batch loss 0.8467, batch acc 0.8230
22:11:31.380   Training iter 300, batch loss 0.8358, batch acc 0.8392
22:11:31.476   Training iter 350, batch loss 0.8300, batch acc 0.8436
22:11:31.559   Training iter 400, batch loss 0.8306, batch acc 0.8376
22:11:31.639   Training iter 450, batch loss 0.8538, batch acc 0.8304
22:11:31.728   Training iter 500, batch loss 0.8277, batch acc 0.8302
22:11:31.815   Training iter 550, batch loss 0.8278, batch acc 0.8458
22:11:31.902   Training iter 600, batch loss 0.8232, batch acc 0.8380
22:11:31.903 Training @ 3 epoch...
22:11:31.996   Training iter 50, batch loss 0.8368, batch acc 0.8348
22:11:32.084   Training iter 100, batch loss 0.8461, batch acc 0.8320
22:11:32.180   Training iter 150, batch loss 0.8270, batch acc 0.8366
22:11:32.254   Training iter 200, batch loss 0.8283, batch acc 0.8490
22:11:32.340   Training iter 250, batch loss 0.8359, batch acc 0.8378
22:11:32.431   Training iter 300, batch loss 0.8402, batch acc 0.8298
22:11:32.536   Training iter 350, batch loss 0.8326, batch acc 0.8316
22:11:32.650   Training iter 400, batch loss 0.8347, batch acc 0.8360
22:11:32.763   Training iter 450, batch loss 0.8264, batch acc 0.8418
22:11:32.863   Training iter 500, batch loss 0.8336, batch acc 0.8424
22:11:32.980   Training iter 550, batch loss 0.8445, batch acc 0.8328
22:11:33.095   Training iter 600, batch loss 0.8330, batch acc 0.8328
22:11:33.095 Training @ 4 epoch...
22:11:33.260   Training iter 50, batch loss 0.8260, batch acc 0.8384
22:11:33.349   Training iter 100, batch loss 0.8340, batch acc 0.8404
22:11:33.428   Training iter 150, batch loss 0.8198, batch acc 0.8422
22:11:33.505   Training iter 200, batch loss 0.8423, batch acc 0.8280
22:11:33.595   Training iter 250, batch loss 0.8437, batch acc 0.8406
22:11:33.682   Training iter 300, batch loss 0.8299, batch acc 0.8356
22:11:33.772   Training iter 350, batch loss 0.8406, batch acc 0.8282
22:11:33.860   Training iter 400, batch loss 0.8389, batch acc 0.8328
22:11:33.944   Training iter 450, batch loss 0.8295, batch acc 0.8344
22:11:34.029   Training iter 500, batch loss 0.8223, batch acc 0.8462
22:11:34.111   Training iter 550, batch loss 0.8428, batch acc 0.8318
22:11:34.201   Training iter 600, batch loss 0.8263, batch acc 0.8436
22:11:34.202 Training @ 5 epoch...
22:11:34.297   Training iter 50, batch loss 0.8339, batch acc 0.8288
22:11:34.401   Training iter 100, batch loss 0.8351, batch acc 0.8420
22:11:34.480   Training iter 150, batch loss 0.8366, batch acc 0.8370
22:11:34.566   Training iter 200, batch loss 0.8247, batch acc 0.8332
22:11:34.654   Training iter 250, batch loss 0.8381, batch acc 0.8348
22:11:34.744   Training iter 300, batch loss 0.8400, batch acc 0.8378
22:11:34.834   Training iter 350, batch loss 0.8274, batch acc 0.8362
22:11:34.929   Training iter 400, batch loss 0.8231, batch acc 0.8288
22:11:35.021   Training iter 450, batch loss 0.8425, batch acc 0.8344
22:11:35.101   Training iter 500, batch loss 0.8420, batch acc 0.8290
22:11:35.206   Training iter 550, batch loss 0.8357, batch acc 0.8322
22:11:35.304   Training iter 600, batch loss 0.8235, batch acc 0.8360
22:11:35.306 Testing @ 5 epoch...
22:11:35.372     Testing, total mean loss 0.81649, total acc 0.83660
22:11:35.372 Training @ 6 epoch...
22:11:35.463   Training iter 50, batch loss 0.8410, batch acc 0.8286
22:11:35.575   Training iter 100, batch loss 0.8381, batch acc 0.8346
22:11:35.680   Training iter 150, batch loss 0.8415, batch acc 0.8368
22:11:35.760   Training iter 200, batch loss 0.8342, batch acc 0.8402
22:11:35.875   Training iter 250, batch loss 0.8301, batch acc 0.8362
22:11:35.985   Training iter 300, batch loss 0.8333, batch acc 0.8310
22:11:36.087   Training iter 350, batch loss 0.8324, batch acc 0.8394
22:11:36.165   Training iter 400, batch loss 0.8290, batch acc 0.8360
22:11:36.248   Training iter 450, batch loss 0.8304, batch acc 0.8368
22:11:36.330   Training iter 500, batch loss 0.8377, batch acc 0.8342
22:11:36.429   Training iter 550, batch loss 0.8212, batch acc 0.8454
22:11:36.510   Training iter 600, batch loss 0.8188, batch acc 0.8380
22:11:36.511 Training @ 7 epoch...
22:11:36.599   Training iter 50, batch loss 0.8222, batch acc 0.8394
22:11:36.691   Training iter 100, batch loss 0.8289, batch acc 0.8366
22:11:36.777   Training iter 150, batch loss 0.8220, batch acc 0.8434
22:11:36.864   Training iter 200, batch loss 0.8168, batch acc 0.8378
22:11:36.947   Training iter 250, batch loss 0.8288, batch acc 0.8352
22:11:37.036   Training iter 300, batch loss 0.8343, batch acc 0.8330
22:11:37.133   Training iter 350, batch loss 0.8334, batch acc 0.8422
22:11:37.219   Training iter 400, batch loss 0.8264, batch acc 0.8396
22:11:37.303   Training iter 450, batch loss 0.8372, batch acc 0.8328
22:11:37.444   Training iter 500, batch loss 0.8375, batch acc 0.8384
22:11:37.578   Training iter 550, batch loss 0.8477, batch acc 0.8356
22:11:37.702   Training iter 600, batch loss 0.8317, batch acc 0.8380
22:11:37.703 Training @ 8 epoch...
22:11:37.867   Training iter 50, batch loss 0.8388, batch acc 0.8352
22:11:37.953   Training iter 100, batch loss 0.8091, batch acc 0.8498
22:11:38.060   Training iter 150, batch loss 0.8274, batch acc 0.8416
22:11:38.171   Training iter 200, batch loss 0.8376, batch acc 0.8372
22:11:38.283   Training iter 250, batch loss 0.8485, batch acc 0.8280
22:11:38.381   Training iter 300, batch loss 0.8272, batch acc 0.8428
22:11:38.475   Training iter 350, batch loss 0.8285, batch acc 0.8390
22:11:38.582   Training iter 400, batch loss 0.8326, batch acc 0.8348
22:11:38.693   Training iter 450, batch loss 0.8323, batch acc 0.8352
22:11:38.816   Training iter 500, batch loss 0.8252, batch acc 0.8376
22:11:38.899   Training iter 550, batch loss 0.8224, batch acc 0.8340
22:11:38.984   Training iter 600, batch loss 0.8232, batch acc 0.8492
22:11:38.986 Training @ 9 epoch...
22:11:39.063   Training iter 50, batch loss 0.8229, batch acc 0.8314
22:11:39.150   Training iter 100, batch loss 0.8343, batch acc 0.8430
22:11:39.235   Training iter 150, batch loss 0.8213, batch acc 0.8460
22:11:39.326   Training iter 200, batch loss 0.8255, batch acc 0.8352
22:11:39.417   Training iter 250, batch loss 0.8354, batch acc 0.8306
22:11:39.513   Training iter 300, batch loss 0.8372, batch acc 0.8324
22:11:39.592   Training iter 350, batch loss 0.8341, batch acc 0.8432
22:11:39.682   Training iter 400, batch loss 0.8317, batch acc 0.8374
22:11:39.777   Training iter 450, batch loss 0.8281, batch acc 0.8392
22:11:39.896   Training iter 500, batch loss 0.8279, batch acc 0.8382
22:11:39.965   Training iter 550, batch loss 0.8230, batch acc 0.8450
22:11:40.036   Training iter 600, batch loss 0.8418, batch acc 0.8358
22:11:40.036 Training @ 10 epoch...
22:11:40.130   Training iter 50, batch loss 0.8173, batch acc 0.8374
22:11:40.216   Training iter 100, batch loss 0.8219, batch acc 0.8446
22:11:40.297   Training iter 150, batch loss 0.8215, batch acc 0.8412
22:11:40.380   Training iter 200, batch loss 0.8436, batch acc 0.8358
22:11:40.474   Training iter 250, batch loss 0.8380, batch acc 0.8314
22:11:40.571   Training iter 300, batch loss 0.8248, batch acc 0.8398
22:11:40.664   Training iter 350, batch loss 0.8333, batch acc 0.8326
22:11:40.749   Training iter 400, batch loss 0.8408, batch acc 0.8220
22:11:40.869   Training iter 450, batch loss 0.8455, batch acc 0.8302
22:11:40.976   Training iter 500, batch loss 0.8082, batch acc 0.8450
22:11:41.081   Training iter 550, batch loss 0.8255, batch acc 0.8398
22:11:41.187   Training iter 600, batch loss 0.8455, batch acc 0.8358
22:11:41.189 Testing @ 10 epoch...
22:11:41.258     Testing, total mean loss 0.80923, total acc 0.85390
22:11:41.258 Training @ 11 epoch...
22:11:41.364   Training iter 50, batch loss 0.8154, batch acc 0.8394
22:11:41.461   Training iter 100, batch loss 0.8382, batch acc 0.8340
22:11:41.559   Training iter 150, batch loss 0.8317, batch acc 0.8318
22:11:41.677   Training iter 200, batch loss 0.8245, batch acc 0.8488
22:11:41.757   Training iter 250, batch loss 0.8280, batch acc 0.8448
22:11:41.838   Training iter 300, batch loss 0.8170, batch acc 0.8448
22:11:41.940   Training iter 350, batch loss 0.8335, batch acc 0.8340
22:11:42.032   Training iter 400, batch loss 0.8290, batch acc 0.8406
22:11:42.113   Training iter 450, batch loss 0.8570, batch acc 0.8164
22:11:42.199   Training iter 500, batch loss 0.8344, batch acc 0.8388
22:11:42.297   Training iter 550, batch loss 0.8289, batch acc 0.8340
22:11:42.381   Training iter 600, batch loss 0.8284, batch acc 0.8438
22:11:42.381 Training @ 12 epoch...
22:11:42.479   Training iter 50, batch loss 0.8402, batch acc 0.8310
22:11:42.586   Training iter 100, batch loss 0.8213, batch acc 0.8450
22:11:42.673   Training iter 150, batch loss 0.8291, batch acc 0.8300
22:11:42.761   Training iter 200, batch loss 0.8282, batch acc 0.8394
22:11:42.855   Training iter 250, batch loss 0.8420, batch acc 0.8358
22:11:42.949   Training iter 300, batch loss 0.8344, batch acc 0.8362
22:11:43.032   Training iter 350, batch loss 0.8250, batch acc 0.8432
22:11:43.114   Training iter 400, batch loss 0.8203, batch acc 0.8388
22:11:43.196   Training iter 450, batch loss 0.8264, batch acc 0.8402
22:11:43.348   Training iter 500, batch loss 0.8426, batch acc 0.8288
22:11:43.450   Training iter 550, batch loss 0.8332, batch acc 0.8358
22:11:43.552   Training iter 600, batch loss 0.8415, batch acc 0.8292
22:11:43.552 Training @ 13 epoch...
22:11:43.651   Training iter 50, batch loss 0.8152, batch acc 0.8412
22:11:43.751   Training iter 100, batch loss 0.8362, batch acc 0.8282
22:11:43.876   Training iter 150, batch loss 0.8166, batch acc 0.8444
22:11:44.001   Training iter 200, batch loss 0.8309, batch acc 0.8406
22:11:44.112   Training iter 250, batch loss 0.8212, batch acc 0.8364
22:11:44.215   Training iter 300, batch loss 0.8384, batch acc 0.8366
22:11:44.329   Training iter 350, batch loss 0.8369, batch acc 0.8336
22:11:44.450   Training iter 400, batch loss 0.8305, batch acc 0.8432
22:11:44.530   Training iter 450, batch loss 0.8357, batch acc 0.8330
22:11:44.617   Training iter 500, batch loss 0.8356, batch acc 0.8378
22:11:44.705   Training iter 550, batch loss 0.8315, batch acc 0.8418
22:11:44.792   Training iter 600, batch loss 0.8223, batch acc 0.8442
22:11:44.794 Training @ 14 epoch...
22:11:44.883   Training iter 50, batch loss 0.8366, batch acc 0.8272
22:11:44.979   Training iter 100, batch loss 0.8206, batch acc 0.8420
22:11:45.083   Training iter 150, batch loss 0.8387, batch acc 0.8308
22:11:45.179   Training iter 200, batch loss 0.8205, batch acc 0.8426
22:11:45.268   Training iter 250, batch loss 0.8372, batch acc 0.8206
22:11:45.362   Training iter 300, batch loss 0.8423, batch acc 0.8456
22:11:45.448   Training iter 350, batch loss 0.8217, batch acc 0.8392
22:11:45.532   Training iter 400, batch loss 0.8399, batch acc 0.8296
22:11:45.625   Training iter 450, batch loss 0.8231, batch acc 0.8426
22:11:45.711   Training iter 500, batch loss 0.8387, batch acc 0.8240
22:11:45.793   Training iter 550, batch loss 0.8318, batch acc 0.8334
22:11:45.877   Training iter 600, batch loss 0.8435, batch acc 0.8362
22:11:45.878 Training @ 15 epoch...
22:11:45.970   Training iter 50, batch loss 0.8359, batch acc 0.8348
22:11:46.063   Training iter 100, batch loss 0.8319, batch acc 0.8430
22:11:46.147   Training iter 150, batch loss 0.8411, batch acc 0.8332
22:11:46.233   Training iter 200, batch loss 0.8192, batch acc 0.8390
22:11:46.318   Training iter 250, batch loss 0.8382, batch acc 0.8354
22:11:46.412   Training iter 300, batch loss 0.8308, batch acc 0.8356
22:11:46.521   Training iter 350, batch loss 0.8102, batch acc 0.8494
22:11:46.633   Training iter 400, batch loss 0.8316, batch acc 0.8320
22:11:46.748   Training iter 450, batch loss 0.8317, batch acc 0.8330
22:11:46.861   Training iter 500, batch loss 0.8298, batch acc 0.8316
22:11:46.975   Training iter 550, batch loss 0.8443, batch acc 0.8344
22:11:47.093   Training iter 600, batch loss 0.8239, batch acc 0.8400
22:11:47.093 Testing @ 15 epoch...
22:11:47.182     Testing, total mean loss 0.80270, total acc 0.85060
22:11:47.182 Training @ 16 epoch...
22:11:47.269   Training iter 50, batch loss 0.8283, batch acc 0.8382
22:11:47.368   Training iter 100, batch loss 0.8354, batch acc 0.8346
22:11:47.455   Training iter 150, batch loss 0.8323, batch acc 0.8300
22:11:47.548   Training iter 200, batch loss 0.8264, batch acc 0.8382
22:11:47.642   Training iter 250, batch loss 0.8397, batch acc 0.8358
22:11:47.737   Training iter 300, batch loss 0.8252, batch acc 0.8292
22:11:47.826   Training iter 350, batch loss 0.8155, batch acc 0.8382
22:11:47.919   Training iter 400, batch loss 0.8433, batch acc 0.8300
22:11:48.020   Training iter 450, batch loss 0.8317, batch acc 0.8420
22:11:48.103   Training iter 500, batch loss 0.8276, batch acc 0.8406
22:11:48.188   Training iter 550, batch loss 0.8197, batch acc 0.8350
22:11:48.280   Training iter 600, batch loss 0.8410, batch acc 0.8334
22:11:48.281 Training @ 17 epoch...
22:11:48.367   Training iter 50, batch loss 0.8284, batch acc 0.8392
22:11:48.453   Training iter 100, batch loss 0.8297, batch acc 0.8376
22:11:48.544   Training iter 150, batch loss 0.8206, batch acc 0.8394
22:11:48.620   Training iter 200, batch loss 0.8321, batch acc 0.8302
22:11:48.718   Training iter 250, batch loss 0.8366, batch acc 0.8336
22:11:48.803   Training iter 300, batch loss 0.8316, batch acc 0.8376
22:11:48.891   Training iter 350, batch loss 0.8294, batch acc 0.8376
22:11:48.982   Training iter 400, batch loss 0.8399, batch acc 0.8356
22:11:49.068   Training iter 450, batch loss 0.8209, batch acc 0.8350
22:11:49.160   Training iter 500, batch loss 0.8295, batch acc 0.8392
22:11:49.277   Training iter 550, batch loss 0.8271, batch acc 0.8440
22:11:49.385   Training iter 600, batch loss 0.8324, batch acc 0.8356
22:11:49.386 Training @ 18 epoch...
22:11:49.486   Training iter 50, batch loss 0.8274, batch acc 0.8276
22:11:49.585   Training iter 100, batch loss 0.8356, batch acc 0.8362
22:11:49.699   Training iter 150, batch loss 0.8264, batch acc 0.8362
22:11:49.804   Training iter 200, batch loss 0.8442, batch acc 0.8270
22:11:49.927   Training iter 250, batch loss 0.8274, batch acc 0.8432
22:11:50.032   Training iter 300, batch loss 0.8256, batch acc 0.8390
22:11:50.164   Training iter 350, batch loss 0.8278, batch acc 0.8382
22:11:50.286   Training iter 400, batch loss 0.8252, batch acc 0.8416
22:11:50.433   Training iter 450, batch loss 0.8302, batch acc 0.8330
22:11:50.582   Training iter 500, batch loss 0.8378, batch acc 0.8380
22:11:50.676   Training iter 550, batch loss 0.8435, batch acc 0.8228
22:11:50.768   Training iter 600, batch loss 0.8245, batch acc 0.8400
22:11:50.768 Training @ 19 epoch...
22:11:50.863   Training iter 50, batch loss 0.8263, batch acc 0.8394
22:11:50.955   Training iter 100, batch loss 0.8337, batch acc 0.8320
22:11:51.051   Training iter 150, batch loss 0.8477, batch acc 0.8360
22:11:51.144   Training iter 200, batch loss 0.8324, batch acc 0.8362
22:11:51.241   Training iter 250, batch loss 0.8239, batch acc 0.8400
22:11:51.333   Training iter 300, batch loss 0.8234, batch acc 0.8352
22:11:51.426   Training iter 350, batch loss 0.8130, batch acc 0.8424
22:11:51.515   Training iter 400, batch loss 0.8296, batch acc 0.8364
22:11:51.618   Training iter 450, batch loss 0.8444, batch acc 0.8290
22:11:51.716   Training iter 500, batch loss 0.8399, batch acc 0.8292
22:11:51.803   Training iter 550, batch loss 0.8241, batch acc 0.8450
22:11:51.895   Training iter 600, batch loss 0.8240, batch acc 0.8346
22:11:51.897 Training @ 20 epoch...
22:11:51.987   Training iter 50, batch loss 0.8084, batch acc 0.8400
22:11:52.110   Training iter 100, batch loss 0.8133, batch acc 0.8448
22:11:52.214   Training iter 150, batch loss 0.8296, batch acc 0.8434
22:11:52.325   Training iter 200, batch loss 0.8295, batch acc 0.8368
22:11:52.447   Training iter 250, batch loss 0.8251, batch acc 0.8402
22:11:52.601   Training iter 300, batch loss 0.8468, batch acc 0.8244
22:11:52.842   Training iter 350, batch loss 0.8294, batch acc 0.8482
22:11:53.060   Training iter 400, batch loss 0.8239, batch acc 0.8324
22:11:53.266   Training iter 450, batch loss 0.8470, batch acc 0.8386
22:11:53.443   Training iter 500, batch loss 0.8552, batch acc 0.8288
22:11:53.667   Training iter 550, batch loss 0.8057, batch acc 0.8448
