"Step","cnn_dr_0.9 - test acc","cnn_dr_0.9 - test acc__MIN","cnn_dr_0.9 - test acc__MAX","cnn_dr_0.8 - test acc","cnn_dr_0.8 - test acc__MIN","cnn_dr_0.8 - test acc__MAX","cnn_dr_0.7 - test acc","cnn_dr_0.7 - test acc__MIN","cnn_dr_0.7 - test acc__MAX","cnn_dr_0.6 - test acc","cnn_dr_0.6 - test acc__MIN","cnn_dr_0.6 - test acc__MAX","cnn_dr_0.5 - test acc","cnn_dr_0.5 - test acc__MIN","cnn_dr_0.5 - test acc__MAX","cnn_dr_0.4 - test acc","cnn_dr_0.4 - test acc__MIN","cnn_dr_0.4 - test acc__MAX","cnn_dr_0.3 - test acc","cnn_dr_0.3 - test acc__MIN","cnn_dr_0.3 - test acc__MAX","cnn_dr_0.2 - test acc","cnn_dr_0.2 - test acc__MIN","cnn_dr_0.2 - test acc__MAX","cnn_dr_0.1 - test acc","cnn_dr_0.1 - test acc__MIN","cnn_dr_0.1 - test acc__MAX"
"1","0.2942999951541424","0.2942999951541424","0.2942999951541424","0.41099998891353606","0.41099998891353606","0.41099998891353606","0.44839998960495","0.44839998960495","0.44839998960495","0.498599987924099","0.498599987924099","0.498599987924099","0.4615999871492386","0.4615999871492386","0.4615999871492386","0.5012999883294106","0.5012999883294106","0.5012999883294106","0.5357999882102013","0.5357999882102013","0.5357999882102013","0.5748999878764153","0.5748999878764153","0.5748999878764153","0.5764999866485596","0.5764999866485596","0.5764999866485596"
"2","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.4450999882817268","0.4450999882817268","0.4450999882817268","0.5109999874234199","0.5109999874234199","0.5109999874234199","0.5448999851942062","0.5448999851942062","0.5448999851942062","0.5786999866366387","0.5786999866366387","0.5786999866366387","0.6188999855518341","0.6188999855518341","0.6188999855518341","0.6183999854326249","0.6183999854326249","0.6183999854326249","0.6463999819755554","0.6463999819755554","0.6463999819755554","0.6576999872922897","0.6576999872922897","0.6576999872922897"
"3","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.4707999876141548","0.4707999876141548","0.4707999876141548","0.529999985396862","0.529999985396862","0.529999985396862","0.5842999893426896","0.5842999893426896","0.5842999893426896","0.6089999878406525","0.6089999878406525","0.6089999878406525","0.6357999861240387","0.6357999861240387","0.6357999861240387","0.6523999840021133","0.6523999840021133","0.6523999840021133","0.6759999859333038","0.6759999859333038","0.6759999859333038","0.6939999842643738","0.6939999842643738","0.6939999842643738"
"4","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.4874999862909317","0.4874999862909317","0.4874999862909317","0.5453999897837639","0.5453999897837639","0.5453999897837639","0.6055999904870987","0.6055999904870987","0.6055999904870987","0.6407999849319458","0.6407999849319458","0.6407999849319458","0.6628999841213227","0.6628999841213227","0.6628999841213227","0.678599984049797","0.678599984049797","0.678599984049797","0.6794999825954438","0.6794999825954438","0.6794999825954438","0.6972999840974807","0.6972999840974807","0.6972999840974807"
"5","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.4993999868631363","0.4993999868631363","0.4993999868631363","0.5744999861717224","0.5744999861717224","0.5744999861717224","0.6283999866247177","0.6283999866247177","0.6283999866247177","0.6552999836206436","0.6552999836206436","0.6552999836206436","0.6819999825954437","0.6819999825954437","0.6819999825954437","0.6982999807596206","0.6982999807596206","0.6982999807596206","0.7050999855995178","0.7050999855995178","0.7050999855995178","0.7315999817848206","0.7315999817848206","0.7315999817848206"
"6","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.5074999850988388","0.5074999850988388","0.5074999850988388","0.5891999846696854","0.5891999846696854","0.5891999846696854","0.6353999871015549","0.6353999871015549","0.6353999871015549","0.6742999827861786","0.6742999827861786","0.6742999827861786","0.694399983882904","0.694399983882904","0.694399983882904","0.7162999856472015","0.7162999856472015","0.7162999856472015","0.7167999833822251","0.7167999833822251","0.7167999833822251","0.7315999817848206","0.7315999817848206","0.7315999817848206"
"7","0.3305999919772148","0.3305999919772148","0.3305999919772148","0.5189999863505363","0.5189999863505363","0.5189999863505363","0.5995999908447266","0.5995999908447266","0.5995999908447266","0.6459999847412109","0.6459999847412109","0.6459999847412109","0.684299984574318","0.684299984574318","0.684299984574318","0.7098999845981598","0.7098999845981598","0.7098999845981598","0.7162999856472015","0.7162999856472015","0.7162999856472015","0.7356999832391738","0.7356999832391738","0.7356999832391738","0.7452999842166901","0.7452999842166901","0.7452999842166901"
"8","0.3347999936342239","0.3347999936342239","0.3347999936342239","0.5414999866485596","0.5414999866485596","0.5414999866485596","0.5995999908447266","0.5995999908447266","0.5995999908447266","0.6612999856472015","0.6612999856472015","0.6612999856472015","0.6877999806404114","0.6877999806404114","0.6877999806404114","0.7107999831438064","0.7107999831438064","0.7107999831438064","0.7207999801635743","0.7207999801635743","0.7207999801635743","0.7421999830007553","0.7421999830007553","0.7421999830007553","0.7476999813318252","0.7476999813318252","0.7476999813318252"
"9","0.3475999930500984","0.3475999930500984","0.3475999930500984","0.5414999878406525","0.5414999878406525","0.5414999878406525","0.6180999872088432","0.6180999872088432","0.6180999872088432","0.6632999837398529","0.6632999837398529","0.6632999837398529","0.6983999824523925","0.6983999824523925","0.6983999824523925","0.7235999846458435","0.7235999846458435","0.7235999846458435","0.7207999801635743","0.7207999801635743","0.7207999801635743","0.7375999844074249","0.7375999844074249","0.7375999844074249","0.7536999815702439","0.7536999815702439","0.7536999815702439"
"10","0.3501999919116497","0.3501999919116497","0.3501999919116497","0.547599987089634","0.547599987089634","0.547599987089634","0.6209999883174896","0.6209999883174896","0.6209999883174896","0.6732999861240387","0.6732999861240387","0.6732999861240387","0.6983999824523925","0.6983999824523925","0.6983999824523925","0.7235999846458435","0.7235999846458435","0.7235999846458435","0.7304999828338623","0.7304999828338623","0.7304999828338623","0.7454999828338623","0.7454999828338623","0.7454999828338623","0.7536999815702439","0.7536999815702439","0.7536999815702439"
"11","0.37219998985528946","0.37219998985528946","0.37219998985528946","0.5518999889492988","0.5518999889492988","0.5518999889492988","0.6367999875545501","0.6367999875545501","0.6367999875545501","0.6732999861240387","0.6732999861240387","0.6732999861240387","0.7091999804973602","0.7091999804973602","0.7091999804973602","0.7249999821186066","0.7249999821186066","0.7249999821186066","0.7304999828338623","0.7304999828338623","0.7304999828338623","0.7454999828338623","0.7454999828338623","0.7454999828338623","0.7548999828100205","0.7548999828100205","0.7548999828100205"
"12","0.37219998985528946","0.37219998985528946","0.37219998985528946","0.5505999892950058","0.5505999892950058","0.5505999892950058","0.6367999875545501","0.6367999875545501","0.6367999875545501","0.6787999790906906","0.6787999790906906","0.6787999790906906","0.7171999847888947","0.7171999847888947","0.7171999847888947","0.7310999834537506","0.7310999834537506","0.7310999834537506","0.7304999828338623","0.7304999828338623","0.7304999828338623","0.7483999818563462","0.7483999818563462","0.7483999818563462","0.7592999804019928","0.7592999804019928","0.7592999804019928"
