"Step","cnn_dr_0.9 - train acc","cnn_dr_0.9 - train acc__MIN","cnn_dr_0.9 - train acc__MAX","cnn_dr_0.8 - train acc","cnn_dr_0.8 - train acc__MIN","cnn_dr_0.8 - train acc__MAX","cnn_dr_0.7 - train acc","cnn_dr_0.7 - train acc__MIN","cnn_dr_0.7 - train acc__MAX","cnn_dr_0.6 - train acc","cnn_dr_0.6 - train acc__MIN","cnn_dr_0.6 - train acc__MAX","cnn_dr_0.5 - train acc","cnn_dr_0.5 - train acc__MIN","cnn_dr_0.5 - train acc__MAX","cnn_dr_0.4 - train acc","cnn_dr_0.4 - train acc__MIN","cnn_dr_0.4 - train acc__MAX","cnn_dr_0.3 - train acc","cnn_dr_0.3 - train acc__MIN","cnn_dr_0.3 - train acc__MAX","cnn_dr_0.2 - train acc","cnn_dr_0.2 - train acc__MIN","cnn_dr_0.2 - train acc__MAX","cnn_dr_0.1 - train acc","cnn_dr_0.1 - train acc__MIN","cnn_dr_0.1 - train acc__MAX"
"1","0.15484999610111116","0.15484999610111116","0.15484999610111116","0.2181749939825386","0.2181749939825386","0.2181749939825386","0.2814749929308891","0.2814749929308891","0.2814749929308891","0.3300249919388443","0.3300249919388443","0.3300249919388443","0.36004999110475183","0.36004999110475183","0.36004999110475183","0.4016249894537032","0.4016249894537032","0.4016249894537032","0.42439998876303436","0.42439998876303436","0.42439998876303436","0.4546999892219901","0.4546999892219901","0.4546999892219901","0.47247498905286195","0.47247498905286195","0.47247498905286195"
"2","0.21999999376013876","0.21999999376013876","0.21999999376013876","0.31577499222010375","0.31577499222010375","0.31577499222010375","0.38157499141991136","0.38157499141991136","0.38157499141991136","0.4377999883890152","0.4377999883890152","0.4377999883890152","0.4674249872565269","0.4674249872565269","0.4674249872565269","0.525024987012148","0.525024987012148","0.525024987012148","0.5605499888211489","0.5605499888211489","0.5605499888211489","0.5854749877750873","0.5854749877750873","0.5854749877750873","0.61467498883605","0.61467498883605","0.61467498883605"
"3","0.24847499314695598","0.24847499314695598","0.24847499314695598","0.3615249914303422","0.3615249914303422","0.3615249914303422","0.4287249878793955","0.4287249878793955","0.4287249878793955","0.4947499887645245","0.4947499887645245","0.4947499887645245","0.5277499879151583","0.5277499879151583","0.5277499879151583","0.5811249876022339","0.5811249876022339","0.5811249876022339","0.6091999872028828","0.6091999872028828","0.6091999872028828","0.6424499855190515","0.6424499855190515","0.6424499855190515","0.6703749860823155","0.6703749860823155","0.6703749860823155"
"4","0.2653999928385019","0.2653999928385019","0.2653999928385019","0.38197499100118876","0.38197499100118876","0.38197499100118876","0.46049998678267","0.46049998678267","0.46049998678267","0.5279249870032072","0.5279249870032072","0.5279249870032072","0.5697999884933234","0.5697999884933234","0.5697999884933234","0.6147499869763852","0.6147499869763852","0.6147499869763852","0.6498499844968318","0.6498499844968318","0.6498499844968318","0.6805749848484993","0.6805749848484993","0.6805749848484993","0.7091999845206738","0.7091999845206738","0.7091999845206738"
"5","0.27727499302476644","0.27727499302476644","0.27727499302476644","0.3954499899223447","0.3954499899223447","0.3954499899223447","0.48277498766779897","0.48277498766779897","0.48277498766779897","0.5508249862492085","0.5508249862492085","0.5508249862492085","0.595649986565113","0.595649986565113","0.595649986565113","0.6356249859184027","0.6356249859184027","0.6356249859184027","0.6700749837607145","0.6700749837607145","0.6700749837607145","0.7041999842226505","0.7041999842226505","0.7041999842226505","0.7356999829411507","0.7356999829411507","0.7356999829411507"
"6","0.29127499263733625","0.29127499263733625","0.29127499263733625","0.4154749888926744","0.4154749888926744","0.4154749888926744","0.49837498731911184","0.49837498731911184","0.49837498731911184","0.5677999886870384","0.5677999886870384","0.5677999886870384","0.6136249875277281","0.6136249875277281","0.6136249875277281","0.6561749850213527","0.6561749850213527","0.6561749850213527","0.6900749838352204","0.6900749838352204","0.6900749838352204","0.7265749828517437","0.7265749828517437","0.7265749828517437","0.7570999827980995","0.7570999827980995","0.7570999827980995"
"7","0.2975999926030636","0.2975999926030636","0.2975999926030636","0.42264998838305473","0.42264998838305473","0.42264998838305473","0.5154499863833188","0.5154499863833188","0.5154499863833188","0.5827499867230653","0.5827499867230653","0.5827499867230653","0.6288249852508306","0.6288249852508306","0.6288249852508306","0.6743999855220317","0.6743999855220317","0.6743999855220317","0.7068999841809273","0.7068999841809273","0.7068999841809273","0.7409249837696552","0.7409249837696552","0.7409249837696552","0.7821249814331531","0.7821249814331531","0.7821249814331531"
"8","0.30472499303519723","0.30472499303519723","0.30472499303519723","0.433524988591671","0.433524988591671","0.433524988591671","0.5238499877601862","0.5238499877601862","0.5238499877601862","0.5961749856173992","0.5961749856173992","0.5961749856173992","0.6451999856531621","0.6451999856531621","0.6451999856531621","0.6812499834597111","0.6812499834597111","0.6812499834597111","0.7193999829888343","0.7193999829888343","0.7193999829888343","0.756324982047081","0.756324982047081","0.756324982047081","0.796324979364872","0.796324979364872","0.796324979364872"
"9","0.3110999924317002","0.3110999924317002","0.3110999924317002","0.43949998922646044","0.43949998922646044","0.43949998922646044","0.5354749864339828","0.5354749864339828","0.5354749864339828","0.6033499871939421","0.6033499871939421","0.6033499871939421","0.6554999856650829","0.6554999856650829","0.6554999856650829","0.6964749848842621","0.6964749848842621","0.6964749848842621","0.7305249831080437","0.7305249831080437","0.7305249831080437","0.7707749824225902","0.7707749824225902","0.7707749824225902","0.8096249790489674","0.8096249790489674","0.8096249790489674"
"10","0.3172249929979444","0.3172249929979444","0.3172249929979444","0.44779998674988747","0.44779998674988747","0.44779998674988747","0.5434749879688024","0.5434749879688024","0.5434749879688024","0.612074987590313","0.612074987590313","0.612074987590313","0.6610999846458435","0.6610999846458435","0.6610999846458435","0.7054999831318856","0.7054999831318856","0.7054999831318856","0.7422999808192253","0.7422999808192253","0.7422999808192253","0.7834499813616276","0.7834499813616276","0.7834499813616276","0.8277249781787396","0.8277249781787396","0.8277249781787396"
