"Step","cnn_dr_0.9 - val acc","cnn_dr_0.9 - val acc__MIN","cnn_dr_0.9 - val acc__MAX","cnn_dr_0.8 - val acc","cnn_dr_0.8 - val acc__MIN","cnn_dr_0.8 - val acc__MAX","cnn_dr_0.7 - val acc","cnn_dr_0.7 - val acc__MIN","cnn_dr_0.7 - val acc__MAX","cnn_dr_0.6 - val acc","cnn_dr_0.6 - val acc__MIN","cnn_dr_0.6 - val acc__MAX","cnn_dr_0.5 - val acc","cnn_dr_0.5 - val acc__MIN","cnn_dr_0.5 - val acc__MAX","cnn_dr_0.4 - val acc","cnn_dr_0.4 - val acc__MIN","cnn_dr_0.4 - val acc__MAX","cnn_dr_0.3 - val acc","cnn_dr_0.3 - val acc__MIN","cnn_dr_0.3 - val acc__MAX","cnn_dr_0.2 - val acc","cnn_dr_0.2 - val acc__MIN","cnn_dr_0.2 - val acc__MAX","cnn_dr_0.1 - val acc","cnn_dr_0.1 - val acc__MIN","cnn_dr_0.1 - val acc__MAX"
"1","0.2855999940633774","0.2855999940633774","0.2855999940633774","0.40069998979568483","0.40069998979568483","0.40069998979568483","0.4389999887347221","0.4389999887347221","0.4389999887347221","0.4936999872326851","0.4936999872326851","0.4936999872326851","0.45799998998641966","0.45799998998641966","0.45799998998641966","0.4975999888777733","0.4975999888777733","0.4975999888777733","0.5314999887347222","0.5314999887347222","0.5314999887347222","0.571599986255169","0.571599986255169","0.571599986255169","0.572499989271164","0.572499989271164","0.572499989271164"
"2","0.3225999927520752","0.3225999927520752","0.3225999927520752","0.4338999879360199","0.4338999879360199","0.4338999879360199","0.5030999863147736","0.5030999863147736","0.5030999863147736","0.5458999848365784","0.5458999848365784","0.5458999848365784","0.5725999864935875","0.5725999864935875","0.5725999864935875","0.6126999863982201","0.6126999863982201","0.6126999863982201","0.6173999881744385","0.6173999881744385","0.6173999881744385","0.6465999835729599","0.6465999835729599","0.6465999835729599","0.6601999846100807","0.6601999846100807","0.6601999846100807"
"3","0.2956999917328358","0.2956999917328358","0.2956999917328358","0.4541999873518944","0.4541999873518944","0.4541999873518944","0.5187999844551087","0.5187999844551087","0.5187999844551087","0.5856999868154525","0.5856999868154525","0.5856999868154525","0.6052999836206436","0.6052999836206436","0.6052999836206436","0.6404999876022339","0.6404999876022339","0.6404999876022339","0.6574999821186066","0.6574999821186066","0.6574999821186066","0.6845999825000763","0.6845999825000763","0.6845999825000763","0.6973999854922295","0.6973999854922295","0.6973999854922295"
"4","0.2958999918401241","0.2958999918401241","0.2958999918401241","0.47649998635053636","0.47649998635053636","0.47649998635053636","0.5323999884724617","0.5323999884724617","0.5323999884724617","0.6013999873399735","0.6013999873399735","0.6013999873399735","0.6396999880671501","0.6396999880671501","0.6396999880671501","0.669399985074997","0.669399985074997","0.669399985074997","0.6842999857664108","0.6842999857664108","0.6842999857664108","0.68609998524189","0.68609998524189","0.68609998524189","0.7068999844789505","0.7068999844789505","0.7068999844789505"
"5","0.28979999214410784","0.28979999214410784","0.28979999214410784","0.4907999891042709","0.4907999891042709","0.4907999891042709","0.5706999880075455","0.5706999880075455","0.5706999880075455","0.6257999879121781","0.6257999879121781","0.6257999879121781","0.6557999879121781","0.6557999879121781","0.6557999879121781","0.686799983382225","0.686799983382225","0.686799983382225","0.7029999828338623","0.7029999828338623","0.7029999828338623","0.7096999841928482","0.7096999841928482","0.7096999841928482","0.7347999864816666","0.7347999864816666","0.7347999864816666"
"6","0.304599991440773","0.304599991440773","0.304599991440773","0.4992999851703644","0.4992999851703644","0.4992999851703644","0.5882999867200851","0.5882999867200851","0.5882999867200851","0.6361999863386154","0.6361999863386154","0.6361999863386154","0.6751999825239181","0.6751999825239181","0.6751999825239181","0.6978999829292297","0.6978999829292297","0.6978999829292297","0.7185999846458435","0.7185999846458435","0.7185999846458435","0.7180999827384948","0.7180999827384948","0.7180999827384948","0.7279999840259552","0.7279999840259552","0.7279999840259552"
"7","0.30929999381303785","0.30929999381303785","0.30929999381303785","0.5059999883174896","0.5059999883174896","0.5059999883174896","0.6035999864339828","0.6035999864339828","0.6035999864339828","0.6478999868035317","0.6478999868035317","0.6478999868035317","0.6866999852657318","0.6866999852657318","0.6866999852657318","0.7074999815225601","0.7074999815225601","0.7074999815225601","0.7180999863147736","0.7180999863147736","0.7180999863147736","0.7364999836683274","0.7364999836683274","0.7364999836683274","0.7478999787569046","0.7478999787569046","0.7478999787569046"
"8","0.32419999182224274","0.32419999182224274","0.32419999182224274","0.5284999883174897","0.5284999883174897","0.5284999883174897","0.6034999877214432","0.6034999877214432","0.6034999877214432","0.6683999854326248","0.6683999854326248","0.6683999854326248","0.6924999880790711","0.6924999880790711","0.6924999880790711","0.7175999814271927","0.7175999814271927","0.7175999814271927","0.7270999830961228","0.7270999830961228","0.7270999830961228","0.7417999857664108","0.7417999857664108","0.7417999857664108","0.7530999839305877","0.7530999839305877","0.7530999839305877"
"9","0.3379999932646751","0.3379999932646751","0.3379999932646751","0.5326999881863594","0.5326999881863594","0.5326999881863594","0.6216999858617782","0.6216999858617782","0.6216999858617782","0.6750999820232392","0.6750999820232392","0.6750999820232392","0.7060999846458436","0.7060999846458436","0.7060999846458436","0.7257999837398529","0.7257999837398529","0.7257999837398529","0.7200999820232391","0.7200999820232391","0.7200999820232391","0.7442999839782715","0.7442999839782715","0.7442999839782715","0.7561999851465225","0.7561999851465225","0.7561999851465225"
"10","0.34259999096393584","0.34259999096393584","0.34259999096393584","0.5431999865174294","0.5431999865174294","0.5431999865174294","0.6251999875903129","0.6251999875903129","0.6251999875903129","0.6810999840497971","0.6810999840497971","0.6810999840497971","0.7050999850034714","0.7050999850034714","0.7050999850034714","0.7171999824047088","0.7171999824047088","0.7171999824047088","0.7416999793052673","0.7416999793052673","0.7416999793052673","0.7467999833822251","0.7467999833822251","0.7467999833822251","0.7525999814271926","0.7525999814271926","0.7525999814271926"
"11","0.3617999908328056","0.3617999908328056","0.3617999908328056","0.5462999904155731","0.5462999904155731","0.5462999904155731","0.6410999840497971","0.6410999840497971","0.6410999840497971","0.6793999826908111","0.6793999826908111","0.6793999826908111","0.7092999815940857","0.7092999815940857","0.7092999815940857","0.7345999830961227","0.7345999830961227","0.7345999830961227","0.7403999823331833","0.7403999823331833","0.7403999823331833","0.7456999808549881","0.7456999808549881","0.7456999808549881","0.7611999815702438","0.7611999815702438","0.7611999815702438"
"12","0.3524999915063381","0.3524999915063381","0.3524999915063381","0.5507999885082245","0.5507999885082245","0.5507999885082245","0.6391999885439873","0.6391999885439873","0.6391999885439873","0.6831999844312668","0.6831999844312668","0.6831999844312668","0.7179999846220017","0.7179999846220017","0.7179999846220017","0.7408999800682068","0.7408999800682068","0.7408999800682068","0.7369999831914902","0.7369999831914902","0.7369999831914902","0.7549999803304672","0.7549999803304672","0.7549999803304672","0.7624999821186066","0.7624999821186066","0.7624999821186066"
"13","0.359699991941452","0.359699991941452","0.359699991941452","0.5563999879360199","0.5563999879360199","0.5563999879360199","0.6398999851942062","0.6398999851942062","0.6398999851942062","0.6869999867677689","0.6869999867677689","0.6869999867677689","0.7209999823570251","0.7209999823570251","0.7209999823570251","0.7406999856233597","0.7406999856233597","0.7406999856233597","0.7516999799013138","0.7516999799013138","0.7516999799013138","0.7560999816656113","0.7560999816656113","0.7560999816656113","0.7557999819517136","0.7557999819517136","0.7557999819517136"
"14","0.3844999922811985","0.3844999922811985","0.3844999922811985","0.562799990773201","0.562799990773201","0.562799990773201","0.6484999841451645","0.6484999841451645","0.6484999841451645","0.6918999820947647","0.6918999820947647","0.6918999820947647","0.7154999804496766","0.7154999804496766","0.7154999804496766","0.735399985909462","0.735399985909462","0.735399985909462","0.7452999830245972","0.7452999830245972","0.7452999830245972","0.7568999850749969","0.7568999850749969","0.7568999850749969","0.7492999815940857","0.7492999815940857","0.7492999815940857"
"15","0.3671999910473824","0.3671999910473824","0.3671999910473824","0.5690999886393547","0.5690999886393547","0.5690999886393547","0.6532999855279923","0.6532999855279923","0.6532999855279923","0.6968999856710434","0.6968999856710434","0.6968999856710434","0.7221999830007553","0.7221999830007553","0.7221999830007553","0.734899982213974","0.734899982213974","0.734899982213974","0.7501999831199646","0.7501999831199646","0.7501999831199646","0.7500999802350998","0.7500999802350998","0.7500999802350998","0.7570999777317047","0.7570999777317047","0.7570999777317047"
"16","0.391399989426136","0.391399989426136","0.391399989426136","0.5769999873638153","0.5769999873638153","0.5769999873638153","0.6491999852657319","0.6491999852657319","0.6491999852657319","0.7046999835968017","0.7046999835968017","0.7046999835968017","0.7300999826192855","0.7300999826192855","0.7300999826192855","0.7407999819517136","0.7407999819517136","0.7407999819517136","0.7491999852657318","0.7491999852657318","0.7491999852657318","0.7581999796628952","0.7581999796628952","0.7581999796628952","0.7503999799489975","0.7503999799489975","0.7503999799489975"
"17","0.39569998934864997","0.39569998934864997","0.39569998934864997","0.5748999869823456","0.5748999869823456","0.5748999869823456","0.661599982380867","0.661599982380867","0.661599982380867","0.7025999826192856","0.7025999826192856","0.7025999826192856","0.7246999841928482","0.7246999841928482","0.7246999841928482","0.7493999814987182","0.7493999814987182","0.7493999814987182","0.7563999789953232","0.7563999789953232","0.7563999789953232","0.7513999807834625","0.7513999807834625","0.7513999807834625","0.7533999824523926","0.7533999824523926","0.7533999824523926"
"18","0.41029998883605","0.41029998883605","0.41029998883605","0.5766999879479409","0.5766999879479409","0.5766999879479409","0.6593999806046486","0.6593999806046486","0.6593999806046486","0.7049999839067459","0.7049999839067459","0.7049999839067459","0.7291999822854995","0.7291999822854995","0.7291999822854995","0.7541999781131744","0.7541999781131744","0.7541999781131744","0.755099983215332","0.755099983215332","0.755099983215332","0.7529999792575837","0.7529999792575837","0.7529999792575837","0.7513999789953232","0.7513999789953232","0.7513999789953232"
