"Step","dr_0.9 - test acc","dr_0.9 - test acc__MIN","dr_0.9 - test acc__MAX","dr_0.8 - test acc","dr_0.8 - test acc__MIN","dr_0.8 - test acc__MAX","dr_0.7 - test acc","dr_0.7 - test acc__MIN","dr_0.7 - test acc__MAX","dr_0.6 - test acc","dr_0.6 - test acc__MIN","dr_0.6 - test acc__MAX","dr_0.5 - test acc","dr_0.5 - test acc__MIN","dr_0.5 - test acc__MAX","dr_0.4 - test acc","dr_0.4 - test acc__MIN","dr_0.4 - test acc__MAX","dr_0.3 - test acc","dr_0.3 - test acc__MIN","dr_0.3 - test acc__MAX","dr_0.2 - test acc","dr_0.2 - test acc__MIN","dr_0.2 - test acc__MAX","dr_0.1 - test acc","dr_0.1 - test acc__MIN","dr_0.1 - test acc__MAX"
"1","0.4044999888539314","0.4044999888539314","0.4044999888539314","0.4310999882221222","0.4310999882221222","0.4310999882221222","0.4393999883532524","0.4393999883532524","0.4393999883532524","0.4410999876260757","0.4410999876260757","0.4410999876260757","0.4400999879837036","0.4400999879837036","0.4400999879837036","0.44939998775720597","0.44939998775720597","0.44939998775720597","0.44999998837709426","0.44999998837709426","0.44999998837709426","0.4543999886512756","0.4543999886512756","0.4543999886512756","0.4568999880552292","0.4568999880552292","0.4568999880552292"
"2","0.4204999879002571","0.4204999879002571","0.4204999879002571","0.4457999876141548","0.4457999876141548","0.4457999876141548","0.46559998601675034","0.46559998601675034","0.46559998601675034","0.46679998755455016","0.46679998755455016","0.46679998755455016","0.4724999889731407","0.4724999889731407","0.4724999889731407","0.4776999869942665","0.4776999869942665","0.4776999869942665","0.4812999868392944","0.4812999868392944","0.4812999868392944","0.4927999892830849","0.4927999892830849","0.4927999892830849","0.4846999886631966","0.4846999886631966","0.4846999886631966"
"3","0.43839998871088026","0.43839998871088026","0.43839998871088026","0.4568999883532524","0.4568999883532524","0.4568999883532524","0.47989998638629916","0.47989998638629916","0.47989998638629916","0.48199998766183855","0.48199998766183855","0.48199998766183855","0.4845999872684479","0.4845999872684479","0.4845999872684479","0.4959999871253967","0.4959999871253967","0.4959999871253967","0.49759998798370364","0.49759998798370364","0.49759998798370364","0.4957999908924103","0.4957999908924103","0.4957999908924103","0.5075999876856804","0.5075999876856804","0.5075999876856804"
"4","0.4463999870419502","0.4463999870419502","0.4463999870419502","0.4729999879002571","0.4729999879002571","0.4729999879002571","0.491299986243248","0.491299986243248","0.491299986243248","0.4965999871492386","0.4965999871492386","0.4965999871492386","0.503799986243248","0.503799986243248","0.503799986243248","0.4981999868154526","0.4981999868154526","0.4981999868154526","0.5081999856233597","0.5081999856233597","0.5081999856233597","0.5080999884009362","0.5080999884009362","0.5080999884009362","0.5099999883770943","0.5099999883770943","0.5099999883770943"
"5","0.45239998638629914","0.45239998638629914","0.45239998638629914","0.4836999869346619","0.4836999869346619","0.4836999869346619","0.4936999875307083","0.4936999875307083","0.4936999875307083","0.5063999864459038","0.5063999864459038","0.5063999864459038","0.5100999870896339","0.5100999870896339","0.5100999870896339","0.5078999871015548","0.5078999871015548","0.5078999871015548","0.5136999860405922","0.5136999860405922","0.5136999860405922","0.5080999884009362","0.5080999884009362","0.5080999884009362","0.5202999874949455","0.5202999874949455","0.5202999874949455"
"6","0.46189998894929885","0.46189998894929885","0.46189998894929885","0.49099998861551286","0.49099998861551286","0.49099998861551286","0.5001999887824059","0.5001999887824059","0.5001999887824059","0.5063999864459038","0.5063999864459038","0.5063999864459038","0.5209999868273735","0.5209999868273735","0.5209999868273735","0.5222999900579453","0.5222999900579453","0.5222999900579453","0.5298999860882759","0.5298999860882759","0.5298999860882759","0.5232999849319458","0.5232999849319458","0.5232999849319458","0.5290999844670295","0.5290999844670295","0.5290999844670295"
"7","0.4700999873876572","0.4700999873876572","0.4700999873876572","0.48869998812675475","0.48869998812675475","0.48869998812675475","0.5092999863624573","0.5092999863624573","0.5092999863624573","0.5124999842047692","0.5124999842047692","0.5124999842047692","0.5241999858617783","0.5241999858617783","0.5241999858617783","0.5324999871850014","0.5324999871850014","0.5324999871850014","0.5298999860882759","0.5298999860882759","0.5298999860882759","0.526799989938736","0.526799989938736","0.526799989938736","0.5290999844670295","0.5290999844670295","0.5290999844670295"
"8","0.46629998803138734","0.46629998803138734","0.46629998803138734","0.4980999881029129","0.4980999881029129","0.4980999881029129","0.5184999877214431","0.5184999877214431","0.5184999877214431","0.5124999842047692","0.5124999842047692","0.5124999842047692","0.5241999858617783","0.5241999858617783","0.5241999858617783","0.53049998909235","0.53049998909235","0.53049998909235","0.5298999860882759","0.5298999860882759","0.5298999860882759","0.5269999879598618","0.5269999879598618","0.5269999879598618","0.5347999873757362","0.5347999873757362","0.5347999873757362"
"9","0.47099998891353606","0.47099998891353606","0.47099998891353606","0.5065999874472618","0.5065999874472618","0.5065999874472618","0.5209999853372573","0.5209999853372573","0.5209999853372573","0.5280999872088432","0.5280999872088432","0.5280999872088432","0.5289999857544899","0.5289999857544899","0.5289999857544899","0.5320999854803086","0.5320999854803086","0.5320999854803086","0.5351999872922897","0.5351999872922897","0.5351999872922897","0.5269999879598618","0.5269999879598618","0.5269999879598618","0.5347999873757362","0.5347999873757362","0.5347999873757362"
"10","0.4784999892115593","0.4784999892115593","0.4784999892115593","0.5093999853730202","0.5093999853730202","0.5093999853730202","0.5209999853372573","0.5209999853372573","0.5209999853372573","0.526799984574318","0.526799984574318","0.526799984574318","0.5289999857544899","0.5289999857544899","0.5289999857544899","0.5351999858021737","0.5351999858021737","0.5351999858021737","0.5316999861598015","0.5316999861598015","0.5316999861598015","0.5358999863266944","0.5358999863266944","0.5358999863266944","0.5395999857783318","0.5395999857783318","0.5395999857783318"
