"Step","dr_0.9 - test loss","dr_0.9 - test loss__MIN","dr_0.9 - test loss__MAX","dr_0.8 - test loss","dr_0.8 - test loss__MIN","dr_0.8 - test loss__MAX","dr_0.7 - test loss","dr_0.7 - test loss__MIN","dr_0.7 - test loss__MAX","dr_0.6 - test loss","dr_0.6 - test loss__MIN","dr_0.6 - test loss__MAX","dr_0.5 - test loss","dr_0.5 - test loss__MIN","dr_0.5 - test loss__MAX","dr_0.4 - test loss","dr_0.4 - test loss__MIN","dr_0.4 - test loss__MAX","dr_0.3 - test loss","dr_0.3 - test loss__MIN","dr_0.3 - test loss__MAX","dr_0.2 - test loss","dr_0.2 - test loss__MIN","dr_0.2 - test loss__MAX","dr_0.1 - test loss","dr_0.1 - test loss__MIN","dr_0.1 - test loss__MAX"
"1","1.7164982235431672","1.7164982235431672","1.7164982235431672","1.6436382734775543","1.6436382734775543","1.6436382734775543","1.607836126089096","1.607836126089096","1.607836126089096","1.5940414130687715","1.5940414130687715","1.5940414130687715","1.5804457700252532","1.5804457700252532","1.5804457700252532","1.5573135900497437","1.5573135900497437","1.5573135900497437","1.54820326089859","1.54820326089859","1.54820326089859","1.5376436960697175","1.5376436960697175","1.5376436960697175","1.5293153047561645","1.5293153047561645","1.5293153047561645"
"2","1.6660049724578858","1.6660049724578858","1.6660049724578858","1.5857425892353059","1.5857425892353059","1.5857425892353059","1.5358910989761352","1.5358910989761352","1.5358910989761352","1.5143160891532899","1.5143160891532899","1.5143160891532899","1.49320556640625","1.49320556640625","1.49320556640625","1.4807565271854402","1.4807565271854402","1.4807565271854402","1.4766572546958923","1.4766572546958923","1.4766572546958923","1.453003956079483","1.453003956079483","1.453003956079483","1.463156807422638","1.463156807422638","1.463156807422638"
"3","1.632936145067215","1.632936145067215","1.632936145067215","1.5444202029705048","1.5444202029705048","1.5444202029705048","1.5092092120647431","1.5092092120647431","1.5092092120647431","1.4728781187534332","1.4728781187534332","1.4728781187534332","1.458287249803543","1.458287249803543","1.458287249803543","1.4452651953697204","1.4452651953697204","1.4452651953697204","1.4277790665626526","1.4277790665626526","1.4277790665626526","1.4303249311447144","1.4303249311447144","1.4303249311447144","1.3970921075344085","1.3970921075344085","1.3970921075344085"
"4","1.6055722033977509","1.6055722033977509","1.6055722033977509","1.5115393054485322","1.5115393054485322","1.5115393054485322","1.461396162509918","1.461396162509918","1.461396162509918","1.4441498398780823","1.4441498398780823","1.4441498398780823","1.4109744095802308","1.4109744095802308","1.4109744095802308","1.4104367148876191","1.4104367148876191","1.4104367148876191","1.3950455594062805","1.3950455594062805","1.3950455594062805","1.4005065298080444","1.4005065298080444","1.4005065298080444","1.3889884436130524","1.3889884436130524","1.3889884436130524"
"5","1.5843891847133635","1.5843891847133635","1.5843891847133635","1.483622192144394","1.483622192144394","1.483622192144394","1.4503560531139374","1.4503560531139374","1.4503560531139374","1.413340952396393","1.413340952396393","1.413340952396393","1.3844051599502563","1.3844051599502563","1.3844051599502563","1.3971619498729706","1.3971619498729706","1.3971619498729706","1.3771644139289856","1.3771644139289856","1.3771644139289856","1.4005065298080444","1.4005065298080444","1.4005065298080444","1.3756176936626434","1.3756176936626434","1.3756176936626434"
"6","1.5665374279022217","1.5665374279022217","1.5665374279022217","1.4725779497623444","1.4725779497623444","1.4725779497623444","1.42733043551445","1.42733043551445","1.42733043551445","1.413340952396393","1.413340952396393","1.413340952396393","1.3755945992469787","1.3755945992469787","1.3755945992469787","1.3587251889705658","1.3587251889705658","1.3587251889705658","1.3449282538890839","1.3449282538890839","1.3449282538890839","1.3660981047153473","1.3660981047153473","1.3660981047153473","1.3506302154064178","1.3506302154064178","1.3506302154064178"
"7","1.5568849527835846","1.5568849527835846","1.5568849527835846","1.4571955931186675","1.4571955931186675","1.4571955931186675","1.4072939610481263","1.4072939610481263","1.4072939610481263","1.391125866174698","1.391125866174698","1.391125866174698","1.361821962594986","1.361821962594986","1.361821962594986","1.3418521535396577","1.3418521535396577","1.3418521535396577","1.3449282538890839","1.3449282538890839","1.3449282538890839","1.3515921854972839","1.3515921854972839","1.3515921854972839","1.3506302154064178","1.3506302154064178","1.3506302154064178"
"8","1.5413962721824646","1.5413962721824646","1.5413962721824646","1.444036124944687","1.444036124944687","1.444036124944687","1.3936689829826354","1.3936689829826354","1.3936689829826354","1.391125866174698","1.391125866174698","1.391125866174698","1.361821962594986","1.361821962594986","1.361821962594986","1.3462512910366058","1.3462512910366058","1.3462512910366058","1.3449282538890839","1.3449282538890839","1.3449282538890839","1.360887336730957","1.360887336730957","1.360887336730957","1.3247581624984741","1.3247581624984741","1.3247581624984741"
"9","1.5286959552764892","1.5286959552764892","1.5286959552764892","1.430943294763565","1.430943294763565","1.430943294763565","1.3764881026744842","1.3764881026744842","1.3764881026744842","1.3477341318130494","1.3477341318130494","1.3477341318130494","1.3435870790481568","1.3435870790481568","1.3435870790481568","1.3396209239959718","1.3396209239959718","1.3396209239959718","1.341079785823822","1.341079785823822","1.341079785823822","1.360887336730957","1.360887336730957","1.360887336730957","1.3247581624984741","1.3247581624984741","1.3247581624984741"
"10","1.5174619925022126","1.5174619925022126","1.5174619925022126","1.4218311727046966","1.4218311727046966","1.4218311727046966","1.3764881026744842","1.3764881026744842","1.3764881026744842","1.3448771715164185","1.3448771715164185","1.3448771715164185","1.3435870790481568","1.3435870790481568","1.3435870790481568","1.3260602676868438","1.3260602676868438","1.3260602676868438","1.3360833871364592","1.3360833871364592","1.3360833871364592","1.3247416841983795","1.3247416841983795","1.3247416841983795","1.3636462986469269","1.3636462986469269","1.3636462986469269"
"11","1.5122703754901885","1.5122703754901885","1.5122703754901885","1.4218311727046966","1.4218311727046966","1.4218311727046966","1.3718715977668763","1.3718715977668763","1.3718715977668763","1.3417194640636445","1.3417194640636445","1.3417194640636445","1.3196232509613037","1.3196232509613037","1.3196232509613037","1.3260602676868438","1.3260602676868438","1.3260602676868438","1.3360833871364592","1.3360833871364592","1.3360833871364592","1.3247416841983795","1.3247416841983795","1.3247416841983795","1.3636462986469269","1.3636462986469269","1.3636462986469269"
