"Step","dr_0.9 - train acc","dr_0.9 - train acc__MIN","dr_0.9 - train acc__MAX","dr_0.8 - train acc","dr_0.8 - train acc__MIN","dr_0.8 - train acc__MAX","dr_0.7 - train acc","dr_0.7 - train acc__MIN","dr_0.7 - train acc__MAX","dr_0.6 - train acc","dr_0.6 - train acc__MIN","dr_0.6 - train acc__MAX","dr_0.5 - train acc","dr_0.5 - train acc__MIN","dr_0.5 - train acc__MAX","dr_0.4 - train acc","dr_0.4 - train acc__MIN","dr_0.4 - train acc__MAX","dr_0.3 - train acc","dr_0.3 - train acc__MIN","dr_0.3 - train acc__MAX","dr_0.2 - train acc","dr_0.2 - train acc__MIN","dr_0.2 - train acc__MAX","dr_0.1 - train acc","dr_0.1 - train acc__MIN","dr_0.1 - train acc__MAX"
"1","0.27787499248981473","0.27787499248981473","0.27787499248981473","0.32612499192357064","0.32612499192357064","0.32612499192357064","0.35137499155476687","0.35137499155476687","0.35137499155476687","0.37292499087750913","0.37292499087750913","0.37292499087750913","0.3809249906241894","0.3809249906241894","0.3809249906241894","0.3914999900199473","0.3914999900199473","0.3914999900199473","0.4007999905385077","0.4007999905385077","0.4007999905385077","0.40409999031573535","0.40409999031573535","0.40409999031573535","0.4087749893963337","0.4087749893963337","0.4087749893963337"
"2","0.3256749926880002","0.3256749926880002","0.3256749926880002","0.3748499910533428","0.3748499910533428","0.3748499910533428","0.40539998926222326","0.40539998926222326","0.40539998926222326","0.4215499886870384","0.4215499886870384","0.4215499886870384","0.4350749886035919","0.4350749886035919","0.4350749886035919","0.4489999878406525","0.4489999878406525","0.4489999878406525","0.4600249889492989","0.4600249889492989","0.4600249889492989","0.4681249886006117","0.4681249886006117","0.4681249886006117","0.4755249860137701","0.4755249860137701","0.4755249860137701"
"3","0.3415249919891357","0.3415249919891357","0.3415249919891357","0.3914999898523092","0.3914999898523092","0.3914999898523092","0.42534998901188376","0.42534998901188376","0.42534998901188376","0.4450749884545803","0.4450749884545803","0.4450749884545803","0.463849987462163","0.463849987462163","0.463849987462163","0.4774249873310328","0.4774249873310328","0.4774249873310328","0.4926499877870083","0.4926499877870083","0.4926499877870083","0.49897498622536657","0.49897498622536657","0.49897498622536657","0.5139499882608652","0.5139499882608652","0.5139499882608652"
"4","0.35657499138265847","0.35657499138265847","0.35657499138265847","0.4100249903649092","0.4100249903649092","0.4100249903649092","0.4408499877899885","0.4408499877899885","0.4408499877899885","0.4627999870479107","0.4627999870479107","0.4627999870479107","0.4812249881774187","0.4812249881774187","0.4812249881774187","0.49809998624026774","0.49809998624026774","0.49809998624026774","0.5128249879926443","0.5128249879926443","0.5128249879926443","0.5253749863803386","0.5253749863803386","0.5253749863803386","0.5384999863803387","0.5384999863803387","0.5384999863803387"
"5","0.3675249913707376","0.3675249913707376","0.3675249913707376","0.42257498890161516","0.42257498890161516","0.42257498890161516","0.45292498752474786","0.45292498752474786","0.45292498752474786","0.4794249877333641","0.4794249877333641","0.4794249877333641","0.49892498783767225","0.49892498783767225","0.49892498783767225","0.5139749871939421","0.5139749871939421","0.5139749871939421","0.5335249865800142","0.5335249865800142","0.5335249865800142","0.5462749870121479","0.5462749870121479","0.5462749870121479","0.5587999884039163","0.5587999884039163","0.5587999884039163"
"6","0.3771749914437532","0.3771749914437532","0.3771749914437532","0.43029998876154424","0.43029998876154424","0.43029998876154424","0.465374987795949","0.465374987795949","0.465374987795949","0.48944998800754547","0.48944998800754547","0.48944998800754547","0.5147749876976013","0.5147749876976013","0.5147749876976013","0.53007498703897","0.53007498703897","0.53007498703897","0.5498249871283769","0.5498249871283769","0.5498249871283769","0.5631249869614839","0.5631249869614839","0.5631249869614839","0.5792999865859747","0.5792999865859747","0.5792999865859747"
"7","0.3818249900639057","0.3818249900639057","0.3818249900639057","0.43967498898506163","0.43967498898506163","0.43967498898506163","0.4751999874413013","0.4751999874413013","0.4751999874413013","0.4963749871402979","0.4963749871402979","0.4963749871402979","0.5199999862164258","0.5199999862164258","0.5199999862164258","0.5398999883979559","0.5398999883979559","0.5398999883979559","0.5632499869912863","0.5632499869912863","0.5632499869912863","0.5794499869644641","0.5794499869644641","0.5794499869644641","0.5995499891042709","0.5995499891042709","0.5995499891042709"
"8","0.3900999903678894","0.3900999903678894","0.3900999903678894","0.4451749885827303","0.4451749885827303","0.4451749885827303","0.47967498809099196","0.47967498809099196","0.47967498809099196","0.5095999873429536","0.5095999873429536","0.5095999873429536","0.533224987089634","0.533224987089634","0.533224987089634","0.5530499868839979","0.5530499868839979","0.5530499868839979","0.5734499880671501","0.5734499880671501","0.5734499880671501","0.5933499876409769","0.5933499876409769","0.5933499876409769","0.616399985179305","0.616399985179305","0.616399985179305"
"9","0.39592499047517776","0.39592499047517776","0.39592499047517776","0.45502498842775824","0.45502498842775824","0.45502498842775824","0.4907499872893095","0.4907499872893095","0.4907499872893095","0.5161249873787165","0.5161249873787165","0.5161249873787165","0.5410249876976013","0.5410249876976013","0.5410249876976013","0.5638999886810779","0.5638999886810779","0.5638999886810779","0.5874749875813723","0.5874749875813723","0.5874749875813723","0.611174987256527","0.611174987256527","0.611174987256527","0.6329499866068363","0.6329499866068363","0.6329499866068363"
"10","0.4030999903380871","0.4030999903380871","0.4030999903380871","0.4597999884933233","0.4597999884933233","0.4597999884933233","0.4941749871522188","0.4941749871522188","0.4941749871522188","0.5249749878048897","0.5249749878048897","0.5249749878048897","0.552474988102913","0.552474988102913","0.552474988102913","0.5770999867469072","0.5770999867469072","0.5770999867469072","0.6006249884516001","0.6006249884516001","0.6006249884516001","0.6240499863028526","0.6240499863028526","0.6240499863028526","0.6524749858677388","0.6524749858677388","0.6524749858677388"
