"Step","dr_0.9 - train loss","dr_0.9 - train loss__MIN","dr_0.9 - train loss__MAX","dr_0.8 - train loss","dr_0.8 - train loss__MIN","dr_0.8 - train loss__MAX","dr_0.7 - train loss","dr_0.7 - train loss__MIN","dr_0.7 - train loss__MAX","dr_0.6 - train loss","dr_0.6 - train loss__MIN","dr_0.6 - train loss__MAX","dr_0.5 - train loss","dr_0.5 - train loss__MIN","dr_0.5 - train loss__MAX","dr_0.4 - train loss","dr_0.4 - train loss__MIN","dr_0.4 - train loss__MAX","dr_0.3 - train loss","dr_0.3 - train loss__MIN","dr_0.3 - train loss__MAX","dr_0.2 - train loss","dr_0.2 - train loss__MIN","dr_0.2 - train loss__MAX","dr_0.1 - train loss","dr_0.1 - train loss__MIN","dr_0.1 - train loss__MAX"
"1","2.073212520480156","2.073212520480156","2.073212520480156","1.905323968231678","1.905323968231678","1.905323968231678","1.833728477358818","1.833728477358818","1.833728477358818","1.7844780170917511","1.7844780170917511","1.7844780170917511","1.7516635969281196","1.7516635969281196","1.7516635969281196","1.7270274558663368","1.7270274558663368","1.7270274558663368","1.7037855416536332","1.7037855416536332","1.7037855416536332","1.6927066144347191","1.6927066144347191","1.6927066144347191","1.679044587612152","1.679044587612152","1.679044587612152"
"2","1.8949704426527023","1.8949704426527023","1.8949704426527023","1.7673215436935426","1.7673215436935426","1.7673215436935426","1.6920199194550514","1.6920199194550514","1.6920199194550514","1.637652485370636","1.637652485370636","1.637652485370636","1.5968250957131387","1.5968250957131387","1.5968250957131387","1.5642613613605498","1.5642613613605498","1.5642613613605498","1.5333526867628098","1.5333526867628098","1.5333526867628098","1.5096959820389748","1.5096959820389748","1.5096959820389748","1.4877766627073288","1.4877766627073288","1.4877766627073288"
"3","1.8546820437908174","1.8546820437908174","1.8546820437908174","1.713028785288334","1.713028785288334","1.713028785288334","1.631081964969635","1.631081964969635","1.631081964969635","1.5740242105722428","1.5740242105722428","1.5740242105722428","1.5256397327780724","1.5256397327780724","1.5256397327780724","1.4848206037282943","1.4848206037282943","1.4848206037282943","1.4427918604016303","1.4427918604016303","1.4427918604016303","1.4252848595380783","1.4252848595380783","1.4252848595380783","1.3908632719516754","1.3908632719516754","1.3908632719516754"
"4","1.8171691805124284","1.8171691805124284","1.8171691805124284","1.6761359053850173","1.6761359053850173","1.6761359053850173","1.5902617183327674","1.5902617183327674","1.5902617183327674","1.529398575425148","1.529398575425148","1.529398575425148","1.473562608063221","1.473562608063221","1.473562608063221","1.4350706958770751","1.4350706958770751","1.4350706958770751","1.3870089745521545","1.3870089745521545","1.3870089745521545","1.3570078060030937","1.3570078060030937","1.3570078060030937","1.316178938448429","1.316178938448429","1.316178938448429"
"5","1.7884941437840463","1.7884941437840463","1.7884941437840463","1.638974263370037","1.638974263370037","1.638974263370037","1.5599259212613106","1.5599259212613106","1.5599259212613106","1.4893534615635873","1.4893534615635873","1.4893534615635873","1.4352981334924697","1.4352981334924697","1.4352981334924697","1.385635203421116","1.385635203421116","1.385635203421116","1.3401521198451518","1.3401521198451518","1.3401521198451518","1.29863547205925","1.29863547205925","1.29863547205925","1.255994937568903","1.255994937568903","1.255994937568903"
"6","1.762651569545269","1.762651569545269","1.762651569545269","1.6206137830018996","1.6206137830018996","1.6206137830018996","1.5238332951068878","1.5238332951068878","1.5238332951068878","1.4566146859526634","1.4566146859526634","1.4566146859526634","1.3979433751106263","1.3979433751106263","1.3979433751106263","1.3419188269972802","1.3419188269972802","1.3419188269972802","1.2961291965842248","1.2961291965842248","1.2961291965842248","1.2487838011980057","1.2487838011980057","1.2487838011980057","1.2005138377845288","1.2005138377845288","1.2005138377845288"
"7","1.7471598070859908","1.7471598070859908","1.7471598070859908","1.5954204031825066","1.5954204031825066","1.5954204031825066","1.5002987226843834","1.5002987226843834","1.5002987226843834","1.4262886115908622","1.4262886115908622","1.4262886115908622","1.369142706990242","1.369142706990242","1.369142706990242","1.3127248719334603","1.3127248719334603","1.3127248719334603","1.2533629629015923","1.2533629629015923","1.2533629629015923","1.2073659959435463","1.2073659959435463","1.2073659959435463","1.1514814200997352","1.1514814200997352","1.1514814200997352"
"8","1.728487466275692","1.728487466275692","1.728487466275692","1.580573213994503","1.580573213994503","1.580573213994503","1.4817218786478044","1.4817218786478044","1.4817218786478044","1.403916203379631","1.403916203379631","1.403916203379631","1.3373299622535706","1.3373299622535706","1.3373299622535706","1.2755468171834945","1.2755468171834945","1.2755468171834945","1.2256345111131668","1.2256345111131668","1.2256345111131668","1.1631075909733772","1.1631075909733772","1.1631075909733772","1.1004512044787407","1.1004512044787407","1.1004512044787407"
"9","1.7162056666612626","1.7162056666612626","1.7162056666612626","1.5605034857988358","1.5605034857988358","1.5605034857988358","1.4608767420053481","1.4608767420053481","1.4608767420053481","1.3810603550076486","1.3810603550076486","1.3810603550076486","1.3120863142609596","1.3120863142609596","1.3120863142609596","1.249836497604847","1.249836497604847","1.249836497604847","1.1842780943214892","1.1842780943214892","1.1842780943214892","1.122186482846737","1.122186482846737","1.122186482846737","1.0519349017739297","1.0519349017739297","1.0519349017739297"
"10","1.7023049527406693","1.7023049527406693","1.7023049527406693","1.5434598991274833","1.5434598991274833","1.5434598991274833","1.4430621421337129","1.4430621421337129","1.4430621421337129","1.35805321007967","1.35805321007967","1.35805321007967","1.2817356806993485","1.2817356806993485","1.2817356806993485","1.2106052254140378","1.2106052254140378","1.2106052254140378","1.1444923470914363","1.1444923470914363","1.1444923470914363","1.0849861776828766","1.0849861776828766","1.0849861776828766","1.0072050696611405","1.0072050696611405","1.0072050696611405"
